"New Accounts","Clientes con nuevas cuentas"
"Wish List Purchase","Compra de lista de deseos"
"Wish List vs. Regular Order","Lista de deseos vs. pedido regular"
"Times Deleted","Veces eliminado"
"Index type is not valid","Tipo de índice no es válido"
"Reports","Informes"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
"New Accounts Report","Informe de Cuentas Nuevas"
"Customers by Number of Orders","Clientes por número de pedidos"
"Order Count Report","Informe de cuenta de orden"
"Order Total Report","Informe de Total de Orden"
"Downloads Report","Informe de descargas"
"Low Stock","Existencia baja"
"Low Stock Report","Informe de Stock bajo"
"Ordered Products Report","Informe de productos ordenados"
"Products Most Viewed Report","Bericht meistgesehene Artikel"
"Product Views Report","Repoprte de productos vistos"
"An error occurred while showing the product views report. Please review the log and try again.","Error al mostrar el informe de opiniones de productos. Por favor, revise el registro y vuelva a intentarlo."
"Review","Reseña"
"Reviews","Reseñas"
"Customers Report","Informe de clientes"
"Customer Reviews Report","Informe de reseñas del cliente"
"Product Reviews Report","Informe de comentarios del producto"
"Product Reviews","Reseñas de artículo"
"Details","Detalles"
"Sales","Ventas"
"Bestsellers Report","Reporte de más vendidos"
"Coupons","Cupones"
"Coupons Report","Informe de cupones"
"Invoice Report","Informe factura"
"Refunds Report","Informe de reembolsos"
"Sales Report","Informe de ventas"
"Orders Report","Informe de pedidos"
"Shipping Report","Reporte de envíos"
"Tax Report","Reporte de impuestos"
"Shopping Cart","Cesta"
"Abandoned Carts","Carritos abandonados"
"Customer Shopping Carts","Carros de compras del cliente"
"Products in Carts","Artikel in Warenkörben"
"Statistics","Estadísticas"
"No report code is specified.","No especificado ningún código de informe."
"You refreshed lifetime statistics.","Actualizó las estadísticas acumuladas."
"We can't refresh lifetime statistics.","No se pueden actualizar las estadísticas acumuladas."
"Recent statistics have been updated.","Neueste Statistiken sind aktualisiert worden."
"We can't refresh recent statistics.","No se pueden actualizar las estadísticas recientes."
"The product type filter specified is incorrect.","El filtro de tipo de producto especificado es incorrecto."
"Order Taxes Report Grouped by Tax Rates","Impuestos del pedido agrupados por tasas de impuestos"
"Total Invoiced VS Paid Report","Total facturado VS Informe de pago"
"Promotion Coupons Usage Report","Informe de utilización de cupones de promoción"
"Bestsellers","Mejor vendidos"
"Most Viewed Products Report","Informe de artículos más vistos"
"Error","Error"
"Show By","Mostrar por"
"Select Date","Seleccionar fechas"
"Customers that have Wish List: %1","Clientes que tienen lista de deseos: %1"
"Number of Wish Lists: %1","Número de listas de deseos: %1"
"Number of items bought from a Wish List: %1","Número de artículos comprados desde una lista de deseos: %s"
"Number of times Wish Lists have been shared (emailed): %1","Número de veces que las listas de deseos fueron compartidas (enviadas por correo): %s"
"Number of Wish List referrals: %1","Número de referidos en listas de deseos: %1"
"Number of Wish List conversions: %1","Número de conversiones en listas de deseos: %1"
"Show Report For:","Bericht anzeigen für:"
"All Websites","Todos sitios web"
"Recently Viewed","Vistos recientemente"
"Add to Cart","Añadir al carrito"
"In stock","Disponible"
"Out of stock","No está disponible"
"Add to Wish List","Añadir a la Lista de Deseos"
"Add to Compare","Añadir para comparar"
"Recently Compared","Comparados recientemente"
"Learn More","Saber más"
"Marketing","Marketing"
"Products in Cart","Productos en carrito"
"Abandoned Cart","Carritos abandonados"
"Search Terms","Términos de búsqueda"
"By Customers","Por clientes"
"By Products","Por productos"
"Refunds","Reembolsos"
"Order Total","Total del pedido"
"Order Count","Cuenta de pedido"
"New","Nuevo"
"Ordered","Pedidos"
"Recently Viewed/Compared Products","Artículos vistos/comparados recientemente"
"Show for Current","Mostrar para el actual"
"Default Recently Viewed Products Count","Contar las vistas de los artículos por defecto"
"Default Recently Compared Products Count","Contar los artículos comparardos por defecto"
"Dashboard","Panel"
"Year-To-Date Starts","Año actual empieza el"
"Current Month Starts","El mes actual empieza el"
"Select day of the month.","Elige el día del mes."
"Average","Promedio"
"Stock Quantity","Cantidad de stock"
"Ordered Quantity","Cantidad pedida"
"The report displays the top 5 most viewed products for each interval.","El informe muestra los 5 mejores productos más consultados para cada intervalo."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Para información precisa, asegúrese de actualizar las estadísticas acumuladas cada vez que cambie la zona horaria."
"Guest","Visitante"
"Action","Acción"
"Average (Approved)","Promedio (Aprobado)"
"Last Review","Última revisión"
"Order Created","Orden creada"
"Order Updated","Pedido actualizado"
"The Order Updated report is created in real time and does not require a refresh.","El informe actualizado de la orden se crea en tiempo real y no requiere una actualización."
"Last Invoice Created Date","Fecha de Creación ultima factura"
"Last Credit Memo Created Date","Fecha de creación ultima nota de crédito"
"First Invoice Created Date","Fecha de Creación de la primera factura"
"Refresh Lifetime Statistics","Actualiza estadísticas acumuladas"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","¿Está seguro que desea actualizar las estadísticas acumuladas ahora mismo? Esta operación puede ralentizar la experiencia de compra de sus clientes."
"Refresh Statistics for the Last Day","Actualizar estadísticas del último día"
"Are you sure you want to refresh statistics for the last day?","¿Está seguro que desea actualizar las estadísticas para el último día?"
"Report","Informe"
"Description","Descripción"
"undefined","undefined"
"Best Sellers Report","Best Sellers Report"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"System configuration is not found for report event type ""%1""","System configuration is not found for report event type ""%1"""
"General Options","Opciones generales"
"Enable Reports","Enable Reports"
"If disabled, all report events will be disabled","If disabled, all report events will be disabled"
"Enable ""Product View"" Report","Enable ""Product View"" Report"
"If enabled, will collect statistic of viewed product pages","If enabled, will collect statistic of viewed product pages"
"Enable ""Send Product Link To Friend"" Report","Enable ""Send Product Link To Friend"" Report"
"If enabled, will collect statistic of product links sent to friend","If enabled, will collect statistic of product links sent to friend"
"Enable ""Add Product To Compare List"" Report","Enable ""Add Product To Compare List"" Report"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""#2"" data-post=""%3"">here</a>."
