"Root","Raiz"
"Use in Search","Usar na Pesquisa"
"Visible in Advanced Search","Visível na Pesquisa Avançada"
"Comparable on Storefront","Comparável na Loja"
"Use for Promo Rule Conditions","Usar como Condição para Regra de Promoção"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","Permitir Tags HTML na Loja"
"Visible on Catalog Pages on Storefront","Visível nas Páginas do Catálogo na Loja"
"Used in Product Listing","Usado na Listagem de Produtos"
"Depends on design theme.","Depende do design do tema."
"Used for Sorting in Product Listing","Usado para Ordenação na Listagem de Produtos"
"Media Image","Imagem Media"
"Gallery","Galeria"
"System Properties","Propriedades do Sistema"
"No","Não"
"Yes","Sim"
"Data Type for Saving in Database","Tipo de dados para gravar na base de dados"
"Text","Texto"
"Varchar","Varchar"
"Static","Estático"
"Datetime","DateTime"
"Decimal","Decimal"
"Integer","Inteiro"
"Globally Editable","Globalmente Modificável"
"Attribute Information","Informações de Atributo"
"Properties","Propriedades"
"Manage Labels","Gerir Etiquetas"
"Visible","Visível"
"Web Site","Website"
"Searchable","Pesquisável"
"Comparable","Comparável"
"Delete Selected Group","Apagar Grupo Selecionado"
"Add New","Adicionar novo"
"Back","Voltar"
"Reset","Repor"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Está prestes a remover todos os produtos com este conjunto de atributos. Tem a certeza que pretende fazer isto?"
"New Set Name","Novo Nome do Conjunto"
"Edit Attribute Set '%1'","Editar Conjunto de Atributos '%1'"
"Empty","Vazio"
"Add Attribute","Adicionar Atributo"
"Add New Group","Adicionar Novo Grupo"
"Add Group","Adicionar Grupo"
"Edit Attribute Set Name","Editar Nome do Conjunto de Atributos"
"For internal use","Para uso interno"
"Based On","Baseado Em"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add Attribute Set","Adicionar Conjunto de Atributos"
"Attribute Sets","Conjuntos de Atributo"
"Close Window","Fechar janela"
"New Product","Novo Produto"
"Save & Edit","Gravar e Editar"
"Save & New","Guardar e Novo"
"Save & Duplicate","Gravar & Duplicar"
"Save & Close","Guardar & Fechar"
"Attributes","Atributos"
"Change","Modificar"
"Advanced Inventory","Inventário Avançado"
"Websites","Sites"
"Products Information","Informação de Produtos"
"Create Category","Criar Categoria"
"Category Name","Nome da Categoria"
"Parent Category","Categoria Pai"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Se não houver nenhuma categoria pai personalizada, por favor use a categoria pai pré-definida. Pode re-atribuir a categoria a qualquer momento em <a href=""%1"" target=""_blank"">Produtos > Categorias</a>."
"Price Alert Subscriptions","Subscrições de Alerta de Preço"
"Stock Alert Subscriptions","Subscrições de Alerta de Stock"
"There are no customers for this alert.","Não existem clientes para este alerta."
"First Name","Nome"
"Last Name","Sobrenome"
"Email","Correio electrónico"
"Subscribe Date","Data de Subscrição"
"Last Notified","Última Notificação"
"Send Count","Número de Envios"
"New Attribute","Novo Atributo"
"Type","Tipo"
"Attribute Set","Conjunto de Atributos"
"Add New Option","Adicionar Nova Opção"
"Import Options","Opções de Importação"
"Use Default","Utilizar Predefinição"
"Import","Importar"
"Add New Row","Adicionar Nova Linha"
"Delete Row","Eliminar Linha"
"Tier Pricing","Tabela de Preços"
"Default Price","Preço Normal"
"All Websites","Todos os Sites"
"ALL GROUPS","TODOS OS GRUPOS"
"Add Price","Adicionar Preço"
"Default Values","Valores por omissão"
"Related Products","Produtos Relacionados"
"Up-sells","Ofertas promocionais"
"Cross-sells","Vendas-Cruzadas"
"Size for %1","Tamanho para %1"
"Watermark File for %1","Ficheiro de marca d'água para %1"
"Position of Watermark for %1","Posição da marca d'água para %1"
"Name in %1","Nome em %1"
"Quantity","Quantidade"
"Edit","Editar"
"Are you sure?","Tem a certeza?"
"Change Status","Alterar Estado"
"Update Attributes","Atualizar Atributos"
"start typing to search category","comece a escrever para pesquisar categorias"
"New Category","Nova Categoria"
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)"
"Add New Images","Adicionar Novas Imagens"
"Inc. Tax","IVA Incluído"
"Does this have a weight?","Este artigo tem um peso associado?"
"Product","Produto"
"Notify Low Stock RSS","RSS de Notificação de Baixo Stock"
"Low Stock Products","Produtos com Stock Baixo"
"%1 has reached a quantity of %2.","%1 atingiu uma quantidade de %2."
"Home","Início"
"Go to Home Page","Ir para Página Inicial"
"Subscribe to RSS Feed","Subscrever o Feed RSS"
"Products Comparison List","Lista de Comparação de Produtos"
"N/A","N/D"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Por favor, selecione --"
"None","Nenhum"
"New Products from %1","Novos Produtos de %1"
"New Products","Novos Produtos"
"%1 - Special Products","%1 - Produtos Especiais"
"Click for price","Clique para ver o preço"
"Special Expires On: %1","Promoção Termina Em: %1"
"Price: %1","Preço: %1"
"Special Price: %1","Preço Especial: %1"
"Special Products","Produtos Especiais"
"Manage Catalog Categories","Gerir Categorias do Catálogo"
"Manage Categories","Gerir Categorias"
"You deleted the category.","Removeu a categoria."
"Something went wrong while trying to delete the category.","Algo correu mal ao remover a categoria."
"Categories","Categorias"
"Category is not available for requested store.","A categoria não está disponível para a loja pretendida."
"There was a category move error.","Ocorreu um erro durante a modificação da categoria."
"You moved the category.","A categoria foi movida."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","Gravou a categoria."
"Something went wrong while saving the category.","Algo correu mal ao gravar a categoria."
"Please select products for attributes update.","Por favor selecione produtos para atualização de atributos."
"Please make sure to define SKU values for all processed products.","Por favor certifique-se de definir referências para todos os produtos processados."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Algo correu mal ao atualizar os atributos do(s) produto(s)."
"Unable to add attribute","Não é possível adicionar o atributo"
"Please, specify attributes","Please, specify attributes"
"Catalog","Catálogo"
"Manage Product Attributes","Gerir Atributos do Produto"
"We can't delete the attribute.","Não é possível remover o atributo."
"You deleted the product attribute.","Apagou o atributo do produto."
"We can't find an attribute to delete.","Não encontramos um atributo para remover."
"This attribute no longer exists.","Este atributo já não existe."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"Edit Product Attribute","Editar Atributo de Produto"
"An attribute set named '%1' already exists.","Um conjunto de atributos chamado '%1' já existe."
"Something went wrong while saving the attribute.","Algo correu mal durante a gravação do atributo."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Nós não conseguimos atualizar o atributo."
"You saved the product attribute.","Gravou o atributo de produto."
"An attribute with this code already exists.","Já existe um atributo com este código."
"An attribute with the same code (%1) already exists.","Já existe um atributo com o mesmo código (%1)."
"The value of Admin must be unique.","O valor d Admin deve ser unico."
"The value of Admin scope can't be empty.","O valor do alcance de Admin não pode ser vazio."
"You duplicated the product.","Duplicou o produto."
"This product doesn't exist.","Este produto não existe."
"Invalid product id. Should be numeric value greater than 0","ID inválido. Deverá ser um valor número maior que 0"
"Products","Produtos"
"A group with the same name already exists.","Já existe um grupo com o mesmo nome."
"Something went wrong while saving this group.","Algo correu mal durante a gravação deste grupo."
"A total of %1 record(s) have been deleted.","Um total de %1 registo(s) foram removidos."
"A total of %1 record(s) have been updated.","Um total de %1 registo(s) foram atualizados."
"Something went wrong while updating the product(s) status.","Algo correu mal ao atualizar o estado do(s) produto(s)."
"Unable to save product","Unable to save product"
"You saved the product.","Gravou o produto."
"SKU for product %1 has been changed to %2.","A referência do produto %1 foi alterada para %2."
"The image cannot be removed as it has been assigned to the other image role","A imagem não pode ser removida visto que foi atribuída a outra função de imagem"
"New Attribute Set","Novo Conjunto de Atributos"
"The attribute set has been removed.","O conjunto de atributos foi removido."
"We can't delete this set right now.","De momento não é possível remover este conjunto."
"New Set","Novo Conjunto"
"Manage Product Sets","Gerir Conjuntos de Produtos"
"Manage Attribute Sets","Gerir Conjuntos de Atributos"
"This attribute set no longer exists.","Este conjunto de atributos já não existe."
"You saved the attribute set.","Gravou o conjunto de atributos."
"Something went wrong while saving the attribute set.","Algo correu mal durante a gravação do conjunto de atributos."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You cleared the comparison list.","Limpou a lista de comparação."
"Something went wrong  clearing the comparison list.","Algo correu mal ao limpar a lista de comparação."
"You removed product %1 from the comparison list.","Removeu o produto %1 da lista de comparação."
"1 item","1 artigo"
"%1 items","%1 artigos"
"Are you sure you want to remove this item from your Compare Products list?","Tem certeza que deseja remover este os item da sua lista de comparação de produtos?"
"Are you sure you want to remove all items from your Compare Products list?","Tem certeza que deseja remover todos os itens da sua lista de comparação de produtos?"
"Invalid attribute %1","Atributo inválido %1"
"Grid","Grelha"
"List","Lista"
"All","Todos"
"Bad controller interface for showing product","Má interface de controlador para visualizar o produto"
"Product is not loaded","O produto não está carregado"
"Make sure the To Date is later than or the same as the From Date.","Certifique-se que a data 'Até' é posterior ou igual à data 'De'."
"Sorry, but we can't find the new parent category you selected.","Desculpe, mas não conseguimos encontrar a nova categoria pai que selecionou."
"Sorry, but we can't find the new category you selected.","Desculpe, mas não conseguimos encontrar a nova categoria que selecionou."
"We can't move the category because the parent category name matches the child category name.","Nós não conseguimos mover a categoria porque o nome da categoria pai coincide com o nome da categoria filho."
"Something went wrong while getting the image url.","Ocorreu um erro ao obter o url da imagem."
"Can't delete root category.","Não é possível excluir a categoria de raiz."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","A Ordenação de Produtos Pré-definida não existe na Lista de Ordenações de Produto Disponíveis."
"No layout updates","Não há atualizações de layout"
"Products only","Apenas produtos"
"Static block only","Somente bloco estático"
"Static block and products","Bloco estático e produtos"
"Please select a static block.","Por favor selecione um bloco estático."
"frontend_label","frontend_label"
"Could not save product ""%1"" with position %2 to category %3","Não foi possível gravar o produto ""%1"" com posição %2 na categoria %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Não foi possível gravar o produto ""%product"" com posição %position na categoria %category"
"Operation do not allow to move a parent category to any of children category","A operação não permite mover uma categoria pai para qualquer uma das categorias filho"
"Could not move category","Não foi possível mover a categoria"
"Could not save category: %1","Não foi possível gravar a categoria: %1"
"Cannot delete category with id %1","Não é possível remover a categoria com id %1"
"-- Please Select a Category --","-- Por favor selecione uma categoria --"
"Grid Only","Apenas a Grelha"
"List Only","Apenas a Lista"
"Grid (default) / List","Grid (padrão) / Lista"
"List (default) / Grid","Lista (padrão) / Grelha"
"Automatic (equalize price ranges)","Automático (igualar os intervalos de preço)"
"Automatic (equalize product counts)","Automatico (igualar as contagens do produto)"
"Manual","Manual"
"Fixed","Fixo"
"Percent","Por cento"
"Discount","Desconto"
"-- Please select --","-- Por favor selecione --"
"Product Thumbnail Itself","Imagem miniatura do produto em si"
"Parent Product Thumbnail","Imagem miniatura do produto pai"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Esticar"
"Tile","Azulejo"
"Top/Left","Topo/Esquerda"
"Top/Right","Topo/Direita"
"Bottom/Left","Fundo/Esquerda"
"Bottom/Right","Fundo/Direita"
"Center","Centrar"
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 não estende \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Algo correu mal ao gravar o(s) arquivo(s)."
"File can not be saved to the destination folder.","O ficheiro não pode ser gravado na pasta de destino."
"Unknown EAV indexer type ""%1"".","Tipo de indexador EAV desconhecido ""%1""."
"We can't rebuild the index for an undefined product.","Nós não podemos recriar o índice para um produto indefinido."
"Bad value was supplied.","Foi fornecido um valor inválido."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","O módulo de catálogo Flat tem um limite de %2$d atributos filtráveis e/ou classificáveis. Atualmente existem %1$d. Por favor reduza o número de atributos filtráveis ou classificáveis para utilizar este módulo"
"Unsupported product type ""%1"".","Tipo de produto não suportado ""%1""."
"Please correct the category.","Por favor corrija a categoria."
"Must be category model instance or its id.","Deve ser instância do modelo de uma categoria ou o seu id."
"The attribute model is not defined.","O modelo do atributo não está definido."
"Category","Categoria"
"%1 - %2","%1 - %2"
"%1 was not found in algorithms","%1 was not found in algorithms"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 não estende \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 não estende \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","O filtro deve ser um objeto. Por favor defina um filtro correto."
"Clear Price","Apagar Preço"
"%1 and above","%1 e acima"
"The filters must be an array.","The filters must be an array."
"Product was not registered","Product was not registered"
"Store was not registered","Store was not registered"
"Group price must be a number greater than 0.","O preço de grupo deve ser um número superior a 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","O conversor de Media da galeria deve ser uma instância de EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Não há nenhum MediaGalleryEntryConverter para o tipo fornecido"
"Please enter a number 0 or greater in this field.","Por favor insira um número igual ou superior a 0 neste campo."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","A referência (SKU) deve ter um tamanho máximo de %1 caracteres."
"Please enter a valid number in this field.","Por favor introduza um número válido neste campo."
"We found a duplicate website, tier price, customer group and quantity.","Encontrámos um site, preço por nível, grupo de clientes e quantidade duplicados."
"Percentage value must be a number between 0 and 100.","O valor percentual deve ser um número entre 0 e 100."
"Invalid option id %1","Id de opção %1 inválido"
"Can not create attribute set based on non product attribute set.","Can not create attribute set based on non product attribute set."
"Can not create attribute set based on not existing attribute set","Can not create attribute set based on not existing attribute set"
"Provided Attribute set non product Attribute set.","O conjunto de atributos mencionado não é um conjunto de atributos de um produto."
"Use config","Usar configuração"
"Enabled","Ativo"
"Disabled","Inativo"
"Attribute Set already exists.","O Conjunto de Atributos já existe."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Não foi possível copiar o ficheiro %1. Por favor remova ficheiros media com imagens não existentes e tente novamente."
"The image content is not valid.","The image content is not valid."
"Cannot save product.","Cannot save product."
"Failed to save new media gallery entry.","Failed to save new media gallery entry."
"There is no image with provided ID.","There is no image with provided ID."
"Such product doesn't exist","Such product doesn't exist"
"Such image doesn't exist","Such image doesn't exist"
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Can't get information about the picture: %1","Não é possível obter informações sobre a foto: %1"
"The image could not be resized: ","The image could not be resized: "
"Some images could not be resized. See log file for details.","Some images could not be resized. See log file for details."
"The option type to get group instance is incorrect.","O tipo da opção para obter a instância de grupo está incorreto."
"Select type options required values rows.","As linha de valores são obrigatórias para este tipo de opção."
"ProductSku should be specified","ProductSku should be specified"
"Could not remove custom option","Could not remove custom option"
"Please specify date required option(s).","Por favor especifique as opções de data necessárias."
"Please specify time required option(s).","Por favor especifique as opções de tempo necessárias."
"Please specify product's required option(s).","Please specify product's required option(s)."
"The option instance type in options group is incorrect.","O tipo de instância da opção no grupo de opções está incorreto."
"The product instance type in options group is incorrect.","O tipo de instância do produto no grupo de opções está incorreto."
"The configuration item option instance in options group is incorrect.","A instância de opção de item de configuração no grupo de opções está incorreta."
"The configuration item instance in options group is incorrect.","A instância de configuração do item no grupo de opções está incorreta."
"The BuyRequest instance in options group is incorrect.","A instancia BuyRequest no grupo de opção está incorreta."
"We can't add the product to the cart because of an option validation issue.","Não conseguimos adicionar o produto ao carrinho devido a um problema de validação da opção."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 não estende \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","The file options format is not valid."
"px.","px."
"The file '%1' for '%2' has an invalid extension.","O ficheiro '%1' para '%2' tem uma extensão inválida."
"The maximum allowed image size for '%1' is %2x%3 px.","O tamanho máximo permitido da imagem para '%1' é %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","O ficheiro '%1' que carregou é maior do que os %2 megabytes permitidos pelo nosso servidor."
"The file '%1' is empty. Please choose another one","The file '%1' is empty. Please choose another one"
"The file '%1' is invalid. Please choose another one","O ficheiro '%1' é inválido. Por favor escolha outro"
"File '%1' is not an image.","O ficheiro '%1' não é uma imagem."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","Algumas das opções do item selecionado não estão disponíveis de momento."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Atributo inválido %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Loja solicitada não foi encontrada. Linha ID: SKU = %SKU, loja ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","O atributo inválido custo = %cost. Linha ID: SKU = %SKU, loja ID: %storeId."
"Could not save Prices.","Não foi possível gravar o Preço."
"Could not delete Prices","Não foi possível eliminar os preços"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Loja solicitada não foi encontrada. Linha ID: SKU = %SKU, loja ID: %storeId, preço a partir de: %priceFrom, preço para: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atributo inválido %label = %priceTo. Linha ID: SKU = %SKU, loja ID: %storeId, preço a partir de: %priceFrom, preço para: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","O atributo inválido preço = %price. Linha ID: SKU = %SKU, loja ID: %storeId, preço a partir de: %priceFrom, preço para: %priceTo."
"Could not save Tier Prices","Não consegui salvar a preços de nível"
"Could not replace Tier Prices","Não poderia substituir a preços de nível"
"Could not delete Tier Prices","Não foi possível excluir camada preços"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","O atributo inválido SKU = %SKU. Linha ID: SKU = %SKU, ID do site: %websiteId, grupo de clientes: %customerGroup, quantidade: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo inválido Preço = %parroz. Linha ID: SKU = %SKU, ID do website: %websiteId, Grupo de Clientes: %customerGroup, Quantidade: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo inválido Tipo de Preço = %priceType. Linha ID: SKU = %SKU, ID do website: %websiteId, Grupo de Clientes: %customerGroup, Quantidade: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atributo inválido Quantidade = %qty. Linha ID: SKU = %SKU, ID do website: %websiteId, Grupo de Clientes: %customerGroup, Quantidade: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ID do site de atributo inválido = %websiteId. ID da linha: SKU = %SKU, ID do website: %websiteId, Grupo de Clientes: %customerGroup, Quantidade: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Encontramos um website duplicado, preço de nível, grupo de clientes e quantidade: Grupo de Cliente = %customerGroup, ID do site = %websiteId, Quantidade = %qty. ID da linha: SKU = %SKU, ID do site: %websiteId, Grupo de Clientes: %customerGroup, Quantidade: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Nenhuma entidade com Grupo de Clientes = %customerGroup. ID da linha: SKU = %SKU, ID do Site: %websiteId, Grupo de Clientes: %customerGroup, Quantidade: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","O produto não tem preço por níveis com tais dados: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Algo correu mal ao processar o pedido."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 não estende \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 não estende \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Não Visível Individualmente"
"Search","Pesquisa"
"Catalog, Search","Catálogo, Pesquisa"
"Something went wrong while removing products from the websites.","Algo correu mal durante a remoção de produtos dos sites."
"Something went wrong while adding products to websites.","Algo correu mal ao adicionar produtos aos sites."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","O produto com o SKU '%1' não está ligado ao produto com o SKU '%2'"
"Product %1 doesn't have linked %2 as %3","O produto %1 não está ligado a %2 como a %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Dados do produto inválidos: %1"
"Database connection error","Erro de ligação de base de dados"
"Database deadlock found when trying to get lock","Encontrado Deadlock na base de dados ao tentar obter o bloqueio"
"Database lock wait timeout exceeded","O tempo de espera do bloqueio da base de dados foi excedido"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Não existem sites para atribuir ao produto"
"Could not assign product ""%1"" to websites ""%2""","Não foi possível atribuir o produto ""%1"" ao(s) site(s) ""%2"""
"Could not save product ""%1"" with websites %2","Não foi possível gravar o produto ""%1"" no(s) site(s) %2"
"We cannot determine the field name.","Não conseguimos determinar o nome do campo."
"Attribute '%1' is locked. %2","O atributo '%1' está bloqueado. %2"
"Do not change the scope. %1","Não altere o escopo. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processador %1 não implementa BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Não está definido um tipo de produto para o indexador."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","O produto com a referência %1 não está ligado ao produto com a referência %2"
"Multiple Select","Seleção Múltipla"
"Dropdown","Menu"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 não estende \Magento\Framework\Filter\Template"
"As low as","Tão baixo quanto"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Não foi possível obter atributos de extensão"
"message","mensagem"
"fl","fl"
"Lock wait timeout","Tempo limite de espera de bloqueio"
"123","123"
"Images","Imagens"
"Select...","Selecione..."
"Advanced Pricing","Preçário Avançado"
"Customer Group Price","Preço de grupo de clientes"
"Customer Group","Grupos de Clientes"
"Special Price From","Preço Especial de"
"To","Para"
"Done","Concluído"
"Product Alerts","Alertas de Produto"
"Alert stock","Alerta de stock"
"Alert Stock","Alerta de stock"
"Alert price","Alerta de preço"
"Alert Price","Alerta de preço"
"Add Selected","Adicionar Selecionadas"
"Select Attribute","Selecionar Atributo"
"Create New Attribute","Criar Novo Atributo"
"Customizable Options","Opções Personalizáveis"
"Custom options let customers choose the product variations they want.","Opções personalizadas permitem os clientes escolherem variações do produtos conforme desejarem."
"Add Option","Adicionar Opção"
"New Option","Nova Opção"
"Select Product","Selecionar Produto"
"Option Title","Título da opção"
"Add Value","Agregar Valor"
"Title","Título"
"Option Type","Tipo de Opção"
"Required","Obrigatório"
"Price Type","Tipo de Preço"
"Max Characters","Max Caracteres"
"Compatible File Extensions","Extensões de Ficheiro Compatíveis"
"Enter separated extensions, like: png, jpg, gif.","Insira extensões separadas, como: png, jpg, gif."
"Maximum Image Size","Tamanho máximo da imagem"
"Please leave blank if it is not an image.","Por favor deixe em branco se não for uma imagem."
"%1","%1"
"This item has weight","Este item tem peso"
