"Add New Template","Dodaj nowy szablon"
"Are you sure you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"The template did not load. Please review the log for details.","Szablon nie został załadowany. Przejrzyj dziennik, aby uzyskać szczegóły."
"Footer","Stopka"
"Thank you, %store_name","Dziękuję, %store_name"
"Header","Nagłówek"
"Communications","Komunikacja"
"No Templates Found","Nie znaleziono szablonów"
"ID","Identyfikator"
"Added","Dodane"
"Updated","Zaktualizowano"
"Subject","Temat"
"Template Type","Typ szablonu"
"Action","Operacja"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Obrazek logo"
"Logo Image Alt","ALT dla obrazka logo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Konieczne tylko, gdy zdjęcie zostało przesłane powyżej. Podaj liczbę pikseli, bez ""px""."
"Logo Width","Logo szerokość"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Konieczne tylko, gdy zdjęcie zostało przesłane powyżej. Podaj wysokość zdjęcia w pikselach, bez ""px""."
"Logo Height","Wysokość logo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Szablon e-mail wybrany na podstawie cofania w motywie, gdy wybrana jest opcja ""Domyślny""."
"Header Template","Nagłówek szablon"
"Footer Template","Szablon stopki"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
