"Add New Template","Dodaj nowy szablon"
"We're sorry, an error has occurred while generating this content.","Przepraszamy. Wystąpił błąd podczas generowania treści."
"Invalid sender data","Nieprawidłowe dane nadawcy"
"Title","Tytuł"
"Load default template","Załaduj domyślny szablon"
"Template","Szablon"
"Are you sure you want to strip tags?","Czy na pewno chcesz usunąć znaczniki?"
"Are you sure you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"The template did not load. Please review the log for details.","Szablon nie został załadowany. Przejrzyj dziennik, aby uzyskać szczegóły."
"Footer","Stopka"
"Thank you, %store_name","Dziękuję, %store_name"
"Header","Nagłówek"
"Communications","Komunikacja"
"No Templates Found","Nie znaleziono szablonów"
"ID","Identyfikator"
"Added","Dodane"
"Updated","Zaktualizowano"
"Subject","Temat"
"Template Type","Typ szablonu"
"Action","Operacja"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Dozwolone typy plików: jpg, jpeg, gif, png. Aby zoptymalizować logo dla wyświetlaczy o wysokiej rozdzielczości, prześlij obraz, który jest 3x większy niż normalny rozmiar, a następnie określ 1 x (normalny) wymiar szerokości/wysokości pola poniżej."
"Logo Image","Obrazek logo"
"Logo Image Alt","ALT dla obrazka logo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Konieczne tylko, gdy zdjęcie zostało przesłane powyżej. Podaj liczbę pikseli, bez ""px""."
"Logo Width","Logo szerokość"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Konieczne tylko, gdy zdjęcie zostało przesłane powyżej. Podaj wysokość zdjęcia w pikselach, bez ""px""."
"Logo Height","Wysokość logo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Szablon e-mail wybrany na podstawie cofania w motywie, gdy wybrana jest opcja ""Domyślny""."
"Header Template","Nagłówek szablon"
"Footer Template","Szablon stopki"
"We're sorry, an error has occurred while generating this email.","Przepraszamy. Wystąpił błąd podczas generowania wiadomości e-mail."
"Emails","E-maile"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Dozwolone typy plików: jpg, jpeg, gif, png. Aby zoptymalizować logo dla wyświetlaczy o wysokiej rozdzielczości, prześlij obraz, który jest 3x normalny rozmiar i następnie określić 1 x Wymiary szerokość/wysokość pola poniżej."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Tylko niezbędne, jeśli obraz został przekazany powyżej. Wpisz liczbę pikseli, bez ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Aby zoptymalizować logo dla wyświetlaczy o wysokiej rozdzielczości, prześlij obraz, który jest 3x większy niż normalny rozmiar, a następnie określ 1x (normalny) wymiar szerokości/wysokości w polach poniżej."
