"Shopping Cart","Kereta Belanja"
"Clear Shopping Cart","Hapus keranjang belanja"
"Update Shopping Cart","Memperbarui keranjang belanja"
"Update Cart","Update Keranjang"
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"What's this?","Apa ini?"
"Edit item parameters","Menyunting parameter item"
"Edit","Ubah"
"Remove item","Hapus item"
"You have no items in your shopping cart.","Anda tidak memiliki barang dalam keranjang belanja Anda."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href="" %1 ""> di sini </a> untuk terus berbelanja."
"Estimate Tax","Memperkirakan pajak"
"Estimate Shipping and Tax","Perkiraan pengiriman dan pajak"
"Excl. Tax","Belum termasuk pajak"
"Loading...","Pemuatan..."
"Order #","Pesanan #"
"Proceed to Checkout","Lanjutkan untuk Checkout"
"Product Name","Nama Produk"
"Incl. Tax","Incl. Pajak"
"Your order number is: %1.","Nomor pesanan anda adalah: %1."
"Your order # is: <span>%1</span>.","Pesanan Anda # adalah: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Kami akan mengirimkan konfirmasi pesanan melalui email dengan detail dan info pelacakan."
"Payment Transaction Failed Reminder","Pengingat Pembayaran Gagal Transaksi"
"Payment Transaction Failed","Transaksi Pembayaran Gagal"
"Reason","Alasan"
"Checkout Type","Cek jenis pengeluaran"
"Customer:","Pelanggan:"
"Items","Item"
"Total:","Total:"
"Billing Address:","Alamat tagihan:"
"Shipping Address:","Alamat Pengiriman:"
"Shipping Method:","Metode pengiriman:"
"Payment Method:","Metode pembayaran:"
"Date & Time:","Tanggal Waktu:"
"Sign In","Masuk"
"Email Address","Alamat email"
"Password","Kata sandi"
"Forgot Your Password?","Lupa kata sandi Anda?"
"My billing and shipping address are the same","Alamat penagihan dan pengiriman saya sama"
"Update","Memperbarui"
"Cancel","Membatalkan"
"Save in address book","Simpan di buku alamat"
"Estimated Total","Taksiran Total"
"You can create an account after checkout.","Anda bisa membuat akun setelah checkout."
"You already have an account with us. Sign in or continue as guest.","Anda sudah memiliki akun dengan kami. Masuk atau lanjutkan sebagai tamu."
"Login","Masuk"
"See Details","Lihat Rincian"
"Options Details","Rincian pilihan"
"Remove","Menghapus"
"Cart Subtotal","Keranjang Subtotal"
"Payment Information","Informasi Pembayaran"
"No Payment method available.","Tidak ada metode pembayaran yang tersedia."
"You can track your order status by creating an account.","Anda dapat melacak status pesanan Anda dengan membuat akun."
"Place Order","Tempat pemesanan"
"Forgot an Item?","Lupa Item?"
"Edit Your Cart","Edit Keranjang Anda"
"Ship Here","Kirim disini"
"Ship To:","Dikirim ke:"
"edit","edit"
"Order Summary","Ringkasan pesanan"
"View and Edit Cart","Lihat dan Edit Keranjang"
"View Details","Melihat rincian"
"Field ","Bidang "
" is required."," dibutuhkan."
"Provided Zip/Postal Code seems to be invalid.","Kode Zip / Postal yang Diberikan nampaknya tidak valid."
" Example: "," Contoh: "
"If you believe it is the right one you can ignore this notice.","Jika Anda yakin itu salah, Anda bisa mengabaikan pemberitahuan ini."
"New Address","Alamat baru"
"Are you sure you would like to remove this item from the shopping cart?","Apakah anda yakin ingin menghapus item ini dari Keranjang belanja?"
"Review & Payments","Lihat pembayaran"
"Select a new payment method","Pilih metode pembayaran baru"
"Shipping","Pengiriman"
"Save Address","Simpan Alamat"
"Please specify a shipping method.","Tentukan metode pengiriman."
"Checkout Options","Pilihan Checkout"
"Enable Onepage Checkout","Aktifkan Onsite Checkout"
"Allow Guest Checkout","Izinkan Tamu Checkout"
"Display Billing Address On","Alamat Penagihan Display On"
"Maximum Number of Items to Display in Order Summary","Jumlah Item Maksimum untuk ditampilkan dalam Ringkasan Pesanan"
"Quote Lifetime (days)","(Selamat)"
"After Adding a Product Redirect to Shopping Cart","Setelah Menambah Pengalihan Produk ke Keranjang Belanja"
"Number of Items to Display Pager","Jumlah Item ke Display Pager"
"My Cart Link","Link Cart saya"
"Display Cart Summary","Ringkasan Keranjang Belanja"
"Shopping Cart Sidebar","Daftar Belanja Sidebar"
"Display Shopping Cart Sidebar","Tampilkan Keranjang Belanja Sidebar"
"Number of Items to Display Scrollbar","Jumlah Item untuk Menampilkan Scrollbar"
"Maximum Number of Items to Display","Jumlah Item Maksimum untuk Display"
"Payment Failed Emails","Email Gagal Pembayaran"
"Payment Failed Email Sender","Pembayaran Gagal Email Pengirim"
"Payment Failed Email Receiver","Pembayaran Gagal Email Receiver"
"Payment Failed Template","Template Gagal Pembayaran"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
"Send Payment Failed Email Copy To","Kirim Pembayaran Gagal Email Copy To"
"Separate by "","".","Pisahkan dengan "",""."
"Send Payment Failed Email Copy Method","Kirimkan Metode Salin Email Gagal Pembayaran"
"Summary","Ringkasan"
"Order Total","Jumlah pesanan"
"Shipping Address","Alamat Pengiriman"
"We'll send your order confirmation here.","Kami akan mengirimkan konfirmasi pesanan anda disini."
"Payment","Pembayaran"
"Not yet calculated","Belum dihitung"
"We received your order!","Kami menerima pesanan anda!"
"Thank you for your purchase!","Terima kasih atas pembelian Anda!"
"Minimum order amount is %1","Jumlah minimum order adalah %1"
"Unable to save address. Please, check input data.","Tidak dapat menyimpan alamat. Tolong, periksa data masukan."
"Unable to save shipping information. Please, check input data.","Tidak dapat menyimpan informasi pengiriman. Tolong, periksa data masukan."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Keranjang berisi produk(s) virtual saja. Alamat pengiriman tidak berlaku."
"Wrong minimum amount.","Jumlah minimum yang salah."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href="" %1""onclick=""this.target='_blank'"" class=""print""> Tanda terima cetak </a>"
"Forgot Password","Lupa kata sandi"
"Close","Tutup"
"item","barang"
"items","item"
"Go to Checkout","Buka Pemeriksaan"
"Recently added item(s)","Item yang baru saja ditambahkan"
"View and edit cart","Lihat dan edit keranjang"
"No Payment Methods","Tidak ada metode pembayaran"
"Shipping Methods","Metode pengiriman"
"Select Method","Pilih metode"
"Method Title","Judul metode"
"Carrier Title","Judul pembawa"
"Next","Berikutnya"
"Sorry, no quotes are available for this order at this time","Maaf, tidak ada penawaran yang tersedia untuk pesanan ini saat ini"
"Item in Cart","Item dalam Keranjang"
"Items in Cart","Item dalam Keranjang"
"Require Customer To Be Logged In To Checkout","Memerlukan Pelanggan Ditandai Masuk Untuk Periksa"
"Maximum Display Recently Added Item(s)","Maksimum Tampilan Item (s)"
"of","dari"
"Something went wrong while saving the page. Please refresh the page and try again.","Terjadi kesalahan saat menyimpan halaman. Silahkan muat ulang halaman dan coba lagi."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Alamat Tagihan"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Tidak dapat melakukan pemesanan. Silakan coba lagi nanti."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
