"Shopping Cart","Καλάθι"
"Something went wrong while processing your order. Please try again later.","Κάτι πήγε στραβά κατά την επεξεργασία της παραγγελίας σας. Παρακαλώ δοκιμάστε ξανά αργότερα."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 δεν επεκτείνεται \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Μέθοδος Πληρωμής"
"Payment Page","Σελίδα πληρωμής"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Please provide CAPTCHA code and try again","Please provide CAPTCHA code and try again"
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"We found an invalid request for adding product to quote.","Βρήκαμε μια άκυρη αίτηση για προσθήκη προϊόντος σε προσφορά."
"The product does not exist.","Το προϊόν δεν υπάρχει."
"We don't have some of the products you want.","Δεν έχουμε μερικά από τα προϊόντα που θέλετε."
"We don't have as many of some products as you want.","Δεν έχουμε τόσα από κάποια προϊόντα που θέλετε."
"Quantity was recalculated from %1 to %2","Η ποσότητα, υπολογίστηκε εκ νέου από %1 σε %2"
"We adjusted product quantities to fit the required increments.","Έχουμε προσαρμόσει τις ποσότητες προϊόντων για να χωρέσουν στις απαιτούμενες αυξήσεις."
"This quote item does not exist.","Αυτό το στοιχείο προσφοράς δεν υπάρχει."
"Display number of items in cart","Εμφάνιση αριθμού ειδών στο καλάθι"
"Display item quantities","Εμφάνιση ποσοτήτων των ειδών"
"An error occurred on the server. Please try to place the order again.","Παρουσιάστηκε σφάλμα στο διακομιστή. Παρακαλώ ξανά δοκιμάστε την παραγγελία."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping information was unable to be saved. Error: ""%message""","The shipping information was unable to be saved. Error: ""%message"""
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"Carrier with such method not found: %1, %2","Ο μεταφορέας με αυτή τη μέθοδο δεν βρέθηκε: %1, %2"
"The shipping method is missing. Select the shipping method and try again.","Λείπει η μέθοδος αποστολής. Επιλέξτε μέθοδο αποστολής και προσπαθήστε ξανά."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
" item"," είδος"
" items"," είδη"
"Totals calculation is not applicable to empty cart","Ο υπολογισμός συνόλων δεν είναι εφαρμόσιμος για άδειο καλάθι"
"Invalid data","Μη έγκυρα δεδομένα"
"The customer address is not valid.","Η Διεύθυνση του πελάτη δεν είναι έγκυρη."
"Invalid shipping method","Μη έγκυρη μέθοδος αποστολής"
"There are more than one shipping addresses.","Υπάρχουν περισσότερες από μία διευθύνσεις αποστολής."
"Sorry, guest checkout is not available.","Συγνώμη, η ολοκλήρωση της παραγγελίας επισκεπτών δεν είναι διαθέσιμη."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Θα πρέπει να επιβεβαιώσετε το λογαριασμό σας. Παρακαλώ ελέγξτε το email σας για το σύνδεσμο επιβεβαίωσης ή <a href=""%1"">κάντε κλικ εδώ</a> για ένα νέο σύνδεσμο."
"Load customer quote error","Σφάλμα φόρτωσης προσφοράς πελάτη"
"Error!","Σφάλμα!"
"Error","Error"
"DB exception","Εξαίρεση DB"
"Message","Μήνυμα"
"Print receipt","Εκτύπωση απόδειξης"
"Apply Discount Code","Εφαρμόστε το κωδικό έκπτωσης"
"Enter discount code","Εισάγετε τον κωδικό έκπτωσης"
"Apply Discount","Εφαρμόστε την έκπτωση"
"Cancel Coupon","Ακύρωση Κουπονιού"
"Shopping Cart Items","Είδη Καλαθιού"
"Item","Είδος"
"Price","Τιμή"
"Qty","Ποσότητα"
"Subtotal","Υποσύνολο"
"Continue Shopping","Συνέχεια Αγορών"
"Clear Shopping Cart","Καθαρισμός του Καλαθιού Αγορών"
"Update Shopping Cart","Ενημερώστε το καλάθι αγορών"
"Update Cart","Ενημερώστε το καλάθι"
"See price before order confirmation.","Δείτε την τιμή πριν από την επιβεβαίωση της παραγγελίας."
"What's this?","Τι είναι αυτό;"
"Edit item parameters","Επεξεργαστείτε τις παραμέτρους του είδους"
"Edit","Επεξεργασία"
"Remove item","Αφαίρεση είδους"
"You have no items in your shopping cart.","Δεν έχετε προϊόντα στο καλάθι αγορών σας."
"Click <a href=""%1"">here</a> to continue shopping.","Κάντε κλικ <a href=""%1"">εδώ</a> για να συνεχίσετε τις αγορές."
"Estimate Tax","Υπολογισμός Φόρου"
"Estimate Shipping and Tax","Εκτίμηση μεταφορικών και Φόρων"
"Excl. Tax","Χωρίς ΦΠΑ"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Προσθέσατε %1 στο <a href=""%2"">καλάθι αγορών σας</a>."
"Loading...","Φόρτωση..."
"Order #","Παραγγελία #"
"Proceed to Checkout","Προχωρήστε στην Αγορά"
"Product Name","Όνομα Προϊόντος"
"Incl. Tax","Με ΦΠΑ"
"Your order number is: %1.","Ο αριθμός παραγγελίας σας είναι: %1."
"Your order # is: <span>%1</span>.","Η παραγγελία σας # είναι: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Θα σας στείλουμε μια επιβεβαίωση παραγγελίας με λεπτομέρειες και πληροφορίες εντοπισμού."
"Payment Transaction Failed Reminder","Υπενθύμιση Αποτυχίας Πράξης Πληρωμής"
"Payment Transaction Failed","Η Πράξη πληρωμής απέτυχε"
"Reason","Αιτία"
"Checkout Type","Τύπος Ολοκλήρωσης Παραγγελίας"
"Customer:","Πελάτης:"
"Items","Είδη"
"Total:","Σύνολο:"
"Billing Address:","Διεύθυνση Χρέωσης:"
"Shipping Address:","Διεύθυνση Αποστολής:"
"Shipping Method:","Μέθοδος Αποστολής:"
"Payment Method:","Μέθοδος Πληρωμής:"
"Date & Time:","Ημερομηνία & Ώρα:"
"Sign In","Σύνδεση"
"Email Address","Διεύθυνση Email"
"Password","Κωδικός πρόσβασης"
"Forgot Your Password?","Ξεχάσατε τον Κωδικό σας;"
"My billing and shipping address are the same","Η διεύθυνση αποστολής και χρέωσης είναι η ίδια"
"Update","Ενημέρωση"
"Cancel","Άκυρο"
"Save in address book","Αποθήκευση στο βιβλίο διευθύνσεων"
"Billing Address","Billing Address"
"Estimated Total","Εκτίμιση Συνόλου"
"You can create an account after checkout.","Μπορείτε να δημιουργήσετε ένα λογαριασμό μετά την ολοκλήρωση της παραγγελίας."
"You already have an account with us. Sign in or continue as guest.","Έχετε ήδη ένα λογαριασμό μαζί μας. Εισέλθετε ή συνεχίστε ως επισκέπτης."
"Login","Σύνδεση"
"Close","Κλείσιμο"
"of","of"
"Items in Cart","Είδη στο Καλάθι"
"Item in Cart","Στοιχείο στο καλάθι"
"Recently added item(s)","Recently added item(s)"
"View and Edit Cart","Προβολή και επεξεργασία καλαθιού"
"See Details","Δείτε λεπτομέρειες"
"Options Details","Λεπτομέρειες Επιλογών"
"Remove","Διαγραφή"
"Cart Subtotal","Μερικό Άθροισμα Καλαθιού"
"No Payment Methods","No Payment Methods"
"Payment Information","Στοιχεία Πληρωμής"
"No Payment method available.","Δεν υπάρχει διαθέσιμη μέθοδος πληρωμής."
"You can track your order status by creating an account.","Μπορείτε να παρακολουθείτε την κατάσταση της παραγγελίας σας, δημιουργώντας ένα λογαριασμό."
"Create an Account","Create an Account"
"Place Order","Υποβολή Παραγγελίας"
"Forgot an Item?","Ξεχάσατε ένα στοιχείο;"
"Edit Your Cart","Επεξεργαστείτε το καλάθι σας"
"Ship Here","Αποστολή εδώ"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Ship To:","Αποστολή σε:"
"edit","επεξεργασία"
"Shipping Address","Διεύθυνση Αποστολής"
"New Address","Νέα διεύθυνση"
"Shipping Methods","Shipping Methods"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Order Summary","Σύνοψη Παραγγελίας"
"View Details","Προβολή Λεπτομερειών"
"Provided Zip/Postal Code seems to be invalid.","Ο παρεχόμενος Ταχυδρομικός Κώδικας φαίνεται να μην είναι έγκυρος."
" Example: "," Παράδειγμα: "
"If you believe it is the right one you can ignore this notice.","Αν πιστεύετε ότι είναι το σωστό, μπορείτε να παραβλέψετε αυτήν την ειδοποίηση."
"Field ","Πεδίο "
" is required."," απαιτείται."
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your shopping cart?"
"Are you sure you would like to remove this item from the shopping cart?","Είστε βέβαιοι ότι θέλετε να καταργήσετε αυτό το στοιχείο από το καλάθι αγορών;"
"Review & Payments","Αναθεώρηση & Πληρωμές"
"Select a new payment method","Επιλέξτε μια νέα μέθοδο πληρωμής"
"Shipping","Μεταφορικά"
"Save Address","Αποθήκευση διεύθυνσης"
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
"Checkout Options","Επιλογές Αγοράς"
"Enable Onepage Checkout","Ενεργοποίηση Αγοράς Μίας Σελίδας"
"Allow Guest Checkout","Να Επιτρέπεπεται η Ολοκλήρωση Αγοράς από Επισκέπτες"
"Display Billing Address On","Εμφάνιση διεύθυνση χρέωσης σε"
"Maximum Number of Items to Display in Order Summary","Μέγιστος αριθμός στοιχείων προς εμφάνιση στην περίληψη παραγγελίας"
"Quote Lifetime (days)","Διάρκεια προσφοράς (ημέρες)"
"After Adding a Product Redirect to Shopping Cart","Αφού Προσθέτετε ένα Προϊόν να Πηγαίνετε στο Καλάθι Αγορών"
"Number of Items to Display Pager","Αριθμός στοιχείων προς εμφάνιση Pager"
"Show Cross-sell Items in the Shopping Cart","Εμφάνιση Διασταυρούμενων Ειδών στο Καλάθι Αγορών"
"Enable Clear Shopping Cart","Enable Clear Shopping Cart"
"My Cart Link","Ο Σύνδεσμος για το καλάθι μου"
"Display Cart Summary","Προβολή Περίληψης Καλαθιού"
"Mini Cart","Mini Cart"
"Display Mini Cart","Display Mini Cart"
"Number of Items to Display Scrollbar","Αριθμός στοιχείων προς εμφάνιση"
"Maximum Number of Items to Display","Μέγιστος αριθμός στοιχείων προς εμφάνιση"
"Payment Failed Emails","Emails Αποτυχίας Πληρωμής"
"Payment Failed Email Sender","Αποστολέας Email Αποτυχίας Πληρωμής"
"Payment Failed Email Receiver","Παραλήπτης Email Αποτυχίας Πληρωμής"
"Payment Failed Template","Πρότυπο Αποτυχίας Πληρωμής"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Το επιλεγμένο πρότυπο Email βασίζεται στo μητρικό θέμα όταν έχει επιλεχθεί η επιλογή ""Default""."
"Send Payment Failed Email Copy To","Στείλτε το αντίγραφο Email Αποτυχίας Πληρωμής Σε"
"Separate by "","".","Διαχωρισμός με "",""."
"Send Payment Failed Email Copy Method","Μέθοδος αποστολής του αντιγράφου Email Αποτυχίας Πληρωμής"
"Summary","Περίληψη"
"Order Total","Σύνολο Παραγγελίας"
"We'll send your order confirmation here.","Θα σας στείλουμε την επιβεβαίωση της παραγγελίας σας εδώ."
"Payment","Πληρωμή"
"Not yet calculated","Δεν έχει ακόμη υπολογιστεί"
"The order was not successful!","The order was not successful!"
"Thank you for your purchase!","Σας ευχαριστούμε για την αγορά σας!"
