"Shopping Cart","ตระกร้าสินค้า"
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Display number of items in cart"
"Display item quantities","Display item quantities"
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping information was unable to be saved. Error: ""%message""","The shipping information was unable to be saved. Error: ""%message"""
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
" item"," รายการ"
" items"," รายการ"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Invalid data","Invalid data"
"The customer address is not valid.","The customer address is not valid."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping addresses.","There are more than one shipping addresses."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"Load customer quote error","Load customer quote error"
"Error!","ข้อผิดพลาด!"
"Error","Error"
"DB exception","DB exception"
"Message","ข้อ​ความ"
"Print receipt","Print receipt"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Shopping Cart Items","Shopping Cart Items"
"Item","รายการ"
"Price","ราคา"
"Qty","จำนวน"
"Subtotal","ผลรวมย่อย"
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","อัพเดทตะกร้าสินค้า"
"Update Cart","อัพเดท ตะกร้าสินค้า"
"See price before order confirmation.","โปรดตรวจสอบราคาก่อนยืนยันการสั่งซื้อ"
"What's this?","นี่คืออะไร?"
"Edit item parameters","แก้ไข item parameters"
"Edit","แก้ไข"
"Remove item","ลบสินค้า"
"You have no items in your shopping cart.","คุณไม่มีสินค้าในตะกร้า"
"Click <a href=""%1"">here</a> to continue shopping.","คลิก <a href=""%1"">ที่นี่</a> เพื่อช้อปปิ้งต่อ"
"Estimate Tax","ภาษีโดยประมาณ"
"Estimate Shipping and Tax","ค่าจัดส่ง และภาษี โดยประมาณ"
"Excl. Tax","ไม่รวมภาษี"
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Loading...","กำลังโหลด..."
"Order #","รายการสั่งซื้อ #"
"Proceed to Checkout","เริ่มชำระเงิน"
"Product Name","ชื่อสินค้า"
"Incl. Tax","รวมภาษี"
"Your order number is: %1.","รหัสการสั่งซื้อของคุณคือ %1"
"Your order # is: <span>%1</span>.","คำสั่งซื้อ #: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","เราจะอีเมลถึงคุณ เพื่อยืนยันการสั่งซื้อและให้รายละเอียดการติดตามการจัดส่งสินค้า"
"Payment Transaction Failed Reminder","แจ้งเตือนการชำระเงินล้มเหลว"
"Payment Transaction Failed","การชำระเงินล้มเหลว"
"Reason","สาเหตุ"
"Checkout Type","รูปแบบการชำระเงิน"
"Customer:","ลูกค้า:"
"Items","รายการ"
"Total:","รวม:"
"Billing Address:","ที่อยู่ในการเรียกเก็บเงิน"
"Shipping Address:","ที่อยู่จัดส่งสินค้า"
"Shipping Method:","วิธีการจัดส่ง:"
"Payment Method:","วิธีการชำระเงิน:"
"Date & Time:","วันและเวลา"
"Sign In","เข้าสู่ระบบ"
"Email Address","ที่อยู่อีเมล"
"Password","รหัสผ่าน"
"Forgot Your Password?","ลืมรหัสผ่าน?"
"My billing and shipping address are the same","ที่อยู่ใบเสร็จ และที่อยู่จัดส่งสินค้า เป็นที่อยู่เดียวกัน"
"Update","อัพเดท"
"Cancel","ยกเลิก"
"Save in address book","บันทึกในสมุดเก็บที่อยู่"
"Billing Address","Billing Address"
"Estimated Total","ราคารวมโดยประมาณ"
"You can create an account after checkout.","คุณสามารถสร้างบัญชีผู้ใช้ได้ หลังจากทำการชำระเงิน"
"You already have an account with us. Sign in or continue as guest.","คุณมีบัญชีอยู่กับเราแล้ว ลงชื่อเข้าใช้ หรือดำเนินการต่อ"
"Login","เข้าสู่ระบบ"
"Close","ปิด"
"of","of"
"Items in Cart","ชิ้นในตะกร้า"
"Item in Cart","ชิ้นในตะกร้า"
"Recently added item(s)","Recently added item(s)"
"View and Edit Cart","View and Edit Cart"
"See Details","ดูรายละเอียด"
"Options Details","รายละเอียดตัวเลือก"
"Remove","ลบ"
"Cart Subtotal","ผลรวมย่อยของรถเข็น"
"No Payment Methods","No Payment Methods"
"Payment Information","ข้อมูลการชำระเงิน"
"No Payment method available.","ไม่มีวิธีการชำระเงินที่ไม่พร้อมใช้งาน"
"You can track your order status by creating an account.","คุณสามารถติดตามสถานะการสั่งซื้อ โดยการสร้างบัญชี"
"Create an Account","Create an Account"
"Place Order","สั่งสินค้า"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Edit Your Cart"
"Ship Here","Ship Here"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Ship To:","Ship To:"
"edit","edit"
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Order Summary","Order Summary"
"View Details","ดูรายละเอียด"
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Field ","Field "
" is required."," is required."
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your shopping cart?"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Review & Payments","Review & Payments"
"Select a new payment method","Select a new payment method"
"Shipping","การจัดส่ง"
"Save Address","Save Address"
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
"Checkout Options","Checkout Options"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Allow Guest Checkout"
"Display Billing Address On","Display Billing Address On"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Number of Items to Display Pager","Number of Items to Display Pager"
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Enable Clear Shopping Cart","Enable Clear Shopping Cart"
"My Cart Link","My Cart Link"
"Display Cart Summary","Display Cart Summary"
"Mini Cart","Mini Cart"
"Display Mini Cart","Display Mini Cart"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","อีเมลเทมเพลทจะเลือกตาม ค่าตั้งต้นที่ถูกเลือก"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Separate by "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","Summary"
"Order Total","Order Total"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Payment","Payment"
"Not yet calculated","Not yet calculated"
"The order was not successful!","The order was not successful!"
"Thank you for your purchase!","Thank you for your purchase!"
