"Country","Țara"
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Tranzacția nu poate fi anulată dacă starea unei tranzacții cu copil parțial de decontare este settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Prea multe încercări concomitente de a rambursa această tranzacție. Încercați din nou mai târziu."
"Too many concurrent attempts to void this transaction. Try again later.","Prea multe încercări concomitente de anulare a tranzacției. Încercați din nou mai târziu."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Acceptați carduri de credit/debit și PayPal în Magento.<br/>Fără configurare sau taxe lunare și clienții dvs. nu părăsesc niciodată magazinul dvs. pentru a finaliza achiziția."
"Enable this Solution","Activați această soluție"
"Enable PayPal through Braintree","Activează PayPal prin Braintree"
"Vault Enabled","Seif activat"
"Basic Braintree Settings","Setări Braintree de bază"
"Title","Titlu"
"Environment","Mediu"
"Payment Action","Acțiune de plată"
"Merchant ID","ID-ul vânzătorului"
"Public Key","Cheie publică"
"Private Key","Cheie privată"
"Advanced Braintree Settings","Setări avansate Braintree"
"Vault Title","Titlu seif"
"Merchant Account ID","ID cont comerciant"
"Advanced Fraud Protection","Protecție Avansată împotriva fraudei"
"Kount Merchant ID","ID Comerciant"
"Debug","Depanare"
"CVV Verification","Verificare CVV"
"Credit Card Types","Tipuri de card de credit"
"Sort Order","Ordine de sortare"
"Country Specific Settings","Setări specifice fiecărei țări"
"Payment from Applicable Countries","Plată din țările eligibile"
"Payment from Specific Countries","Plată din țări specifice"
"Country Specific Credit Card Types","Tipuri de carduri de credit specifice fiecărei țări"
"PayPal through Braintree","Activează PayPal prin Braintree"
"Override Merchant Name","Suprascrie numele Comerciantului"
"Require Customer's Billing Address","Solicitați adresa de facturare a clientului."
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permite editarea adresei de livrare introdusă în timpul plății pe PayPal Side"
"Display on Shopping Cart","Afișați în coșul de cumpărături"
"Skip Order Review","Omiteți pasul de Revizuire Comandă"
"3D Secure Verification Settings","Setări de verificare 3D Secure"
"3D Secure Verification","Verificare 3D Secure"
"Threshold Amount","Cantitate prag"
"Verify for Applicable Countries","Verificarea țărilor pentru care se aplică"
"Verify for Specific Countries","Verificați pentru anumite țări"
"Dynamic Descriptors","Descriptori dinamici"
"Name","Nume"
"Phone","Telefon"
"URL","URL"
"CVV is required.","CVV este necesar."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV trebuie să aibă 4 cifre pentru American Express și 3 cifre pentru alte tipuri de carduri."
"Expiration date is required.","Data expirării este necesară."
"Expiration date is invalid.","Data de expirare este invalidă."
"Expiration year is invalid. It must be between 1975 and 2201.","Anul de expirare este invalid. Trebuie să fie între 1975 și 2201."
"Expiration month is invalid.","Luna expirării este invalidă."
"Expiration year is invalid.","Anul de expirare nu este valid."
"Credit card number is required.","Este necesar să completezi numărul cardului de credit"
"Credit card number is invalid.","Numărul cardului de credit nu este valid."
"Credit card number must be 12-19 digits.","Numărul cardului de credit trebuie să fie între 12-19 cifre."
"Cardholder name is too long.","Numele titularului cardului este prea lung."
"CVV verification failed.","Verificarea CVV a eșuat."
"Postal code verification failed.","Verificarea codului poștal a eșuat."
"Credit card number is prohibited.","Numărul cardului de credit este interzis."
"Addresses must have at least one field filled in.","Adresele trebuie să conțină cel puțin un câmp completat."
"Company is too long.","Numele companiei este prea lung."
"Extended address is too long.","Adresa extinsă este prea lungă."
"First name is too long.","Prenumele este prea lung."
"Last name is too long.","Numele de familie este prea lung."
"Locality is too long.","Localizarea este prea lungă."
"Postal code is required.","Codul poștal este necesar."
"Postal code may contain no more than 9 letter or number characters.","Codul poștal nu poate conține mai mult de 9 litere sau numere."
"Region is too long.","Regiunea este prea lungă."
"Street address is required.","Adresa este obligatorie."
"Street address is too long.","Adresa este prea lunga."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Codul poștal poate conține doar litere, numere, spații și cratime."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Codul de stat din SUA trebuie să aibă două caractere pentru a îndeplini cerințele de protecție a vânzătorului PayPal."
"Incomplete PayPal account information.","Informații incomplete despre contul PayPal."
"Invalid PayPal account information.","Informații cont PayPal invalide."
"PayPal Accounts are not accepted by this merchant account.","Conturile de PayPal nu sunt acceptate de acest cont de comerciant."
"Billing address format is invalid.","Formatul adresei de facturare este invalid."
"Country name is not an accepted country.","Numele țării nu este o țară acceptată."
"Country code is not accepted. Please contact the store administrator.","Codul țării nu este acceptat. Vă rugăm să contactați administratorul magazinului."
"Provided country information is inconsistent.","Informațiile furnizate despre țară sunt inconsistente."
"Customer has already reached the maximum of 50 addresses.","Clientul a ajuns deja la maximum 50 de adrese."
"Address is invalid. Please contact the store administrator.","Adresa nu este validă. Vă rugăm să contactați administratorul magazinului."
"Error communicating with PayPal.","Eroare de comunicare cu PayPal."
"PayPal authentication expired.","Autentificarea PayPal a expirat."
"Error executing PayPal order.","Eroare la executarea comenzii PayPal."
"Error executing PayPal billing agreement.","Eroare la executarea acordului de facturare PayPal."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Aplică filtre pentru a obține rezultate. Doar primele 100 de înregistrări vor fi afișate în grilă, veți putea descărca versiunea completă a raportului în format .CSV."
"Select...","Selectează..."
"Status","Status"
"Transaction Type","Tipul de tranzacție"
"Payment Type","Tip de plată"
"PayPal Payment ID","ID plată PayPal"
"Created At","Creat la"
"Transaction ID","ID tranzacție"
"Order ID","ID comandă"
"Type","Tip"
"Amount","Sumă"
"Settlement Code","Cod de decontare"
"Settlement Response Text","Text Răspuns la Decontare"
"Refund Ids","Id Rambursare"
"Settlement Batch ID","ID lot decontare"
"Currency","Monedă"
"Month","Lună"
"Year","An"
"Stored Card","Card stocat"
"Credit card successfully added","Card de credit adăugat cu succes"
"Something went wrong while saving the card.","Ceva nu a funcționat în timpul salvării cardului."
"Credit card does not exist","Cardul de credit nu există"
"Delete Credit Card","Ștergeți cardul de credit"
"There was error deleting the credit card","Eroare la ștergerea cardului de credit"
"Credit card successfully deleted","Card de credit șters cu succes"
"Edit Credit Card","Editare card de credit"
"My Credit Cards","Cardurile mele de credit"
"New Credit Card","Card de Credit Nou"
"There was error during saving card data","A apărut o eroare la salvarea datelor cardului"
"We can't place the order.","Nu se poate plasa comanda."
"Incorrect payment method.","Metodă de plată incorectă."
"We can't initialize checkout review.","Nu putem inițializa recenzia."
"We can't update shipping method.","Metoda de livrare nu poate fi actualizată."
"The processor declined your transaction, please re-enter your payment information","Procesorul a refuzat tranzacția dvs., vă rugăm să reintroduceți informațiile dvs. de plată"
"Transaction declined by gateway: Check card details or try another card","Tranzacție refuzată de gateway: Verificați detaliile cardului sau încercați un alt card"
"Transaction declined: ","Tranzacție refuzată: "
".","."
"The processor responded with an unknown error","Procesorul a răspuns cu o eroare necunoscută"
"Credit card type is not allowed for your country.","Tipul cardului de credit nu este permis pentru țara ta."
"Credit card type is not allowed for this payment method.","Tipul cardului de credit nu este permis pentru această metodă de plată."
"Selected payment type is not allowed for billing country.","Tipul de plată selectat nu este permis pentru țara de facturare."
"Incomplete payment information.","Informații de plată incomplete."
"Please try again later","Please try again later"
"Can not find original authorization transaction for partial capture","Nu pot găsi tranzacția de autorizare originală pentru capturare parțială"
"There was an error capturing the transaction: %1.","A apărut o eroare la capturarea tranzacției: %1."
"This refund is for a partial amount but the Transaction has not settled.","Această rambursare este pentru o sumă parțială, dar Tranzacția nu a fost decontată."
"Please wait 24 hours before trying to issue a partial refund.","Vă rugăm să așteptați 24 de ore înainte de a încerca să eliberați o rambursare parțială."
"There was an error refunding the transaction: %1.","A apărut o eroare la rambursarea tranzacției: %1."
"Some transactions are already settled or voided and cannot be voided.","Unele tranzacții sunt deja decontate sau anulate și nu pot fi anulate."
"Voided capture.","Captare anulată."
"There was an error voiding the transaction: %1.","A apărut o eroare la anularea tranzacției: %1."
"Invoice","Factură"
"Shipment","Livrare"
"Invalid Customer ID provided","ID client nevalid furnizat"
"some error","Unele erori"
"a,b,c","A, B, C"
"Something went wrong while processing.","A avut loc o eroare la procesarea solicitării."
"error","eroare"
"exception","excepție"
"Payment Information","Informații despre plată"
"Add new card","Adaugă un card nou"
"Please Select","Vă rugăm selectați"
"Save this card for future use","Salvați acest card pentru utilizare viitoare"
"or","sau"
"Please confirm that you want to delete this credit card","Vă rugăm să confirmați că doriți să ștergeți acest card de credit"
"Cardholder Name","Nume Deținător Card"
"Back","Înapoi"
"* Required Fields","* Câmpuri obligatorii"
"CVV","CVV"
"Card Verification Number Visual Reference","Referință vizuală număr verificare card"
"Make Default","Setează ca implicit"
"Billing Address","Adresă de facturare"
"First Name","Prenume"
"Last Name","Nume"
"Company","Companie"
"Address","Adresă"
"City","Oraș"
"State/Province","Stat/provincie"
"Please select region, state or province","Vă rugăm să selectați regiune, stat sau provincie"
"Zip/Postal Code","Cod poștal"
"Submit","Trimiteți"
"Add Credit Card","Adaugă un card de credit"
"Card Number","Număr card"
"Is Default","Este implicit"
"Yes","Da"
"No","Nu"
"Edit","Editați"
"An error occured with payment processing.","A apărut o eroare la procesarea plății."
"Can not initialize PayPal (Braintree)","Nu se poate inițializa PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capturează acțiunea"
"New Order Status","Status comandă nou"
"Use Vault","Folosește seiful"
"Allow Duplicate Cards","Permite Duplicare Carduri"
"Enable Credit Card auto-detection on Storefront","Permite autodetectarea cardului de credit pe Storefront"
"Your Kount ID","ID-ul tău Kount"
"Use Cache","Folosește Cache"
"Edit My Credit Cards","Editează cardurile mele de credit"
"Pay with PayPal","Plata prin PayPal"
"Transaction is cancelled offline.","Tranzacția este anulată off line"
"Braintree Settlement","Decontare Braintree"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Dacă nu specificați contul de comerciant pe care să-l utilizați pentru a procesa o tranzacție, Braintree o va procesa folosind contul de comerciant implicit."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Asigură-te că activezi Protecția Avansată împotriva Fraudelor în Contul tău Braintree în Setări/Procesare Secțiune"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Folosit pentru integrarea instrumentelor de fraudă directă. Contactați <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> pentru a configura contul dvs. Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Asigurați-vă că activați AVS și/sau CVV în contul dvs. Braintree în Setări/Procesare secțiune."
"It is recommended to set this value to ""PayPal"" per store views.","Este recomandat să setați această valoare la ""PayPal"" pentru fiecare vizualizare a magazinului."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Această caracteristică trebuie activată mai întâi pentru contul comerciantului prin intermediul suportului tehnic PayPal."
"Also affects mini-shopping cart.","Afectează și mini-coșul de cumpărături."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Descriptorii dinamici sunt trimiși pentru fiecare tranzacție și definesc ceea ce va apărea pe extrasul de card de credit al clienților pentru o achiziție specifică. Cu cât descrierea produsului este mai clară, cu atât sunt mai puține șanse ca clienții să solicite returnări de plată din cauza confuziei sau a neidentificării. Descriptorii dinamici nu sunt activați implicit pe toate conturile. Dacă primiți o eroare de validare 92203 sau dacă descriptorii dinamici nu se afișează conform așteptărilor, vă rugăm să contactați <a href=""mailto:support@getbraintree.com"">Suportul Braintree</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","Valoarea din câmpul numelui firmei pe extrasul de cont al clientului. Secțiunea nume companie/DBA trebuie să conțină fie 3, 7, fie 12 caractere, iar descriptorul produsului poate avea până la 18, 14 sau 9 caractere, respectiv (cu un * între ele pentru un nume total al descriptorului de 22 de caractere)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Valoarea din câmpul de număr de telefon al unui client. Telefonul trebuie să aibă 10-14 caractere și poate conține doar numere, liniuțe, paranteze și perioade."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","Valoarea din câmpul URL/web adresa a unui client. URL-ul trebuie să fie de 13 caractere sau mai scurt."
"The Payment Token is not available to perform the request.","Token-ul de plată nu este disponibil pentru a efectua solicitarea."
"Checkout failed to initialize. Verify and try again.","Verificarea nu a putut fi inițializată. Verificați și încercați din nou."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Comanda nu a fost plasată. Mai întâi, acceptă termenii și condițiile, apoi încearcă să plasezi comanda din nou."
"Paypal account","Cont PayPal"
"Coinbase account","Cont Coinbase"
"Europe bank account","Cont bancar european"
"Credit card","Card de credit"
"Apple pay card","Plată card ApplePay"
"Android pay card","Card de plată Android"
"Authorization expired","Autorizarea a expirat"
"Authorizing","În curs de autorizare"
"Authorized","Autorizată"
"Gateway rejected","Respins de către gateway"
"Failed","Eșuat"
"Processor declined","Procesor refuzat"
"Settled","Stabilit"
"Settling","În curs de achitare"
"Submitted for settlement","Trimis spre decontare"
"Voided","Anulat"
"Unrecognized","Nerecunoscut"
"Settlement declined","Decontare refuzată"
"Settlement pending","Decontare în așteptare"
"Settlement confirmed","Decontare confirmată"
"Sale","Vânzare"
"Credit","Credit"
"Vault enabled","Seif activat"
