"Delete","Borrar"
"Are you sure you want to delete synonym group with id: %1?","¿Seguro que quieres eliminar el grupo de sinónimos con id: %1?"
"View/Edit","Ver/Editar"
"Search entire store here...","Busque aquí por toda la tienda..."
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Search Engine","Motor de búsqueda"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","Número de Identificación (ID)"
"Hits","Visitas"
"Are you sure?","¿Seguro que quiere continuar?"
"Suggested Terms","Términos sugeridos"
"yes","sí"
"no","no 	"
"Action","Acción"
"Edit","Editar"
"You can adjust the scope of this synonym group by selecting an option from the list.","Puede ajustar el alcance de este grupo de sinónimos seleccionando una opción de la lista."
"Scope","Alcance"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Lista separada por comas de sinónimos. Los términos ingresados (separados por comas) se utilizarán como una consulta de búsqueda ""O"" al buscar la tienda entera. Por ejemplo, si ingresas ""zapatos, calzado"", y un usuario busca ""zapatos"", los resultados de la búsqueda incluirán cualquier producto o contenido con el término ""zapatos"" o ""calzado"""
"Synonyms","Sinónimos"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Automáticamente fusiona sinónimos en grupos que comparten el mismo ámbito. Si marca esta casilla y añades uno o más de los mismos términos a los grupos de sinónimos diferentes en el mismo ámbito, fusionará automáticamente todos los términos a un grupo. Si esto no es lo que quieres, desmarque la casilla y un error se mostrará si se intenta añadir los mismos términos."
"Store View","Vista de la tienda"
"Website","Página web"
"Are you sure you want to delete the selected synonym groups?","¿Seguro que quieres eliminar los grupos de sinónimos seleccionados?"
"Delete items","Eliminar elementos"
"Synonym For","Sinónimo de"
"Will make search for the query above return results for this search","Esto hará que la búsqueda de la consulta anterior arroje resultados para esta búsqueda"
"Synonym","Sinónimo"
"Merge existing synonyms","Combinar sinónimos existentes"
"The synonym group with the ""%1"" ID can't be deleted. %2","El grupo de sinónimos con el ID ""%1"" no se puede eliminar. %2"
