"Backup options","Параметры резервного копирования"
"Please enter a valid full date.","Пожалуйста, введите правильную полную дату."
"Please enter a valid month (1-12).","Пожалуйста введите правильный месяц (1-12)."
"Please enter a valid year (1900-%1).","Пожалуйста введите правильный год (1900-%1)."
"Please enter a valid day (1-%1).","Пожалуйста введите правильный день(1-%1)."
"Please enter a date from the past.","Пожалуйста введите дату из прошлого."
"Maximum length of this field must be equal or less than %1 symbols.","Максимальная длина данного поля должна быть равна или меньше чем %1 символ(-ов)."
"Admin is a required field in the each row.","Администратор является обязательным полем в каждой строке."
"Please enter a quantity greater than 0.","Please enter a quantity greater than 0."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"The maximum you may purchase is %1.","The maximum you may purchase is %1."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Forbidden extensions has been used. Avoid usage of ","Forbidden extensions has been used. Avoid usage of "
"No marginal white space please","No marginal white space please"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Enter valid SKU key","Enter valid SKU key"
"Swatch and Admin are the required fields in the each row.","Swatch and Admin are the required fields in the each row."
"Insert Variable","Insert Variable"
"Insert Widget","Вставить Виджет"
"The widget %1 is no longer available. Select a different widget.","The widget %1 is no longer available. Select a different widget."
"First character must be letter.","First character must be letter."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
