"ALL GROUPS","УСІ ГРУПИ"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","В нас немає стільки ""%1"", як ви запросили, проте ми додамо до відкладеного замовлення решту %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","В нас немає ""%1"" у кількості, яку ви запросили, тож ми додамо до відкладеного замовлення решту %2."
"You can buy %1 only in quantities of %2 at a time.","Ви можете придбати %1 тільки в кількостях %2 за раз."
"You can buy this product only in quantities of %1 at a time.","Ви можете придбати цей товар тільки у кількостях %1 за раз."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Стан складу"
"Quantity","Кількість"
"Advanced Inventory","Розширений інвентар"
"%1 is available to buy in increments of %2","%1 наявний для покупки з кроком збільшення в %2"
"Only %1 left","Тільки %1 залишилося"
"Product availability","Наявність товару"
"Product Name","Назва товару"
"Qty","Кіл-ть"
"Inventory Section","Розділ інвентарю"
"Inventory","Інвентар"
"Stock Options","Опції складу"
"Decrease Stock When Order is Placed","Зменшувати наявну кількість, коли замовлення розміщено"
"Set Items' Status to be In Stock When Order is Cancelled","Встановити стан елементу В наявності у разі, коли замовлення скасовано"
"Display Out of Stock Products","Показувати товари, яких немає в наявності"
"Products will still be shown by direct product URLs.","Товари все ще будуть відображатись за прямими URL-адресами."
"Only X left Threshold","Поріг, після якого Залишилось тільки X"
"Display Products Availability in Stock on Storefront","Показувати наявність товарів на Вітрині"
"Product Stock Options","Опції товарного запасу"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Керувати складом"
"Backorders","Відкладені замовлення"
"Maximum Qty Allowed in Shopping Cart","Максимальна кіл-ть, дозволена у кошику"
"Out-of-Stock Threshold","Поріг, після якого Немає в наявності"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кіл-ть, дозволена у кошику"
"Notify for Quantity Below","Повідомити для кількості, меншої за"
"Automatically Return Credit Memo Item to Stock","Автоматично повертати позицію сторно на склад"
"Enable Qty Increments","Дозволити збільшення кіл-ті"
"Qty Increments","Збільшення кіл-ті"
"Stock","Склад"
"Index stock","Індексувати склад"
"Use Config Settings","Використовувати значення за замовчуванням"
"Qty Uses Decimals","Для кіл-сті використовуються десяткові знаки"
"Allow Multiple Boxes for Shipping","Дозволити кілька коробок на доставку"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","The requested qty is not available"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
