"ALL GROUPS","MINDEN CSOPORT"
"Not all of your products are available in the requested quantity.","Nem minden termék van raktáron a kért mennyiségben."
"Product with SKU ""%1"" does not exist","A ""%1"" cikkszámú termék nem létezik"
"The fewest you may purchase is %1.","A legkisebb rendelhető mennyiség %1."
"Please correct the quantity for some products.","Kérem javítsa ki valamelyik termék mennyiségét."
"The most you may purchase is %1.","A legnagyobb rendelhető mennyiség %1."
"We don't have as many ""%1"" as you requested.","Nincs annyi ""%1"" raktáron, mint amennyit kért."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nincs annyi ""%1"" raktáron, mint amennyit kért, de megrendeljük a maradék %2 darabot."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nincs ""%1"" a kért mennyiségben raktáron, így megrendeljük a maradék %2 darabot."
"You can buy %1 only in quantities of %2 at a time.","A %1 termékből csak %2 darabot vásárolhat egyszerre."
"You can buy this product only in quantities of %1 at a time.","Ebből a termékből egyszerre csak %1 darabot vásárolhat."
"Decimal qty increments is not allowed.","Decimális mennyiség növekmény nem engedélyezett."
"Stock Status","Raktár állapot"
"Quantity","Mennyiség"
"Advanced Inventory","Továbbfejlesztett raktárkészlet"
"%1 is available to buy in increments of %2","%1 csak %2 darabonként vásárolható"
"Only %1 left","Csak %1 maradt"
"Product availability","Termék elérhetősége"
"Product Name","Terméknév"
"Qty","Mennyiség"
"Inventory Section","Leltár szekció"
"Inventory","Készlet"
"Stock Options","Készlet beállítások"
"Decrease Stock When Order is Placed","Készlet csökkentése rendeléskor"
"Set Items' Status to be In Stock When Order is Cancelled","Elem állapot beállítása Raktáron-ra ha a rendelést visszavonták"
"Display Out of Stock Products","Raktárról lefogyott termékek megjelenítése"
"Products will still be shown by direct product URLs.","A termékek továbbra is láthatóak a Direkt URL-elken."
"Only X left Threshold","Csak X maradt küszöbérték"
"Display Products Availability in Stock on Storefront","Termékek elérhetőségének megjelenítése a boltban"
"Product Stock Options","Termék raktár-beállítások"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Készlet kezelése"
"Backorders","Előrendelések"
"Maximum Qty Allowed in Shopping Cart","Megengedett maximum mennyiség a kosárban"
"Out-of-Stock Threshold","Nincs raktáron küszöbérték"
"Minimum Qty Allowed in Shopping Cart","Megengedett minimum mennyiség a kosárban"
"Notify for Quantity Below","Értesítés mennyiségnél"
"Automatically Return Credit Memo Item to Stock","Jóváírt tétel automatikusan visszakerül raktárba"
"Enable Qty Increments","Mennyiség növekmények engedélyezése"
"Qty Increments","Mennyiség növekmény"
"Stock","Készlet"
"Index stock","Készlet indexelés"
"Use Config Settings","Konfigurációs beállítások használata"
"Qty Uses Decimals","Tizedes használata"
"Allow Multiple Boxes for Shipping","Több csomag engedélyezése szállításkor"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Halasztott raktárkészlet frissítés használata"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","The requested qty is not available"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
