"Back","Zurück"
"Unable to create backup due to php exec function is disabled","Ein Backup konnte nicht erstellt werden, da die php exec-Funktion ausgeschaltet ist."
"Incomplete","Unvollständig"
"Complete","Vollständig"
"Failed","Fehlgeschlagen"
"Directory %s should have writable & readable permissions","Verzeichnis %s sollte Schreib- und Leserechte haben"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Unbekannter Status"
"Processing ...","Verarbeitung ..."
"(now)","(jetzt)"
"[%1 minutes ago]","[vor %1 Minuten]"
"[%1 hours ago]","[vor %1 Stunden]"
"[%1 days ago]","[vor %1  Tagen]"
"[%1 weeks ago]","[vor %1 Wochen]"
"[%1 months ago]","[vor %1  Monaten]"
"[%1 years ago]","[vor %1  Jahren]"
"And more...","Und mehr..."
"Column %1","Spalte %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Bereite Systemberichtdaten vor: Single Row-Modus erkannt, aber Daten könnten unvollständig sein"
"Yes","Ja"
"No","Nein"
"All Eav Attributes","Alle EAV-Attribute"
"Category Eav Attributes","Kategorie-EAV-Attribute"
"Customer Address Eav Attributes","Kundenadressen-EAV-Attribute"
"Customer Eav Attributes","Kunden-EAV-Attribute"
"Entity Types","Entity-Typen"
"ID","Id"
"Code","Code"
"Model","Modell"
"Attribute Model","Attributmodell"
"Increment Model","Inkrement-Modell"
"Main Table","Haupttabelle"
"Additional Attribute Table","Tabelle zusätzlicher Attribute"
"New Eav Attributes","Neue EAV-Attribute"
"Product Eav Attributes","Produkt-EAV-Attribute"
"Rma Item Eav Attributes","RMA-EAV-Attribute"
"User Defined Eav Attributes","Benutzerdefinierte EAV-Attribute"
"Name","Name"
"Enabled","Aktiviert"
"Value","Wert"
"Scope","Geltungsbereich"
"Configuration","Konfiguration"
"Path","Pfad"
"Data from app/etc/env.php","Daten von app/etc/env.php"
"Title","Titel"
"Group","Gruppe"
"Is Gateway","Ist Gateway"
"Void","Aufheben"
"For Checkout","Für Checkout"
"For Multishipping","Für Multishipping"
"Capture Online","Online erfassen"
"Partial Capture Online","Partielles Erfassen online"
"Refund Online","Online zurückerstatten"
"Partial Refund Online","Anteilige Erstattung (online)"
"Capture Offline","Offline erfassen"
"Partial Capture Offline","Partielles Erfassen offline"
"Refund Offline","Erstattung (offline)"
"Partial Refund Offline","Anteilige Erstattung (offline)"
"Payments Functionality Matrix","Zahlungsfunktionalitätenmatrix"
"Payment Methods","Zahlungsarten"
"Shipping Methods","Versandarten"
"Job Code","Job-Code"
"Cron Expression","Cron-Ausdruck"
"Run Class","Klasse ausführen"
"Run Method","Methode ausführen"
"Group Code","Gruppencode"
"All Configurable Cron Jobs","Alle konfigurierbaren Cron-Jobs"
"All Global Cron Jobs","Alle globalen Cronjobs"
"Cron Schedules List","Cron-Zeitplanliste"
"Schedule Id","Zeitplan-ID"
"Status","Status"
"Created At","Erstellt am"
"Scheduled At","Geplant um"
"Executed At","Ausgeführt um"
"Finished At","Beendet um"
"Core Configurable Cron Jobs","Konfigurierbare Core-Cronjobs"
"Core Global Cron Jobs","Globale Core-Cronjobs"
"Cron Schedules by job code","Cron-Zeitpläne nach Jobcode"
"Count","Anzahl"
"Cron Schedules by status code","Cron-Zeitpläne nach Statuscode"
"Status Code","Statuscode"
"Custom Configurable Cron Jobs","Benutzerdefinierte konfigurierbare Cronjobs"
"Custom Global Cron Jobs","Benutzerdefinierte globale Cronjobs"
"Errors in Cron Schedules Queue","Fehler in Cron-Zeitplan-Warteschlange"
"Error","Fehler"
"Corrupted Categories Data","Korrupte Kategoriendaten"
"Id","ID"
"Expected Children Count","Erwartete Anzahl Kinder"
"Actual Children Count","Aktuelle Anzahl Kinder"
"Expected Level","Erwartetes Level"
"Actual Level","Aktuelles Level"
"Duplicate Categories By URL Key","Kategorien nach URL-Schlüssel duplizieren"
"URL key","URL-Schlüssel"
"Store","Shop"
"Duplicate Orders By Increment Id","Bestellungen durch Inkrement-Id duplizieren"
"Increment Id","Erhöhen um"
"Customer Id","Kunden-ID"
"Duplicate Products By SKU","Produkte nach SKU duplizieren"
"SKU","Artikelnummer"
"Duplicate Products By URL Key","Duplikate Produkte nach URL-Schlüssel"
"URL Key","URL-Bezeichner"
"Website","Webseite"
"Duplicate Users By Email","Benutzer per E-Mail duplizieren"
"Email","E-Mail"
"Type","Typ"
"Parent","Hauptkategorie"
"Adminhtml Themes List","Adminhtml-Themen-Liste"
"Frontend Themes List","Frontend-Themenliste"
"Event Name","Ereignisname"
"Observer Class","Beobachter-Klasse"
"Method","Methode"
"All Admin Events","Alle Admin-Events"
"All Crontab Events","Alle Crontab-Events"
"All Doc Events","Alle Doc-Events"
"All Frontend Events","Alle Frontend-Events"
"All Global events","Alle globalen Ereignisse"
"All REST Events","Alle Spielereignisse"
"All SOAP Events","Alle SOAP-Ereignisse"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab-Ereignisse"
"Core Doc Events","Core Doc-Ereignisse"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Globale Kernereignisse"
"Core REST Events","Core REST-Ereignisse"
"Core SOAP Events","Core SOAP-Ereignisse"
"Custom Admin Events","Benutzerdefinierte Admin-Events"
"Custom Crontab Events","Eigene Crontab-Events"
"Custom Doc Events","Benutzerdefinierte Doc-Ereignisse"
"Custom Frontend Events","Eigene Frontend-Events"
"Custom Global Events","Eigene globale Ereignisse"
"Custom REST Events","Eigene REST-Ereignisse"
"Custom SOAP Events","Eigene SOAP-Ereignisse"
"Log Files","Protokolldateien"
"File","Datei"
"Size","Größe"
"Log Entries","Protokolleinträge"
"Last Update","Letzte Aktualisierung"
"Today's Top Debug Messages","Heutige Top Debug-Nachrichten"
"Message","Nachricht"
"Last Occurrence","Letzte Wiederholung"
"Today's Top Exception Messages","Heutige Top Ausnahmemeldungen"
"Stack Trace","Stack-Trace"
"Today's Top System Messages","Heutige Top Systemnachrichten"
"Top Debug Messages","Top Debug Nachrichten"
"Top Exception Messages","Top-Ausnahmenachrichten"
"Top System Messages","Top-Systemmeldungen"
"Store Views List","Liste der Store Views"
"Stores List","Liste der Shops"
"Root Category","Hauptkategorie"
"Default Store View","Standard Store View"
"Websites List","Webseiten-Liste"
"Is Default","Ist voreingestellt"
"Default Store","Standardshop"
"Websites Tree","Webseiten-Baum"
"There was an error while loading system report data.","Es ist ein Fehler beim Laden der Systemberichtsdaten aufgetreten."
"General","Allgemein"
"Environment","Umgebung"
"Cannot save backup. The reason is: Utility lsof not found","Sicherung kann nicht gespeichert werden. Der Grund ist: Utility lsof nicht gefunden"
"Test error","Testfehler"
"Error message!","Fehlermeldung!"
"User Defined","Benutzerdefiniert"
"Entity Type Code","Entity-Typ-Code"
"Source Model","Modelquelle"
"Backend Model","Backend-Model"
"Frontend Model","Frontend-Model"
"text","Text"
"Show Log","Protokoll anzeigen"
"Delete","Löschen"
"Delete ""%1""","Lösche ""%1"""
"Are you sure you want to delete a ""%1"" record?","Sind Sie sicher, dass Sie den Datensatz ""%1"" löschen möchten?"
"View","Anzeigen"
"Are you sure you wan't to delete a ""%1"" record?","Sind Sie sicher, dass Sie einen ""%1""-Eintrag löschen möchten?"
"Empty log","Leeres Protokoll"
"Backup ID: ","Backup-ID: "
"Collapse","Einklappen"
"Expand","Erweitern"
" (no data)"," (keine Daten)"
"Top","Nach oben"
"No data","Keine Daten"
"Support Data Collector","Support Data-Sammler"
"Support System Report","Support-System-Bericht"
"System Report","Systemberichte"
"Data","Daten"
"Modules","Module"
"Logs","Protokolle"
"Attributes","Attribute"
"Events","Ereignisse"
"Cron","Cron"
"Design","Design"
"Stores","Shops"
"New Backup","Neue Sicherung"
"Refresh Status","Status aktualisieren"
"Are you sure you want to delete selected item(s)?","Sind Sie sicher, dass Sie die ausgewählten Artikel löschen möchten?"
"Delete items","Elemente löschen"
"Code Dump","Code-Dump"
"DB Dump","DB-Dump"
"Choose Report Groups","Berichtgruppen auswählen"
"New Report","Neuer Bericht"
"Date Generated","Datum erzeugt"
"Report Groups","Berichtgruppen"
"An item needs to be selected. Select and try again.","Ein Element muss ausgewählt werden. Treffen Sie eine Auswahl und versuchen Sie es erneut."
"All processes should be completed.","Alle Prozesse sollten abgeschlossen werden."
"The ""%1"" utility wasn't found. Verify the utility and try again.","Das ""%1"" Hilfsprogramm wurde nicht gefunden. Überprüfen Sie das Hilfsprogramm und versuchen Sie es erneut."
"The ""%1"" utility is unknown. Verify the utility and try again.","Das ""%1"" Dienstprogramm ist unbekannt. Überprüfen Sie das Hilfsprogramm und versuchen Sie es erneut."
"The root category can't be set. Verify the category and try again.","Die Root-Kategorie kann nicht gesetzt werden. Überprüfen Sie die Kategorie und versuchen Sie es erneut."
