"Sign Out","Keluar"
"The customer is now assigned to Customer Group %s.","Pelanggan sekarang ditugaskan ke Grup Pelanggan %s."
"Would you like to change the Customer Group for this order?","Apakah Anda ingin mengubah Grup Pelanggan sesuai pesanan ini?"
"The VAT ID is valid.","ID PPN itu valid."
"The VAT ID entered (%s) is not a valid VAT ID.","ID PPN yang dimasukkan (%s) bukan merupakan nomor PPN yang valid."
"The VAT ID is valid. The current Customer Group will be used.","ID PPN itu valid. Grup Nasabah saat ini akan digunakan."
"The VAT ID is valid but no Customer Group is assigned for it.","ID PPN berlaku namun tidak ada Grup Pelanggan yang ditugaskan untuk itu."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Berdasarkan ID PPN, pelanggan menjadi milik Grup Pelanggan %s."
"Something went wrong while validating the VAT ID.","Ada yang tidak beres saat memvalidasi ID PPN."
"The customer would belong to Customer Group %s.","Pelanggan akan menjadi anggota Kelompok Pelanggan %s."
"There was an error detecting Customer Group.","Terjadi kesalahan saat mendeteksi Grup Pelanggan."
"Validate VAT Number","Validasi nomor PPN"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","Tanggal lahir"
"Bad request.","Permintaan yang buruk."
"This confirmation key is invalid or has expired.","Kunci konfirmasi ini tidak valid atau telah kedaluwarsa."
"There was an error confirming the account","Terjadi kesalahan saat mengonfirmasi akun"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Jika Anda adalah pelanggan PPN terdaftar, klik <a href=""%1"">di sini</a> untuk memasukkan alamat pengiriman Anda untuk perhitungan PPN yang tepat."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Jika Anda adalah pelanggan PPN terdaftar, klik <a href=""%1"">di sini</a> untuk memasukkan alamat penagihan Anda untuk perhitungan PPN yang tepat."
"Thank you for registering with %1.","Terima kasih telah mendaftar dengan %1."
"Please check your email for confirmation key.","Silahkan cek email anda untuk mendapatkan kunci konfirmasi."
"This email does not require confirmation.","Email ini tidak memerlukan konfirmasi."
"Wrong email.","Email yang salah."
"Your password reset link has expired.","Tautan setel ulang sandi Anda telah kedaluwarsa."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Anda harus mengkonfirmasi akun Anda. Silakan periksa email Anda untuk tautan konfirmasi atau <a href=""%1"">klik di sini</a> untuk tautan baru."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Sudah ada akun dengan alamat email ini. Jika Anda yakin itu adalah alamat email Anda, <a href=""%1"">klik di sini</a> untuk mendapatkan kata sandi Anda dan mengakses akun Anda."
"We can't save the customer.","Kami tidak bisa menyelamatkan pelanggan."
"Please make sure your passwords match.","Pastikan kata sandi Anda cocok."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Jika Anda adalah pelanggan PPN yang terdaftar, silakan <a href=""%1"">klik di sini</a> untuk memasukkan alamat pengiriman Anda untuk perhitungan PPN yang tepat."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Jika Anda adalah pelanggan PPN yang terdaftar, silakan <a href=""%1"">klik di sini</a> untuk memasukkan alamat penagihan Anda untuk perhitungan PPN yang tepat."
"Account Information","Informasi Akun"
"You saved the account information.","Anda menyimpan informasi akun."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","Konfirmasi kata sandi tidak cocok dengan kata sandi yang dimasukkan."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","Kami tidak dapat mengirim email penyetelan ulang kata sandi."
"Please enter your email.","Masukkan email Anda."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Jika ada akun yang terkait dengan %1 Anda akan menerima email dengan link untuk mereset kata sandi Anda."
"My Account","Akun saya"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Akun ini tidak dikonfirmasi. <a href=""%1"">Klik di sini</a> untuk mengirim ulang email konfirmasi."
"An unspecified error occurred. Please contact us for assistance.","Terjadi kesalahan yang tidak ditentukan. Silahkan hubungi kami untuk bantuan."
"A login and a password are required.","Login dan kata sandi diperlukan."
"New Password and Confirm New Password values didn't match.","Kata Sandi Baru dan Konfirmasi Nilai Sandi Baru tidak cocok."
"Please enter a new password.","Masukkan kata sandi baru."
"You updated your password.","Anda memperbarui kata sandi Anda."
"Something went wrong while saving the new password.","Ada yang tidak beres saat menyimpan kata sandi baru."
"You deleted the address.","Anda menghapus alamatnya."
"We can't delete the address right now.","Kami tidak dapat menghapus alamat sekarang juga."
"You saved the address.","Anda menyimpan alamatnya."
"We can't save the address.","Kami tidak bisa menyimpan alamatnya."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","Anda telah mencabut token pelanggan."
"We can't find a customer to revoke.","Kami tidak dapat menemukan pelanggan untuk mencabut."
"Something went wrong while saving file.","Ada yang tidak beres saat menyimpan file."
"You deleted the customer group.","Anda menghapus grup pelanggan."
"The customer group no longer exists.","The customer group no longer exists."
"Customers","Pelanggan"
"New Group","Grup baru"
"New Customer Groups","Grup Pelanggan Baru"
"Edit Group","Edit Grup"
"Edit Customer Groups","Edit Grup Pelanggan"
"You saved the customer group.","Anda menyimpan grup pelanggan."
"Please select customer(s).","Silakan pilih pelanggan(s)."
"Customer could not be deleted.","Pelanggan tidak dapat dihapus."
"You deleted the customer.","Anda menghapus pelanggan."
"Something went wrong while editing the customer.","Ada yang tidak beres saat mengedit pelanggan."
"Manage Customers","Kelola Pelanggan"
"Please correct the data sent.","Perbaiki data yang dikirim."
"A total of %1 record(s) were updated.","Sebanyak %1 rekaman(s) telah diperbarui."
"A total of %1 record(s) were deleted.","Sebanyak %1 record(s) telah dihapus."
"The customer will receive an email with a link to reset password.","Pelanggan akan menerima email dengan link untuk me-reset password."
"Something went wrong while resetting customer password.","Ada yang tidak beres saat menyetel ulang kata sandi pelanggan."
"You saved the customer.","Anda menyimpan pelanggan."
"Something went wrong while saving the customer.","Ada yang tidak beres saat menyimpan pelanggan."
"Page not found.","Halaman tidak ditemukan."
"Customer has been unlocked successfully.","Pelanggan telah berhasil dibuka."
"Online Customers","Pelanggan Online"
"Customers Now Online","Pelanggan sekarang online"
"Please define Wish List item ID.","Silakan tentukan ID item daftar keinginan."
"Please load Wish List item.","Silakan muatkan item Daftar keinginan."
"Login successful.","Login berhasil."
"Invalid login or password.","Login atau kata sandi tidak benar."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 tidak memperpanjang\Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","Akun terkunci."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Silakan masukkan kata sandi dengan paling banyak%1 karakter."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimal kelas karakter yang berbeda dalam kata sandi adalah %1. Kelas karakter: Lower Case, Upper Case, Digit, Karakter Khusus."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Pelanggan ini sudah ada di toko ini."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Nilai ""nilai%"" tidak valid diberikan untuk bidang %fieldName."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset token password kadaluarsa."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" adalah nilai yang dibutuhkan."
"Global","Global"
"Per Website","Per situs"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Kami tidak dapat berbagi akun pelanggan secara global saat akun berbagi alamat email yang sama di lebih dari satu situs web."
"Billing Address","Alamat Tagihan"
"Shipping Address","Alamat Pengiriman"
"-- Please Select --","-- Silahkan pilih --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Admin"
"ALL GROUPS","SEMUA KELOMPOK"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Tidak ada entitas dengan %fieldName = %fieldValue, %field2Name =%field2Value"
"File can not be saved to the destination folder.","File tidak dapat disimpan ke folder tujuan."
"Unable to create directory %1.","Tidak dapat membuat direktori %1."
"Destination folder is not writable or does not exists.","Folder tujuan tidak dapat ditulis atau tidak ada."
"Something went wrong while saving the file.","Ada yang tidak beres saat menyimpan file."
"Attribute object is undefined","Objek atribut tidak terdefinisi"
"""%1"" invalid type entered.","""%1"" tipe tidak sah masuk."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" berisi karakter non-alfabet atau non-numerik."
"""%1"" is an empty string.","""%1"" adalah string kosong."
"""%1"" contains non-numeric characters.","""%1"" berisi karakter non-numerik."
"""%1"" contains non-alphabetic characters.","""%1"" berisi karakter non-abjad."
"""%1"" is not a valid email address.","""%1"" bukan alamat email yang valid."
"""%1"" is not a valid hostname.","""%1"" bukan nama host yang valid."
"""%1"" uses too many characters.","""%1"" menggunakan terlalu banyak karakter."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' terlihat seperti alamat IP, yang bukan format yang dapat diterima."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' terlihat seperti nama host DNS namun berisi tanda hubung pada posisi yang tidak valid."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' Sepertinya nama host DNS tapi kami tidak dapat mencocokkannya dengan skema nama host untuk TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' Sepertinya nama host DNS tapi tidak bisa mengekstrak bagian TLD."
"'%value%' does not look like a valid local network name.","'%value%' tidak terlihat seperti nama jaringan lokal yang valid."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' terlihat seperti nama jaringan lokal, yang bukan format yang dapat diterima."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' nampaknya menjadi nama host DNS, namun notasi punycode yang diberikan tidak dapat diterjemahkan."
"""%1"" is not a valid URL.","""%1"" bukan URL yang valid."
"""%1"" is not a valid date.","""%1"" bukan tanggal yang valid."
"""%1"" does not fit the entered date format.","""%1"" tidak sesuai dengan format tanggal yang dimasukkan."
"Please enter a valid date between %1 and %2 at %3.","Silakan masukkan tanggal yang valid antara %1 dan %2 pada %3."
"Please enter a valid date equal to or greater than %1 at %2.","Silakan masukkan tanggal yang valid sama dengan atau lebih besar dari %1 pada %2."
"Please enter a valid date less than or equal to %1 at %2.","Silakan masukkan tanggal berlaku kurang dari atau sama dengan %1 pada %2."
"""%1"" is not a valid file extension.","""%1"" bukan ekstensi file yang valid."
"""%1"" is not a valid file.","""%1"" bukan file yang valid."
"""%1"" exceeds the allowed file size.","""%1"" melebihi ukuran file yang diizinkan."
"""%1"" is not a valid image format.","""%1"" bukan format gambar yang valid."
"""%1"" width exceeds allowed value of %2 px.","""%1"" Lebar melebihi nilai yang diijinkan %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" Tinggi melebihi nilai yang diijinkan %2 px."
"""%1"" length must be equal or greater than %2 characters.","Panjang ""%1"" harus sama atau lebih besar dari %2 karakter."
"""%1"" length must be equal or less than %2 characters.","""%1"" harus sama atau kurang dari %2 karakter."
"label","label"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Grup Pelanggan"
"You can't delete group ""%1"".","Anda tidak dapat menghapus grup ""%1""."
"Customer Group already exists.","Grup Pelanggan sudah ada."
"Cannot delete group.","Tidak dapat menghapus grup."
"Error during VAT Number verification.","Terjadi kesalahan saat verifikasi PPN."
"PHP SOAP extension is required.","Ekstensi PHP SOAP diperlukan."
"VAT Number is valid.","Nomor PPN itu valid."
"Please enter a valid VAT number.","Masukkan nomor PPN yang valid."
"Your VAT ID was successfully validated.","ID PPN Anda berhasil divalidasi."
"You will be charged tax.","Anda akan dikenakan pajak."
"You will not be charged tax.","Anda tidak akan dikenai pajak."
"The VAT ID entered (%1) is not a valid VAT ID.","ID PPN yang dimasukkan (%1) bukan nomor PPN yang valid."
"Your Tax ID cannot be validated.","Nomor Pajak Anda tidak dapat divalidasi."
"If you believe this is an error, please contact us at %1","Jika Anda yakin ini adalah kesalahan, hubungi kami di %1"
"No such entity with %fieldName = %fieldValue","Tidak ada entitas dengan %fieldName = %fieldValue"
"Male","Pria"
"Female","Wanita"
"Not Specified","Tidak ditentukan"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Pesan kesalahan"
"Validator Exception","Kesalahan Validator"
"Localized Exception","Kesalahan dalam Bahasa Lokal"
"some error","beberapa kesalahan"
"frontend_label","frontend_label"
"NOT LOGGED IN","BELUM MASUK"
"Please enter the state/province.","Silakan masuk negara bagian/propinsi."
"region is a required field.","wilayah adalah bidang wajib diisi."
"regionId is a required field.","regionId is a required field."
"Label","Label"
"Select...","Memilih..."
"Edit","Ubah"
"Visitor","Pengunjung"
"Customer","Pelanggan"
"No item specified.","Tidak ada item yang ditentukan."
"Are you sure you want to remove this item?","Yakin ingin menghapus barang ini?"
"Personal Information","Informasi pribadi"
"Last Logged In:","Terakhir Masuk:"
"Last Logged In (%1):","Last Logged In (%1):"
"Account Lock:","Kunci Akun:"
"Confirmed email:","Email yang dikonfirmasi:"
"Account Created:","Akun telah dibuat:"
"Account Created on (%1):","Akun Dibuat pada (%1):"
"Account Created in:","Akun Dibuat dalam:"
"Customer Group:","Customer Group:"
"Default Billing Address","Alamat Penagihan Default"
"Sales Statistics","Statistik Penjualan"
"Web Site","Situs web"
"Store","Toko"
"Store View","Tampilan toko"
"Lifetime Sales","Penjualan Seumur Hidup"
"Average Sale","Penjualan rata-rata"
"All Store Views","Semua Tampilan Store"
"Change","Perubahan"
"Manage Addresses","Kelola Alamat"
"Default Shipping Address","Alamat Pengiriman Default"
"Contact Information","Informasi Kontak"
"Change Password","Ganti kata sandi"
"Newsletters","Nawala"
"You are subscribed to ""General Subscription"".","Anda berlangganan ""Langganan Umum""."
"or","atau"
"Default Addresses","Alamat default"
"Change Billing Address","Ubah Alamat Penagihan"
"You have no default billing address in your address book.","Anda tidak memiliki alamat penagihan default di buku alamat Anda."
"Change Shipping Address","Ubah Alamat Pengiriman"
"You have no default shipping address in your address book.","Anda tidak memiliki alamat pengiriman default di buku alamat Anda."
"Additional Address Entries","Entri Alamat Tambahan"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","Anda tidak memiliki entri alamat lain di buku alamat Anda."
"* Required Fields","* Bidang yang harus diisi"
"Address","Alamat"
"Street Address","Alamat jalan"
"Street Address %1","Alamat %1"
"VAT Number","Nomor PPN"
"City","Kota"
"State/Province","Negara Bagian/Provinsi"
"Please select a region, state or province.","Silakan pilih wilayah, negara bagian atau provinsi."
"Zip/Postal Code","Kode pos"
"Country","Negara"
"It's a default billing address.","Ini adalah alamat penagihan default."
"Use as my default billing address","Gunakan sebagai alamat penagihan default saya"
"It's a default shipping address.","Ini adalah alamat pengiriman default."
"Use as my default shipping address","Gunakan sebagai alamat pengiriman default saya"
"Save Address","Simpan Alamat"
"Go back","Kembali"
"Please enter your email below and we will send you the confirmation link.","Silahkan masukkan email anda di bawah ini dan kami akan mengirimkan link konfirmasi."
"Email","E-mail"
"Send confirmation link","Kirim link konfirmasi"
"Back to Sign In","Kembali ke Masuk"
"Change Email","Ganti Email"
"Change Email and Password","Ubah Email dan Password"
"Current Password","Sandi terkini"
"New Password","Kata sandi baru"
"Password Strength","Kekuatan kata sandi"
"No Password","Tidak ada kata sandi"
"Confirm New Password","Konfirmasi password baru"
"Save","Menyimpan"
"Please enter your email address below to receive a password reset link.","Silakan masukkan alamat email Anda di bawah ini untuk menerima link reset kata sandi."
"Reset My Password","Reset My Password"
"Registered Customers","Pelanggan terdaftar"
"If you have an account, sign in with your email address.","Jika Anda memiliki akun, masuk dengan alamat email Anda."
"Password","Kata sandi"
"Forgot Your Password?","Lupa kata sandi Anda?"
"Subscription option","Pilihan berlangganan"
"General Subscription","Langganan Umum"
"Sign Up for Newsletter","Mendaftar untuk Newsletter"
"Address Information","Informasi Alamat"
"Sign-in Information","Informasi Sign-in"
"Confirm Password","Konfirmasi Sandi"
"Create an Account","Buat sebuah akun"
"Set a New Password","Tetapkan Sandi Baru"
"You have signed out and will go to our homepage in 5 seconds.","Anda telah keluar dan akan pergi ke homepage kami dalam 5 detik."
"New Customers","Pelanggan Baru"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Membuat akun memiliki banyak manfaat: periksa lebih cepat, menyimpan lebih dari satu alamat, melacak pesanan dan lainnya."
"Company","Perusahaan"
"Fax","Faks"
"Gender","Jenis kelamin"
"Name","Nama"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Nomor telepon"
"Welcome to %store_name","Selamat datang di %store_name"
"%name,","%nama,"
"Welcome to %store_name.","Selamat datang di %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Untuk masuk ke situs kami, gunakan kepercayaan ini selama checkout atau pada halaman <a href=""%customer_url"">Akun saya</a>:"
"Email:","E-mail:"
"Password:","Kata sandi:"
"Password you set when creating account","Kata sandi yang Anda tetapkan saat membuat akun"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Lupa kata sandi akun anda? Klik <a href=""%reset_url"">di sini</a> untuk mengatur ulangnya."
"When you sign in to your account, you will be able to:","Saat masuk ke akun, Anda dapat:"
"Proceed through checkout faster","Lanjutkan melalui checkout lebih cepat"
"Check the status of orders","Periksa status pesanan"
"View past orders","Lihat pesanan terakhir"
"Store alternative addresses (for shipping to multiple family members and friends)","Menyimpan alamat alternatif (untuk pengiriman ke beberapa anggota keluarga dan teman)"
"Please confirm your %store_name account","Silakan konfirmasikan akun %store_name Anda"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Anda harus mengonfirmasi email%customer_email sebelum masuk (tautan hanya valid satu kali):"
"Confirm Your Account","Konfirmasikan Akun Anda"
"Thank you for confirming your %store_name account.","Terima kasih telah mengonfirmasi akun %store_name Anda."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Untuk masuk ke situs kami dan menetapkan kata sandi, klik <a href=""%create_password_url"">tautan ini</a>:"
"Your %store_name email has been changed","Email Anda pada %store_name telah diubah"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Kami telah menerima permintaan untuk mengubah informasi berikut yang terkait dengan akun Anda di %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Jika Anda belum mengizinkan tindakan ini, segera hubungi kami di <a href=""mailto:%store_email"">%store_email </a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Email dan sandi Anda pada %store_name telah diubah"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Kami telah menerima permintaan untuk mengubah informasi berikut yang terkait dengan akun Anda di %store_name: email, password."
"Reset your %store_name password","Setel ulang kata sandi %store_name Anda"
"There was recently a request to change the password for your account.","Baru-baru ini ada permintaan mengganti kata sandi untuk akun Anda."
"If you requested this change, set a new password here:","Jika Anda meminta perubahan ini, tetapkan kata sandi baru di sini:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jika Anda tidak mengajukan permintaan ini, Anda dapat mengabaikan email ini dan kata sandi Anda akan tetap sama."
"Your %store_name password has been changed","Kata sandi %store_name Anda telah diubah"
"We have received a request to change the following information associated with your account at %store_name: password.","Kami telah menerima permintaan untuk mengubah informasi berikut yang terkait dengan akun Anda di %store_name: kata sandi."
"Checkout as a new customer","Checkout sebagai pelanggan baru"
"Creating an account has many benefits:","Membuat akun memiliki banyak manfaat:"
"See order and shipping status","Lihat status pesanan dan pengiriman"
"Track order history","Lacak riwayat pemesanan"
"Check out faster","Check out lebih cepat"
"Checkout using your account","Checkout menggunakan akun Anda"
"Email Address","Alamat email"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Are you sure you want to delete this address?","Yakin ingin menghapus alamat ini?"
"Weak","Lemah"
"Medium","Setandar"
"Strong","Kuat"
"Very Strong","Sangat kuat"
"Guest checkout is disabled.","Tamu checkout dinonaktifkan."
"All Customers","Semua pelanggan"
"Now Online","Sekarang Online"
"Customers Section","Bagian pelanggan"
"Customer Configuration","Konfigurasi Pelanggan"
"Account Sharing Options","Opsi Berbagi Akun"
"Share Customer Accounts","Bagikan Akun Pelanggan"
"Create New Account Options","Buat Pilihan Akun Baru"
"Enable Automatic Assignment to Customer Group","Aktifkan Penugasan Otomatis ke Grup Pelanggan"
"Tax Calculation Based On","Perhitungan Pajak Berdasarkan"
"Default Group","Dfault kelompok"
"Group for Valid VAT ID - Domestic","Kelompokkan Nomor PPN yang Berlaku - Domestik"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group untuk ID PPN tidak valid"
"Validation Error Group","Grup Kesalahan Validasi"
"Validate on Each Transaction","Validasi pada Setiap Transaksi"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Nilai Default untuk Nonaktifkan Perubahan Grup Otomatis Berdasarkan ID PPN"
"Show VAT Number on Storefront","Tampilkan Nomor PPN di etalase"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Untuk menampilkan nomor PPN di etalase, tetapkan nomor Tampilkan Nomor PPN pada opsi etalase ke Ya."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Email Selamat Datang Default"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
"Default Welcome Email Without Password","Default Selamat Datang Email Tanpa Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Pengirim email"
"Require Emails Confirmation","Membutuhkan Email Confirmation"
"Confirmation Link Email","Konfirmasi Tautan Email"
"Welcome Email","Selamat datang email"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Buat ID Pelanggan yang Ramah Manusia"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Template Email Template Template"
"Recovery Link Expiration Period (hours)","Periode Kadaluarsa Pemulihan (jam)"
"Please enter a number 1 or greater in this field.","Silakan masukkan angka 1 atau lebih dalam bidang ini."
"Number of Required Character Classes","Jumlah Kelas Karakter yang Dibutuhkan"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Jumlah kelas karakter yang berbeda yang dibutuhkan dalam kata sandi: Huruf Kecil, Huruf Besar, Digit, Karakter Khusus."
"Minimum Password Length","Minimum Password Length"
"Maximum Login Failures to Lockout Account","Kegagalan Login Maksimum ke Akun Penguncian"
"Use 0 to disable account locking.","Gunakan 0 untuk menonaktifkan penguncian akun."
"Lockout Time (minutes)","Waktu penguncian (menit)"
