"Sign Out","Deconectare"
"No","Nu"
"Yes","Da"
"Delete File","Ștergeți fișier"
"Download","Descărcați"
"Delete Image","Ștergeți imagine"
"View Full Size","Vizualizare mărime normală"
"All countries","Toate țările"
"Customer Groups","Grupuri de clienți"
"Add New Customer Group","Adăugați grup de clienți nou"
"Save Customer Group","Salvați grup de clienți"
"Delete Customer Group","Șterge Grupul de Clienți"
"New Customer Group","Grup de clienți nou"
"Edit Customer Group ""%1""","Modificați grup de clienți ""%1"""
"Group Information","Informații grup"
"Group Name","Nume grup"
"Maximum length must be less then %1 characters.","Lungimea maximă trebuie să fie mai mică decât %1 caractere."
"Tax Class","Clasa de impozitare"
"The customer is now assigned to Customer Group %s.","Clientul este acum atribuit grupului de clienți %s."
"Would you like to change the Customer Group for this order?","Doriți să schimbați grupul de clienți pentru această comandă?"
"The VAT ID is valid.","Valoare TVA nevalidă."
"The VAT ID entered (%s) is not a valid VAT ID.","Valoarea TVA introdusă (%s) nu este un TVA ID valid."
"The VAT ID is valid. The current Customer Group will be used.","Valoare TVA ID validă. Se va folosi grupul de clienți curent."
"The VAT ID is valid but no Customer Group is assigned for it.","ID-ul valorii TVA este valid, dar nu i-a fost atribuit nici unui grup de clienți."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Bazat pe ID-ul valorii TVA, clientul aparține grupului de clienți %s."
"Something went wrong while validating the VAT ID.","A avut loc o eroare la validarea ID-ului valorii TVA."
"The customer would belong to Customer Group %s.","Clientul aparține grupului de clienți %s."
"There was an error detecting Customer Group.","A avut loc o eroare la detectarea grupului de clienți."
"Validate VAT Number","Validare număr TVA"
"Customer Login","Autentificare client"
"Create New Customer Account","Creează un Cont Client Nou"
"Date of Birth","Data nașterii"
"Bad request.","Solicitare greșită."
"This confirmation key is invalid or has expired.","Această cheie de confirmare este nevalidă sau a expirat."
"There was an error confirming the account","A avut loc o eroare la confirmarea contului."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Dacă sunteți un client TVA înregistrat, faceți click pe <a href=""%1"">aici</a> pentru a introduce adresa de livrare pentru calcularea valorii TVA."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Dacă sunteți un client TVA înregistrat, faceți click pe<a href=""%1"">aici</a> pentru a introduce adresa de facturare pentru o calculare precisă a valorii TVA."
"Thank you for registering with %1.","Vă mulțumim că v-ați înregistrat la %1."
"Please check your email for confirmation key.","Verificați-vă adresa de email pentru codul de confirmare."
"This email does not require confirmation.","Acest email nu necesită confirmare."
"Wrong email.","Adresă email greșită."
"Your password reset link has expired.","Link-ul dumneavoastră de resetare parolă a expirat."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Trebuie să vă activați contul. Verificați-vă adresa de email pentru codul de confirmare sau <a href=""%1"">faceți click aici</a> pentru un link nou."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Există deja un cont înregistrat cu această adresă de email. Dacă sunteți sigur că este adresa dumneavoastră de email, <a href=""%1"">faceți click aici</a> pentru a obține parola și a vă accesa contul."
"We can't save the customer.","Clientul nu poate fi salvat."
"Please make sure your passwords match.","Vă rugăm verificați dacă parolele sunt identice."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Dacă sunteți un client TVA înregistrat, <a href=""%1"">faceți click aici</a> pentru a introduce adresa de livrare pentru calcularea precisă valorii TVA."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Dacă sunteți un client TVA înregistrat, faceți click pe<a href=""%1"">aici</a> pentru a introduce adresa de facturare pentru o calculare precisă a valorii TVA."
"Account Information","Informații de profil"
"You saved the account information.","Ați salvat informațiile de cont."
"You did not sign in correctly or your account is temporarily disabled.","Nu v-ați conectat corect sau contul dvs. este temporar dezactivat."
"Password confirmation doesn't match entered password.","Confirmarea parolei nu corespunde parolei introduse."
"The password doesn't match this account.","Parola nu corespunde acestui cont."
"Please correct the email address.","Vă rugăm să corectați adresa de e-mail."
"We're unable to send the password reset email.","Nu s-a putut trimite email-ul pentru resetarea parolei."
"Please enter your email.","Introduceți email-ul dumneavoastră."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Dacă există un cont asociat cu %1 veți primi un email cu link-ul pentru resetarea parolei."
"My Account","Contul meu"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Acest cont nu a fost activat. <a href=""%1"">Faceți click aici</a> pentru a retrimite email-ul de activare."
"An unspecified error occurred. Please contact us for assistance.","A apărut o eroare nespecificată. Vă rugăm să ne contactați pentru asistență."
"A login and a password are required.","Un nume de utilizator și o parolă sunt necesare."
"New Password and Confirm New Password values didn't match.","Valorile din Parolă Nouă și Confirmare Parolă Nouă nu coincid."
"Please enter a new password.","Introduceți o parolă nouă."
"You updated your password.","Ați actualizat parola."
"Something went wrong while saving the new password.","A avut loc o eroare la salvarea noii parole."
"You deleted the address.","Ați șters adresa."
"We can't delete the address right now.","Nu se poate șterge adresa momentan."
"You saved the address.","Ați salvat adresa."
"We can't save the address.","Nu se poate salva adresa."
"No customer ID defined.","Nici un ID de client definit."
"Please correct the quote items and try again.","Vă rugăm să corectați elementele de ofertă și să încercați din nou."
"You have revoked the customer's tokens.","Ați revocat simbolurile clientului."
"We can't find a customer to revoke.","Nu se poate găsi un client pentru revocare."
"Something went wrong while saving file.","Ceva nu a mers bine în timpul salvării fișierului."
"You deleted the customer group.","Ați șters grupul de clienți."
"The customer group no longer exists.","Grupul de clienți nu mai există."
"Customers","Clienți"
"New Group","Grup nou"
"New Customer Groups","Grupuri clienți noi"
"Edit Group","Modificați grup"
"Edit Customer Groups","Modificați grupuri de clienți"
"You saved the customer group.","Ați salvat grupul de clienți."
"Please select customer(s).","Vă rugăm să selectați clientul."
"Customer could not be deleted.","Clientul nu poate fi șters."
"You deleted the customer.","Ați șters clientul."
"Something went wrong while editing the customer.","A avut loc o eroare la editarea clientului."
"Manage Customers","Gestionați clienți"
"Please correct the data sent.","Corectați informațiile trimise."
"A total of %1 record(s) were updated.","Un total de %1 au fost actualizate."
"A total of %1 record(s) were deleted.","Un total de %1 registre au fost șterse."
"The customer will receive an email with a link to reset password.","Clientul va primi un email cu un link pentru resetarea parolei."
"Something went wrong while resetting customer password.","A avut loc o eroare la resetarea parolei clientului."
"You saved the customer.","Ați salvat clientul."
"Something went wrong while saving the customer.","A avut loc o eroare la salvarea clientului."
"Page not found.","Pagina nu este găsită."
"Customer has been unlocked successfully.","Clientul a fost deblocat cu succes."
"Online Customers","Clienți conectați"
"Customers Now Online","Clienți conectați acum"
"Please define Wish List item ID.","Definiți ID-ul articolului Listă de Dorințe."
"Please load Wish List item.","Încărcați articolul Listă de Dorințe."
"Login successful.","Conectare reușită."
"Invalid login or password.","Autentificare eșuată sau parolă incorectă"
"""%1"" section source is not supported","Secțiunea sursă%1nu este suportată"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 Nu se extinde \Magento\Client\InformațiiClient\InterfațăSursăSecțiune"
"No confirmation needed.","Nicio confirmare necesară."
"Account already active","Contul este deja activ"
"Invalid confirmation token","Token de confirmare nevalid"
"The account is locked.","Contul este blocat."
"This account is not confirmed.","Acest cont nu este confirmat."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Valoare nevalidă de ""%value"" furnizată pentru câmpul %fieldname. Valorile posibile: %template1 sau %template2."
"Please enter a password with at most %1 characters.","Introduceți o parolă cu cel mult %1 caractere."
"Please enter a password with at least %1 characters.","Introduceți o parolă cu cel puțin %1 caractere."
"The password can't begin or end with a space.","Parola nu poate începe sau termina cu un spațiu."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minim diferite clase de caractere în parolă sunt %1. Clase de caractere: Litere Mici, Litere Mari, Cifre, Caractere speciale."
"Password cannot be the same as email address.","Parola nu poate fi aceeași cu adresa de e-mail."
"This customer already exists in this store.","Acest client există deja în acest magazin."
"A customer with the same email already exists in an associated website.","Un client cu același e-mail există deja într-un site asociat. (Automatic Translation)"
"Invalid value of ""%value"" provided for the %fieldName field.","Valoare nevalidă pentru ""%value"" furnizată pentru câmpul %fieldname."
"%fieldName is a required field.","%fieldName este un câmp obligatoriu."
"Reset password token mismatch.","Resetați nepotrivirea parolei token."
"Reset password token expired.","Simbol resetare parolă expirat."
"Please correct the transactional account email type.","Vă rugăm să corectați tipul de e-mail al contului tranzacțional."
"""%1"" is a required value.","""%1"" este o valoare necesară."
"Global","Global"
"Per Website","Pe Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Conturile de client nu pot fi partajate la nivel global în cazurile în care conturile au aceeași adresă de email sau mai mult de un website."
"Billing Address","Adresă facturare"
"Shipping Address","Adresa de livrare"
"-- Please Select --","-- Selectați --"
"Please enter a valid password reset token.","Te rog introdu un token valid de resetare a parolei."
"The password can not begin or end with a space.","Parola nu poate începe sau se poate termina cu un spațiu."
"Admin","Administrator"
"ALL GROUPS","TOATE GRUPURILE"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Nici o astfel de entitate cu %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Fișierul nu poate fi salvat în dosarul de destinație."
"Unable to create directory %1.","Nu se poate crea directorul %1."
"Destination folder is not writable or does not exists.","Dosarul destinației nu poate fi scris sau nu există."
"Something went wrong while saving the file.","Ceva nu a mers bine în timpul salvării fișierului."
"Attribute object is undefined","Obiect atribut nedefinit"
"""%1"" invalid type entered.","Tip ""%1"" nevalid introdus."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" conține caractere non-alfabetice sau non-numerice."
"""%1"" is an empty string.","""%1"" este un șir gol."
"""%1"" contains non-numeric characters.","""%1"" conține caractere non-numerice."
"""%1"" contains non-alphabetic characters.","""%1"" conține caractere non-alfabetice."
"""%1"" is not a valid email address.","""%1"" nu este o adresă email validă."
"""%1"" is not a valid hostname.","""%1"" nu este un nume de gazdă valid."
"""%1"" uses too many characters.","""%1"" folosește prea multe caractere."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' arată ca o adresă IP, care nu este un format acceptabil."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' arată ca o gazdă DNS, dar conține o cratimă într-o poziție nevalidă."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' arată ca o gazdă DNS, dar nu o putem potrivi cu schema numelui de gazdă pentru TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' arată ca o gazdă DNS dar nu poate extrage partea TLD."
"'%value%' does not look like a valid local network name.","'%value%' nu arată ca un nume de rețea locală valid."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' arată ca un nume de rețea local, care nu este un format acceptabil."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' pare a fi o gazdă DNS, dar notația punycode dată nu poate fi decodată."
"""%1"" is not a valid URL.","""%1"" nu este un URL valid."
"""%1"" is not a valid date.","""%1"" nu este o dată validă."
"""%1"" does not fit the entered date format.","""%1"" nu coincide cu formatul datei introdus."
"Please enter a valid date between %1 and %2 at %3.","Introduceți o dată validă între %1 și %2 la %3."
"Please enter a valid date equal to or greater than %1 at %2.","Introduceți o dată validă, egală cu sau mai mare decât %1 la %2."
"Please enter a valid date less than or equal to %1 at %2.","Introduceți o dată validă mai mică decât sau egală cu %1 la %2."
"""%1"" is not a valid file extension.","""%1"" nu este o extensie de fișier validă."
"""%1"" is not a valid file.","""%1"" nu este un fișier valid."
"""%1"" exceeds the allowed file size.","""%1"" depășește mărimea permisă a fișierului."
"""%1"" is not a valid image format.","""%1"" nu este un format de imagine valid."
"""%1"" width exceeds allowed value of %2 px.","Lățimea ""%1"" depășește valoarea admisă de %2 px."
"""%1"" height exceeds allowed value of %2 px.","înălțimea ""%1"" depășește valoarea admisă de %2 px."
"""%1"" length must be equal or greater than %2 characters.","Lungimea ""%1"" trebuie să fie egală cu sau mai mare de %2 caractere."
"""%1"" length must be equal or less than %2 characters.","Lungimea ""%1"" trebuie să fie egală cu sau mai mică de %2 caractere."
"label","etichetă"
"Please enter a customer email.","Te rugăm să introduci un e-mail de client."
"A customer website ID must be specified when using the website scope.","Un ID al website-ului clientului trebuie specificat atunci când se utilizează site-ul web."
"Customer Group","Grup Clienți"
"You can't delete group ""%1"".","Nu se poate șterge grupul ""%1""."
"Customer Group already exists.","Grupul de clienți deja există."
"Cannot delete group.","Grupul nu poate fi șters."
"Error during VAT Number verification.","Eroare la verificarea numărului TVA."
"PHP SOAP extension is required.","Extensia PHP SOAP este necesară."
"VAT Number is valid.","Numărul TVA este valid."
"Please enter a valid VAT number.","Te rog introdu un număr de valid de TVA."
"Your VAT ID was successfully validated.","ID-ul dumneavoastră TVA a fost validat cu succes."
"You will be charged tax.","Veți plăti o taxă."
"You will not be charged tax.","Nu veți plăti nici o taxă"
"The VAT ID entered (%1) is not a valid VAT ID.","ID-ul TVA introdus (%1) nu este un TVA ID valid."
"Your Tax ID cannot be validated.","ID-ul dumneavoastră de taxă nu poate fi validat."
"If you believe this is an error, please contact us at %1","Dacă aceasta este o eroare, contactați-ne la %1"
"No such entity with %fieldName = %fieldValue","Nicio astfel de entitate cu %fieldName = %fieldValue"
"Male","Bărbat"
"Female","Femeie"
"Not Specified","Nespecificat"
"Thank you for registering with","Vă mulțumim pentru înregistrarea cu"
"enter your billing address for proper VAT calculation","Introduceți adresa dvs. de facturare pentru calculul corect al TVA"
"enter your shipping address for proper VAT calculation","Introduceți adresa de livrare pentru calculul corect al TVA"
"Please enter new password.","Vă rugăm să introduceţi o parolă nouă."
"message","Mesaj"
"NoSuchEntityException","Nici o excepție de entitate"
"Exception","Excepție"
"InputException.","ExcepțieInput."
"InputException","ExcepțieInput"
"Exception message","Mesaj excepție"
"Validator Exception","Excepție Validator"
"Localized Exception","Excepție localizată"
"some error","Unele erori"
"frontend_label","etichetă_intefață"
"NOT LOGGED IN","Nu este logat"
"Please enter the state/province.","Introduceți statul / zona."
"region is a required field.","Regiunea este un câmp obligatoriu."
"regionId is a required field.","ID-ul regiunii este un câmp obligatoriu."
"Label","Etichetă"
"Select...","Selectați..."
"Edit","Editați"
"Visitor","Vizitator"
"Customer","Utilizator"
"No item specified.","Nici un articol specificat."
"Are you sure you want to remove this item?","Sunteți sigur că doriți să eliminați acest articol?"
"Personal Information","Informații personale"
"Last Logged In:","Ultima conectare:"
"Last Logged In (%1):","Ultima conectare (%1):"
"Account Lock:","Blocare cont:"
"Confirmed email:","Email confirmat:"
"Account Created:","Cont creat:"
"Account Created on (%1):","Cont creat la (%1):"
"Account Created in:","Cont creat în:"
"Customer Group:","Grup clienți:"
"Default Billing Address","Adresa principală de facturare"
"Sales Statistics","Statistici vânzări"
"Web Site","Web Site"
"Store","Magazin"
"Store View","Vizualizare magazin"
"Lifetime Sales","Vânzări la termen"
"Average Sale","Medie vânzare"
"All Store Views","Toate vizualizările de magazin"
"Change","Schimbați"
"Manage Addresses","Gestionați agenda cu adrese"
"Default Shipping Address","Adresa principală de livrare"
"Contact Information","Informații de contact."
"Change Password","Schimbați parola"
"Newsletters","Newsletter"
"You are subscribed to ""General Subscription"".","Sunteți abonat la ""General Subscription""."
"or","sau"
"Default Addresses","Adresa principală."
"Change Billing Address","Schimbați adresa principală de facturare"
"You have no default billing address in your address book.","Nu aveți adrese de facturare implicite în agendă."
"Change Shipping Address","Schimbați  adresa de livrare"
"You have no default shipping address in your address book.","Nu aveți adrese de livrare implicite în agendă."
"Additional Address Entries","Adrese suplimentare"
"Delete Address","Șterge Adresa"
"You have no other address entries in your address book.","Nu aveți intrări de adrese în agendă."
"* Required Fields","* Campuri obligatorii"
"Address","Adresa"
"Street Address","Adresa"
"Street Address %1","Adresă stradă %1"
"VAT Number","Număr TVA"
"City","Localitate"
"State/Province","Stat/zonă"
"Please select a region, state or province.","Selectați o regiune, un stat sau o zonă."
"Zip/Postal Code","Cod poștal"
"Country","Țara"
"It's a default billing address.","Este o adresă de facturare implicită."
"Use as my default billing address","Folosiți ca adresă principală de facturare"
"It's a default shipping address.","Este o adresă de livrare implicită."
"Use as my default shipping address","Folosiți ca adresă principală de livrare"
"Save Address","Salvare adresă"
"Go back","Înapoi"
"Please enter your email below and we will send you the confirmation link.","Introduceți mai jos adresa de email și vă vom trimite link-ul de confirmare."
"Email","Email"
"Send confirmation link","Trimiteți link de confirmare"
"Back to Sign In","Înapoi la autentificare"
"Change Email","Schimbați e-mailul"
"Change Email and Password","Schimbare e-mail și parolă"
"Current Password","Parola curentă"
"New Password","Parolă nouă"
"Password Strength","Dificultatea parolei"
"No Password","Nici o parolă"
"Confirm New Password","Confirmați noua parola"
"Save","Salvare"
"Please enter your email address below to receive a password reset link.","Introduceți mai jos adresa de email pentru a primi link-ul de resetare parolă."
"Reset My Password","Resetează parola mea"
"Registered Customers","Clienți înregistrați"
"If you have an account, sign in with your email address.","Dacă aveți un cont creat, conectați-vă cu adresa de email."
"Password","Parola"
"Forgot Your Password?","Ați uitat parola?"
"Subscription option","Opțiune abonare"
"General Subscription","Abonare buletin de informații generale"
"Sign Up for Newsletter","Abonare newsletter"
"Address Information","Informații despre adresă"
"Sign-in Information","Informații conectare"
"Confirm Password","Confirmați parola"
"Create an Account","Creare cont"
"Set a New Password","Setați o parolă nouă"
"You have signed out and will go to our homepage in 5 seconds.","V-ați deconectat și veți merge la pagina principală in 5 secunde."
"New Customers","Clienți noi"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crearea unui cont are multe beneficii: check aut rapid, păstrarea mai multor adrese, urmărirea comenzilor și altele."
"Company","Companie"
"Fax","Fax"
"Gender","Gen"
"Name","Numeric"
"Tax/VAT number","Număr TVA/TVA"
"Phone Number","Număr de telefon"
"Welcome to %store_name","Bine ați venit la %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bine ați venit la %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pentru a vă conecta pe site-ul nostru, folosiți credențialele în timpul checkout-ului sau pe pagina <a href=""%customer_url"">Contul Meu</a> :"
"Email:","Email:"
"Password:","Parola:"
"Password you set when creating account","Parola setată la crearea contului"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","V-ați uitat parola? Faceți click <a href=""%reset_url"">aici</a> pentru resetare."
"When you sign in to your account, you will be able to:","Când vă veți conecta la contul dumneavoastră, veți putea să:"
"Proceed through checkout faster","Treceți mai repede prin procesul de checkout"
"Check the status of orders","Verificași statusul comenzilor"
"View past orders","Vizualizați comenzi precedente"
"Store alternative addresses (for shipping to multiple family members and friends)","Stocați adrese alternative (pentru livrare către multipli membri ai familiei și prieteni)"
"Please confirm your %store_name account","Te rugăm să confirmi contul tău %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Trebuie să confirmați adresa dumneavoastră de %customer_email înainte de a vă conecta (link-ul este valid o singură dată):"
"Confirm Your Account","Confirmați-vă contul"
"Thank you for confirming your %store_name account.","Vă mulțumim v-ați confirmat contul %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Pentru conectarea pe site-ul nostru și setarea unei parole, faceți click pe <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","E-mailul cu %store_name a fost schimbat"
"Hello,","Salut,"
"We have received a request to change the following information associated with your account at %store_name: email.","Am primit o solicitare de schimbare a următoarelor informații asociate contului dvs. la %store_name: e-mail."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Dacă nu ați autorizat această acțiune, vă rugăm să ne contactați imediat la <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","Sau sunați-ne la <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Mulțumesc,<br>%store_name"
"Your %store_name email and password has been changed","Adresa de e-mail și parola %store_name au fost modificate"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Am primit o solicitare de modificare a următoarelor informații asociate contului dvs. la %store_name: e-mail, parolă."
"Reset your %store_name password","Resetează-ți parola de %store_name"
"There was recently a request to change the password for your account.","A existat recent o solicitare de schimbare a parolei pentru contul dumneavoastră."
"If you requested this change, set a new password here:","Dacă dumneavoastră ați solicitat această schimbare, setați parola nouă aici:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Dacă nu dumneavoastră ați făcut această solicitare, ignorați acest email și parola dumneavoastră va rămâne aceeași."
"Your %store_name password has been changed","Parola ta %store_name a fost schimbată"
"We have received a request to change the following information associated with your account at %store_name: password.","Am primit o solicitare de modificare a următoarelor informații asociate contului dvs. la %store_name: parolă."
"Checkout as a new customer","Checkout ca client nou"
"Creating an account has many benefits:","Crearea unui cont are multe beneficii:"
"See order and shipping status","Vedeți comanda și starea de livrare"
"Track order history","Urmăriți istoricul comenzilor"
"Check out faster","Verifică mai repede"
"Checkout using your account","Verifică folosind contul tău"
"Email Address","Adresa Email "
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?"
"Are you sure you want to delete this address?","Sunteți sigur(ă) că vreți să ștergeți această adresă?"
"Weak","Slabă"
"Medium","Medie"
"Strong","Puternică"
"Very Strong","Foarte puternică"
"Guest checkout is disabled.","Checkout-ul pentru vizitatori este dezactivat."
"All Customers","Toți clienții"
"Now Online","Acum online"
"Customers Section","Secțiunea Clienți"
"Customer Configuration","Configurație client"
"Account Sharing Options","Opțiuni partajare cont"
"Share Customer Accounts","Partajare conturi client"
"Create New Account Options","Creați opțiuni cont noi"
"Enable Automatic Assignment to Customer Group","Activați atribuiri automate pentru grup clienți"
"Tax Calculation Based On","Calculare taxă bazată pe"
"Default Group","Grup implicit"
"Group for Valid VAT ID - Domestic","Grup pentru ID TVA valid - Intern"
"Group for Valid VAT ID - Intra-Union","Grup pentru ID TVA valid - Intra-Uniune"
"Group for Invalid VAT ID","Grup pentru ID TVA valid"
"Validation Error Group","Eroare validare grup"
"Validate on Each Transaction","Validați la fiecare tranzacție"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valoare implicită pentru dezactivarea modificărilor automate de grup pe baza ID-ului TVA"
"Show VAT Number on Storefront","Afișați numărul TVA în Vitrină"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Pentru a afișa numărul TVA în Vitrină, setați opțiunea Afișați Număr TVA în Vitrină la DA."
"Default Email Domain","Domeniu Email Implicit"
"Default Welcome Email","Email de Bun Venit Implicit"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată."
"Default Welcome Email Without Password","Email de Bun Venit Implicit fără parolă"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Acest e-mail va fi trimis în locul e-mailului implicit de bun venit, dacă un client a fost creat fără parolă. <br /><br />
                        Șablon de e-mail ales pe baza temei de rezervă atunci când opțiunea ""Implicit"" este selectată."
"Email Sender","Expeditor email"
"Require Emails Confirmation","Necesită confirmare prin email"
"Confirmation Link Email","Link Email de Confirmare"
"Welcome Email","Email de Bun Venit"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Acest e-mail va fi trimis în locul e-mailului implicit de bun venit, după confirmarea contului. <br /><br />
                        Șablon de e-mail ales pe baza temei de rezervă atunci când opțiunea ""Implicit"" este selectată."
"Generate Human-Friendly Customer ID","Generați ID client ușor de utilizat"
"Password Options","Opțiuni parolă"
"Forgot Email Template","Șablon e-mail uitat"
"Remind Email Template","Șablon reamintire adresă de email"
"Reset Password Template","Resetare șablon parolă"
"Password Template Email Sender","Șablon parolă email expeditor"
"Recovery Link Expiration Period (hours)","Perioada de expirare a link-ului de recuperare (ore)"
"Please enter a number 1 or greater in this field.","Introduceți un număr egal cu sau mai mare decât 1 în acest câmp."
"Number of Required Character Classes","Numărul de clase de caractere necesare"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Numărul de clase de caractere diferite necesare în parolă: litere mici, majuscule, cifre, caractere speciale."
"Minimum Password Length","Lungimea minimă a parolei"
"Maximum Login Failures to Lockout Account","Numărul maxim de eșuări la conectare pentru blocarea contului"
"Use 0 to disable account locking.","Utilizați 0 pentru a dezactiva blocarea contului."
"Lockout Time (minutes)","Timp blocare (minute)"
"Enable Autocomplete on login/forgot password forms","Activați auto finalizarea la formele conectare/am uitat parola"
"Account Information Options","Opțiuni informații cont"
"Change Email Template","Schimbă șablon de e-mail"
"Change Email and Password Template","Schimbă șablon de e-mail și parolă"
"Name and Address Options","Opțiuni Nume și Adresă"
"Number of Lines in a Street Address","Număr de linii într-o adresă de stradă"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Afișați prefix"
"The title that goes before name (Mr., Mrs., etc.)","Titlul dinaintea numelui (Dl., Dna.etc.)"
"Prefix Dropdown Options","Opțiuni dropdown prefix"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) valori separate.<br/>Lăsați gol pentru câmpul text deschis."
