"Sign Out","Tancar la sessió"
"Please enter your email below and we will send you the confirmation link.","Si us plau, introduïu el vostre correu electrònic a continuació i us enviarem l’enllaç de confirmació."
"Email","Correu electrònic"
"Send confirmation link","Envia un enllaç de confirmació"
"Back to Sign In","Torna a iniciar la sessió"
"Change Email","Canvia el correu electrònic"
"Change Email and Password","Canvieu l'adreça electrònica i contrasenya"
"Current Password","Contrasenya actual"
"New Password","Nova Contrasenya"
"Password Strength","Solidesa de la contrasenya"
"No Password","Sense contrasenya"
"Confirm New Password","Confirmeu la nova contrasenya"
"Save","Desar"
"Please enter your email address below to receive a password reset link.","Introduïu la vostra adreça de correu electrònic a continuació per rebre un enllaç de restabliment de contrasenya."
"Reset My Password","Reinicia la contrasenya"
"Registered Customers","Clients registrats"
"If you have an account, sign in with your email address.","Si teniu un compte, inicieu la sessió amb la vostra adreça de correu electrònic."
"Password","Contrasenya"
"Forgot Your Password?","Heu oblidat la contrasenya?"
"Subscription option","Opció de subscripció"
"General Subscription","Subscripció general"
"Sign Up for Newsletter","Inscriure's al butlletí"
"Address Information","Informació de l'adreça"
"Sign-in Information","Informació d'inici de sessió"
"Confirm Password","Confirmeu la contrasenya"
"Create an Account","Crea un compte"
"Set a New Password","Estableix una nova contrasenya"
"You have signed out and will go to our homepage in 5 seconds.","Heu tancat la sessió i anireu a la pàgina principal en 5 segons."
"New Customers","Nous clients"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","La creació d’un compte té molts avantatges: fer una ullada més ràpida, mantenir més d’una adreça, fer el seguiment de les comandes i molt més."
"Company","Empresa"
"Fax","Fax"
"Gender","Gènere"
"Name","Nom"
"Tax/VAT number","Número d’impostos/IVA"
"Phone Number","Número de telèfon"
"Welcome to %store_name","Us donem la benvinguda a %store_name"
"%name,","%name,"
"Welcome to %store_name.","Us donem la benvinguda a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Per iniciar sessió, utilitzeu aquestes credencials durant la formalització de la comanda o a la pàgina <a href=""%customer_url"">El meu compte</a>:"
"Email:","Correu:"
"Password:","Contrasenya:"
"Password you set when creating account","Contrasenya indicada quan es va crear el compte"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Contrasenya oblidada? Feu clic <a href=""%reset_url"">aquí</a> per a restaurar-la."
"When you sign in to your account, you will be able to:","Quan inicieu sessió al vostre compte, podreu:"
"Proceed through checkout faster","Formalitzar la comanda ràpidament"
"Check the status of orders","Comprovar l'estat de les comandes"
"View past orders","Veure comandes anteriors"
"Store alternative addresses (for shipping to multiple family members and friends)","Emmagatzema adreces alternatives (per enviar a diversos membres de la família i amics)"
"Please confirm your %store_name account","Si us plau, confirmeu el vostre compte de %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Per poder iniciar la sessió, heu de confirmar el vostre correu electrònic de %customer_email (l'enllaç només és vàlid una vegada):"
"Confirm Your Account","Confirmeu el vostre compte"
"Thank you for confirming your %store_name account.","Gràcies per confirmar el vostre compte de %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Per iniciar la sessió al nostre lloc i configurar una contrasenya, feu clic al següent <a href=""%create_password_url"">enllaç</a>:"
"Your %store_name email has been changed","S'ha canviat el vostre correu electrònic de %store_name"
"Hello,","Hola,"
"We have received a request to change the following information associated with your account at %store_name: email.","Hem rebut una sol·licitud per canviar la informació següent associada amb el vostre compte a %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Si no heu autoritzat aquesta acció, contacteu-nos immediatament a <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o truqueu-nos a <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Gràcies,<br>%store_name"
"Your %store_name email and password has been changed","S'ha canviat el vostre correu electrònic i contrasenya de %store_name"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Hem rebut una sol·licitud per canviar la informació següent associada amb el vostre compte %store_name: email, password."
"Reset your %store_name password","Restabliu la vostra contrasenya de %store_name"
"There was recently a request to change the password for your account.","Recentment hi ha hagut una sol·licitud per canviar la contrasenya del vostre compte."
"If you requested this change, set a new password here:","Si heu sol·licitat aquest canvi, establiu una nova contrasenya aquí:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Si no heu realitzat aquesta sol·licitud, podeu ignorar aquest correu electrònic i la vostra contrasenya continuarà essent la mateixa."
"Your %store_name password has been changed","La vostra contrasenya de %store_name s'ha canviat"
"We have received a request to change the following information associated with your account at %store_name: password.","We have received a request to change the following information associated with your account at %store_name: password."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Checkout using your account","Checkout using your account"
"Email Address","Email Address"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Weak","Weak"
"Medium","Medium"
"Strong","Strong"
"Very Strong","Very Strong"
"Guest checkout is disabled.","Guest checkout is disabled."
"All Customers","All Customers"
"Now Online","Now Online"
"Customers Section","Customers Section"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Email Sender"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Recovery Link Expiration Period (hours)"
"Please enter a number 1 or greater in this field.","Si us plau, introduïu un número igual o més gran que 1 en aquest camp."
"Number of Required Character Classes","Nombre de classes de caràcters obligatoris"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Nombre de classes de caràcters diferents requerides a la contrasenya: minúscules, majúscules, xifres, caràcters especials."
"Minimum Password Length","Longitud mínima de la contrasenya"
"Maximum Login Failures to Lockout Account","Nombre màxim de fallades d’inici de sessió per bloquejar el compte"
"Use 0 to disable account locking.","Utilitzeu 0 per desactivar el bloqueig del compte."
"Lockout Time (minutes)","Temps de bloqueig (minuts)"
"Enable Autocomplete on login/forgot password forms","Activa auto-completar en els formularis d'inici de sessió o contrasenya oblidada"
"Account Information Options","Opcions d'informació del compte"
"Change Email Template","Edita la plantilla de correu electrònic"
"Change Email and Password Template","Canvieu la plantilla de correu electrònic i contrasenya"
"Name and Address Options","Opcions de nom i adreça"
"Number of Lines in a Street Address","Nombre de línies en el carrer de l'adreça"
"Valid range: 1-4","Interval vàlid: 1-4"
"Show Prefix","Mostra el prefix"
"The title that goes before name (Mr., Mrs., etc.)","Títol abans del nom (Sr., Sra., etc.)"
"Prefix Dropdown Options","Opcions del desplegable de prefixos"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Valors separats de punt i coma (;).<br/>Deixeu buit el camp de text lliure."
"Show Middle Name (initial)","Mostra el nom intermedi (inicial)"
"Always optional.","Sempre opcional."
"Show Suffix","Mostra el sufix"
"The suffix that goes after name (Jr., Sr., etc.)","Sufix després del nom (Jr., Sr., etc.)"
"Suffix Dropdown Options","Opcions del desplegable de sufixos"
"Show Date of Birth","Mostra la data de naixement"
"Show Tax/VAT Number","Mostra número d'impostos/IVA"
"Show Gender","Mostra el gènere"
"Show Telephone","Mostra el telèfon"
"Show Company","Mostra l'empresa"
"Show Fax","Mostra el fax"
"Login Options","Opcions d’inici de sessió"
