"Sign Out","Cerrar sesión"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Si eres un cliente al que se le repercute el IVA, por favor haz <a href=""%1"">clic aquí</a> para introducir tu dirección de facturación para el cálculo adecuado del IVA."
"Account Information","Información de la cuenta"
"You saved the account information.","Has guardado la información de la cuenta."
"You did not sign in correctly or your account is temporarily disabled.","No te has identificado correctamente o tu cuenta se ha desactivado temporalmente."
"Password confirmation doesn't match entered password.","La confirmación de la contraseña no coincide con la contraseña introducida."
"The password doesn't match this account.","La contraseña no coincide con la de esta cuenta."
"Please correct the email address.","Por favor, corrige la dirección de correo electrónico."
"We're unable to send the password reset email.","No se puede enviar el correo electrónico para restablecer la contraseña."
"Please enter your email.","Por favor, introduce tu dirección de correo electrónico."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si hay una cuenta asociada a %1 recibirás un correo electrónico con un enlace para restablecer tu contraseña."
"My Account","Mi cuenta"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Esta cuenta no está confirmada. <a href=""%1"">Haz clic aquí</a> para volver a enviar el correo electrónico de confirmación."
"An unspecified error occurred. Please contact us for assistance.","Se produjo un error no especificado. Póngase en contacto con nosotros para obtener ayuda."
"A login and a password are required.","Se requieren nombre de usuario y contraseña."
"New Password and Confirm New Password values didn't match.","Los valores de ""Nueva contraseña"" y ""confirmar nueva contraseña"" no coinciden."
"Please enter a new password.","Por favor, introduce una contraseña nueva."
"You updated your password.","Has actualizado tu contraseña."
"Something went wrong while saving the new password.","Algo salió mal al guardar la nueva contraseña."
"You deleted the address.","Has borrado la dirección."
"We can't delete the address right now.","No se puede eliminar la dirección en este momento."
"You saved the address.","Has guardado la dirección."
"We can't save the address.","No se puede guardar la dirección."
"No customer ID defined.","No hay ID de cliente definido."
"Please correct the quote items and try again.","Por favor, corrige los artículos del presupuesto y vuelve a intentarlo."
"You have revoked the customer's tokens.","Has revocado los tókenes del cliente."
"We can't find a customer to revoke.","No se puede encontrar un cliente para revocar."
"Something went wrong while saving file.","Algo salió mal al guardar el archivo."
"You deleted the customer group.","Has eliminado el grupo de clientes."
"The customer group no longer exists.","El grupo de clientes ya no existe."
"Customers","Clientes"
"New Group","Nuevo grupo"
"New Customer Groups","Nuevos grupos de clientes"
"Edit Group","Editar grupo"
"Edit Customer Groups","Editar grupos del cliente"
"You saved the customer group.","Guardaste el grupo de clientes."
"Please select customer(s).","Por favor, selecciona clientes."
"Customer could not be deleted.","No se pudo eliminar al cliente."
"You deleted the customer.","Has eliminado el cliente."
"Something went wrong while editing the customer.","Algo salió mal durante la edición del cliente."
"Manage Customers","Gestionar clientes"
"Please correct the data sent.","Por favor, corrige los datos enviados."
"A total of %1 record(s) were updated.","Un total de %1 registro(s) fueron actualizados."
"A total of %1 record(s) were deleted.","Un total de %1 registro(s) fueron eliminados."
"The customer will receive an email with a link to reset password.","El cliente recibirá un correo electrónico con un enlace para restablecer contraseña."
"Something went wrong while resetting customer password.","Algo salió mal al restablecer la contraseña de cliente."
"You saved the customer.","Has guardado el cliente."
"Something went wrong while saving the customer.","Algo salió mal al guardar el cliente."
"Page not found.","Página no encontrada."
"Customer has been unlocked successfully.","Cliente ha sido desbloqueado con éxito."
"Online Customers","Clientes conectados"
"Customers Now Online","Clientes conectados ahora"
"Please define Wish List item ID.","Define el ID del artículo de la Lista de deseos."
"Please load Wish List item.","Por favor, carga el artículo de la Lista de deseos."
"Login successful.","Inicio de sesión exitoso."
"Invalid login or password.","Usuario o contraseña incorrectos."
"""%1"" section source is not supported","No se admite la fuente de la sección ""%1"""
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 no extiende a \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No se necesita confirmación."
"Account already active","Cuenta ya activa"
"Invalid confirmation token","Token de confirmación no válido"
"The account is locked.","Tu cuenta está bloqueada."
"This account is not confirmed.","Esta cuenta no está confirmada."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Por favor, introduzca una contraseña con un máximo de 1% caracteres."
"Please enter a password with at least %1 characters.","Por favor, introduce una contraseña con al menos %1 caracteres."
"The password can't begin or end with a space.","La contraseña no puede comenzar ni terminar con un espacio."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Mínimo de las diferentes clases de caracteres en la contraseña es %1. Las clases de caracteres son: minúsculas, mayúsculas, números, caracteres especiales."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Este cliente ya existe en esta tienda."
"A customer with the same email already exists in an associated website.","Un cliente con el mismo correo electrónico ya existe en un sitio web asociado."
"Invalid value of ""%value"" provided for the %fieldName field.","El valor de ""%value"" no es válido para el campo %fieldName."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","El token para restablecer la contraseña no coincide."
"Reset password token expired.","El Token para restablecer contraseña caducó."
"Please correct the transactional account email type.","Por favor, corrige el tipo de cuenta de correo electrónico transaccional."
"""%1"" is a required value.","""%1"" es un valor necesario."
"Global","General"
"Per Website","Por sitio web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","No podemos compartir cuentas de clientes a nivel global cuando las cuentas comparten direcciones de correo electrónico idénticas en más de un sitio web."
"Billing Address","Dirección de facturación"
"Shipping Address","Dirección de envío"
"-- Please Select --","-- Selecciona --"
"Please enter a valid password reset token.","Introduce un token válido para restablecer la contraseña."
"The password can not begin or end with a space.","La contraseña no puede comenzar ni terminar con un espacio."
"Admin","Administrar"
"ALL GROUPS","TODOS LOS GRUPOS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Sin entidad con %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","El archivo no puede guardarse en la carpeta de destino."
"Unable to create directory %1.","No se puede crear el directorio: %1."
"Destination folder is not writable or does not exists.","La carpeta de destino no existe o no se puede escribir en ella."
"Something went wrong while saving the file.","Algo salió mal al guardar el archivo."
"Attribute object is undefined","Objeto de campo indefinido"
"""%1"" invalid type entered.","""%1"" tipo introducido inválido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caracteres que no son números ni letras."
"""%1"" is an empty string.","""%1"" es una cadena vacía."
"""%1"" contains non-numeric characters.","""%1"" contiene caracteres no numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caracteres no alfabéticos."
"""%1"" is not a valid email address.","""%1"" no es una dirección de correo electrónico válida."
"""%1"" is not a valid hostname.","""%1"" no es un nombre de host válido."
"""%1"" uses too many characters.","""%1"" utiliza demasiados caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' se parece a una dirección IP, que no es un formato aceptable."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' parece ser un nombre de host DNS, pero contiene un guión en una posición no válida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' parece ser un nombre de host DNS, pero no concuerda con el esquema de nombre de host para TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' parece un nombre de host DNS, pero no se puede extraer la parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' no parece ser un nombre válido de red local."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' parece un nombre de red local, que no es un formato aceptable."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser un nombre de servidor DNS pero no se puede descifrar la notación del Punycode introducido."
"""%1"" is not a valid URL.","""%1"" no es una dirección URL válida."
"""%1"" is not a valid date.","""%1"" no es una fecha válida."
"""%1"" does not fit the entered date format.","""%1"" no se ajusta al formato de fecha introducido."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduce una fecha válida entre %1 y %2 en %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduce una fecha válida igual o mayor que %1 en %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduce una fecha válida menor o igual a %1 en %2."
"""%1"" is not a valid file extension.","""%1"" no es una extensión de archivo válida."
"""%1"" is not a valid file.","""%1"" no es un archivo válido."
"""%1"" exceeds the allowed file size.","""%1"" supera el tamaño de archivo permitido."
"""%1"" is not a valid image format.","""%1"" no es un formato de imagen válido."
"""%1"" width exceeds allowed value of %2 px.","""%1"" ancho excede el valor permitido de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede el valor permitido de %2 px."
"""%1"" length must be equal or greater than %2 characters.","La longitud de ""%1"" debe ser igual o mayor que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","La longitud de ""%1"" debe ser igual o menor que %2 caracteres."
"label","etiqueta"
"Please enter a customer email.","Por favor introduce un correo electrónico de cliente."
"A customer website ID must be specified when using the website scope.","Se debe especificar un ID de sitio web del cliente cuando se utiliza el ámbito de sitio web."
"Customer Group","Grupo del cliente"
"You can't delete group ""%1"".","No se puede eliminar el grupo ""%1""."
"Customer Group already exists.","Grupo de clientes ya existe."
"Cannot delete group.","No se puede eliminar el grupo."
"Error during VAT Number verification.","Error durante la verificación del número de identificación fiscal."
"PHP SOAP extension is required.","Se requiere la extensión PHP SOAP"
"VAT Number is valid.","El número de identificación fiscal es válido."
"Please enter a valid VAT number.","Por favor introduce un número de identificación fiscal válido."
"Your VAT ID was successfully validated.","Tu NIF se ha validado correctamente."
"You will be charged tax.","Se te cargarán los impuestos."
"You will not be charged tax.","No se te cargarán los impuestos."
"The VAT ID entered (%1) is not a valid VAT ID.","El NIF introducido (%1) no es un NIF válido."
"Your Tax ID cannot be validated.","Tu NIF no se ha podido validar."
"If you believe this is an error, please contact us at %1","Si crees que esto es un error, por favor contáctanos en %1"
"No such entity with %fieldName = %fieldValue","No existe la entidad con %fieldName = %fieldValue"
"Male","Masculino"
"Female","Femenino"
"Not Specified","No especificado"
"Thank you for registering with","Gracias por registrarte con"
"enter your billing address for proper VAT calculation","introduce tu dirección de facturación para el cálculo adecuado del IVA"
"enter your shipping address for proper VAT calculation","introduce tu dirección de envío para el cálculo adecuado del IVA"
"Please enter new password.","Por favor, introduce una contraseña nueva."
"message","mensaje"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Excepción"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Mensaje de excepción"
"Validator Exception","Excepción de validador"
"Localized Exception","Excepción localizada"
"some error","algún error"
"frontend_label","frontend_label"
"NOT LOGGED IN","NO CONECTADO"
"Please enter the state/province.","Por favor, introduce el estado/provincia."
"region is a required field.","región es un campo obligatorio."
"regionId is a required field.","regionId is a required field."
"Label","Etiqueta"
"Select...","Seleccionar..."
"Edit","Editar"
"Visitor","Visitante"
"Customer","Cliente"
"No item specified.","No se especificó artículo."
"Are you sure you want to remove this item?","¿Seguro que deseas eliminar este artículo?"
"Personal Information","Información Personal"
"Last Logged In:","Último inicio de sesión:"
"Last Logged In (%1):","Última sesión iniciada (%1):"
"Account Lock:","Bloqueo de cuenta:"
"Confirmed email:","Correo electrónico confirmado:"
"Account Created:","Cuenta creada:"
"Account Created on (%1):","Cuenta creada en (%1):"
"Account Created in:","Cuenta creada en:"
"Customer Group:","Grupo de cliente:"
"Default Billing Address","Dirección de facturación por defecto"
"Sales Statistics","Estadísticas de Ventas"
"Web Site","Sitio web"
"Store","Tienda"
"Store View","Vista de la tienda"
"Lifetime Sales","Ventas acumuladas"
"Average Sale","Venta promedio"
"All Store Views","Todas las vistas de la tienda"
"Change","Cambio"
"Manage Addresses","Gestionar direcciones"
"Default Shipping Address","Dirección de envío predeterminada"
"Contact Information","Información del contacto"
"Change Password","Cambiar la contraseña"
"Newsletters","Boletines informativos"
"You are subscribed to ""General Subscription"".","Estás suscrito a ""Suscripción general""."
"or","o"
"Default Addresses","Direcciones (predeterminado)"
"Change Billing Address","Cambiar la dirección de facturación"
"You have no default billing address in your address book.","No tienes ninguna dirección de facturación predeterminada en tu libreta de direcciones."
"Change Shipping Address","Cambiar la dirección de envío"
"You have no default shipping address in your address book.","No tienes ninguna dirección de envío predeterminada en tu libreta de direcciones."
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Delete Address","Borrar dirección"
"You have no other address entries in your address book.","No tienes otras entradas de dirección en tu libreta de direcciones."
"* Required Fields","* Campos obligatorios"
"Address","Dirección"
"Street Address","Dirección"
"Street Address %1","Dirección %1"
"VAT Number","Número de identificación fiscal"
"City","Ciudad"
"State/Province","Estado/provincia"
"Please select a region, state or province.","Por favor, elige una región, estado o provincia."
"Zip/Postal Code","Código Postal"
"Country","País"
"It's a default billing address.","Es una dirección de facturación predeterminada."
"Use as my default billing address","Usar como mi dirección de facturación predeterminada"
"It's a default shipping address.","Es una dirección de envío predeterminada."
"Use as my default shipping address","Usar como mi dirección de envío predeterminada"
"Save Address","Guardar dirección"
"Go back","Retroceder"
"Please enter your email below and we will send you the confirmation link.","Introduce tu correo electrónico debajo y te enviaremos el enlace de confirmación."
"Email","Correo electrónico"
"Send confirmation link","Enviar enlace de confirmación"
"Back to Sign In","Volver a iniciar sesión"
"Change Email","Cambiar correo electrónico"
"Change Email and Password","Cambiar Email y contraseña"
"Current Password","Contraseña actual"
"New Password","Nueva Contraseña"
"Password Strength","Fuerza de la contraseña"
"No Password","Sin contraseña"
"Confirm New Password","Confirmar contraseña nueva"
"Save","Guardar"
"Please enter your email address below to receive a password reset link.","Por favor introduce tu dirección de correo electrónico para recibir un enlace de restablecimiento de contraseña."
"Reset My Password","Restablecer mi contraseña"
"Registered Customers","Clientes registrados"
"If you have an account, sign in with your email address.","Si tienes una cuenta, inicie sesión con tu dirección de correo electrónico."
"Password","Contraseña"
"Forgot Your Password?","¿Olvidaste la contraseña?"
"Subscription option","Opciones de suscripción"
"General Subscription","Suscripción general"
"Sign Up for Newsletter","Suscribirse al boletín"
"Address Information","Información de dirección"
"Sign-in Information","Información de inicio de sesión"
"Confirm Password","Confirmar contraseña"
"Create an Account","Crear una cuenta"
"Set a New Password","Establecer nueva contraseña"
"You have signed out and will go to our homepage in 5 seconds.","Has cerrado la sesión y pasarás a la página de inicio en 5 segundos."
"New Customers","Nuevos clientes"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios: Pago más rápido, guardar más de una dirección, seguimiento de pedidos y mucho más."
"Company","Empresa"
"Fax","Fax"
"Gender","Sexo"
"Name","Nombre"
"Tax/VAT number","Número de identificación fiscal"
"Phone Number","Número de teléfono"
"Welcome to %store_name","Bienvenido a %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bienvenido a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para iniciar sesión, utiliza estas credenciales durante el proceso de compra o en la página <a href=""%customer_url"">Mi cuenta</a>:"
"Email:","Correo electrónico:"
"Password:","Contraseña:"
"Password you set when creating account","Contraseña que ingresaste al crear la cuenta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","¿Olvidaste la contraseña de tu cuenta? Haz clic <a href=""%reset_url"">aquí</a> para restablecerla."
"When you sign in to your account, you will be able to:","Cuando inicies sesión en tu cuenta, podrás:"
"Proceed through checkout faster","Proceder con el proceso de pago más rápido"
"Check the status of orders","Comprobar el estado de los pedidos"
"View past orders","Ver pedidos anteriores"
"Store alternative addresses (for shipping to multiple family members and friends)","Almacenar direcciones alternativas (para el envío a varios miembros de la familia y amigos)"
"Please confirm your %store_name account","Por favor confirma tu cuenta de %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Debes confirmar tu correo electrónico %customer_email antes de que puedas iniciar sesión (el enlace es válido una sola vez):"
"Confirm Your Account","Confirmar tu cuenta"
"Thank you for confirming your %store_name account.","Gracias por confirmar tu cuenta en %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Para acceder a nuestro sitio y establecer una contraseña, haz clic en el siguiente <a href=""%create_password_url"">enlace</a>:"
"Your %store_name email has been changed","Ha cambiado su correo electrónico %store_name"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Si usted no ha autorizado esta acción, por favor contáctenos inmediatamente a <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o llámanos al <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Se ha cambiado su correo electrónico %store_name  y contraseña."
"We have received a request to change the following information associated with your account at %store_name: email, password.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"Reset your %store_name password","Reestablece tu contraseña de %store_name"
"There was recently a request to change the password for your account.","Recientemente hubo una solicitud para cambiar la contraseña de tu cuenta."
"If you requested this change, set a new password here:","Si has solicitado este cambio, establece una nueva contraseña aquí:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Si no has realizado esta solicitud, puedes ignorar este correo electrónico y tu contraseña seguirá siendo la misma."
"Your %store_name password has been changed","Se ha cambiado su contraseña de  %store_name "
"We have received a request to change the following information associated with your account at %store_name: password.","Hemos recibido una solicitud para cambiar la siguiente información asociada a tu cuenta en %store_name: correo electrónico."
"Checkout as a new customer","Pagar como nuevo cliente"
"Creating an account has many benefits:","Crear una cuenta tiene muchos beneficios:"
"See order and shipping status","Ver estado de orden y envío"
"Track order history","Rastrear Historial de Orden"
"Check out faster","Comprar más rápidamente"
"Checkout using your account","Pagar usando su cuenta"
"Email Address","Dirección de email"
"Are you sure you want to do this?","¿Seguro que quieres hacer esto?"
"Are you sure you want to delete this address?","¿Realmente quieres borrar esta dirección?"
"Weak","Débil"
"Medium","Medio"
"Strong","Fuerte"
"Very Strong","Muy fuerte"
"Guest checkout is disabled.","El pago como invitado está inhabilitado."
"All Customers","Todos los clientes"
"Now Online","Ahora en línea"
"Customers Section","Sección de clientes"
"Customer Configuration","Configuración del cliente"
"Account Sharing Options","Opciones de compartición de cuentas"
"Share Customer Accounts","Compartir cuentas de cliente"
"Create New Account Options","Crear nuevas opciones para una cuenta"
"Enable Automatic Assignment to Customer Group","Habilitar la asignación automática al grupo de clientes"
"Tax Calculation Based On","Cálculo tributario basado en"
"Default Group","Grupo (predeterminado)"
"Group for Valid VAT ID - Domestic","Grupo para NIF válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para NIF válido - Intraunión"
"Group for Invalid VAT ID","Grupo para NIF no válido"
"Validation Error Group","Error de validación al grupo"
"Validate on Each Transaction","Validar en cada transacción"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor predeterminado para desactivar el cambio de grupo automático basado en el NIF"
"Show VAT Number on Storefront","Mostrar el número de identificación fiscal en la tienda"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Para mostrar número de IVA en tienda, establezca mostrar número de IVA en la opción de la tienda en sí."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Correo de bienvenida (predeterminado)"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida en función del tema cuando está seleccionada la opción ""Por defecto""."
"Default Welcome Email Without Password","Correo de bienvenida sin contraseña predeterminado"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Remitente de correo electrónico"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Confirmation Link Email","Enlace de confirmación para el correo electrónico"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Password Options","Opciones de contraseña"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Remind Email Template","Plantilla para el correo electrónico de recordatorio"
"Reset Password Template","Plantilla para restablecer contraseña"
"Password Template Email Sender","Remitente de email para plantilla de Password"
"Recovery Link Expiration Period (hours)","Período de expiración del enlace de recuperación (horas)"
"Please enter a number 1 or greater in this field.","Por favor, introduce 1 o un número mayor en este campo."
"Number of Required Character Classes","Número de clases de caracteres requerido"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Número de clases de personajes diferentes en contraseña: minúsculas, mayúsculas, dígitos, caracteres especiales."
"Minimum Password Length","Longitud mínima de la contraseña"
"Maximum Login Failures to Lockout Account","Cantidad máxima de fallos de inicio de sesión para bloquear cuenta"
"Use 0 to disable account locking.","Utilice 0 para desactivar el bloqueo de cuenta."
"Lockout Time (minutes)","Tiempo de bloqueo (minutos)"
"Enable Autocomplete on login/forgot password forms","Habilitar Autocompletar en formularios login/olvido de contraseña"
"Account Information Options","Opciones de información de cuenta"
"Change Email Template","Cambiar plantilla de correo electrónico"
"Change Email and Password Template","Cambiar la plantilla de correo electrónico y contraseña"
"Name and Address Options","Opciones de nombre y dirección"
"Number of Lines in a Street Address","Cantidad de líneas de la dirección"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Mostrar prefijo"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"Prefix Dropdown Options","Opciones para listas desplegables con prefijo"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
