"UPS Next Day Air","UPS επόμενη ημέρα"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Expedited","Worldwide Expedited"
"Customer Packaging","Συσκευασία του πελάτη"
"UPS Letter Envelope","Φάκελος Γράμματος UPS"
"Customer Supplied Package","Πακέτο Παρεχόμενο απ'τον Πελάτη"
"UPS Tube","UPS Tube"
"PAK","PAK"
"UPS Express Box","UPS Express Box"
"UPS Worldwide 25 kilo","UPS Worldwide 25 κιλά"
"UPS Worldwide 10 kilo","UPS Worldwide 10 κιλά"
"Pallet","Παλέτα"
"Small Express Box","Μικρό Express Box"
"Medium Express Box","Μεσαίο Express Box"
"Large Express Box","Μεγάλο Express Box"
"Residential","Κατοικίας"
"Commercial","Εμπορική"
"Pounds","Λίρες"
"Kilograms","Χιλιόγραμμα"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Λυπούμαστε, υπήρξε κάποιο πρόβλημα. Παρακαλούμε προσπαθήστε ξανά ή επικοινωνήστε μαζί μας και εμείς θα προσπαθήσουμε να βοηθήσουμε."
"We can't convert a rate from ""%1-%2"".","Δεν είναι δυνατή η μετατροπή ποσοστού από ""%1-%2""."
"Cannot retrieve shipping rates","Δεν μπορούμε να ανακτήσουμε τις τιμές αποστολής"
"status","κατάσταση"
"error_message","error_message"
"Empty response","Κενή απόκριση"
"Delivery Confirmation","Επιβεβαίωση παράδοσης"
"Signature Required","Απαίτηση υπογραφής"
"Adult Signature Required","Απαιτείται υπογραφή ενηλίκου"
"Not Required","Δεν απαιτείται"
"None","Κανένα"
"label","ετικέτα"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Field ","Πεδίο "
" is required."," απαιτείται."
"UPS","UPS"
"Access License Number","Πρόσβαση στον Αριθμό της Άδειας"
"Enabled for Checkout","Ενεργοποιημένη για Ολοκλήρωση της Παραγγελίας"
"Allowed Methods","Επιτρεπόμενες Μέθοδοι"
"Packages Request Type","Τύπος αίτησης πακέτων"
"Container","Κοντέινερ"
"Enable Free Shipping Threshold","Ενεργοποίηση Oρίου Δωρεάν Αποστολής"
"Free Shipping Amount Threshold","Όριο Ποσού Δωρεάν Αποστολής"
"Destination Type","Τύπος προορισμού"
"Free Method","Δωρεάν Μέθοδος"
"Gateway URL","Διεύθυνση URL Πύλης"
"Gateway XML URL","Διεύθυνση URL Πύλης XML"
"Calculate Handling Fee","Υπολογισμός Διεκπεραιωτικού Τέλους"
"Handling Applied","Τέλος Διεκπαιραίωσης Εφαρμόστηκε"
"Handling Fee","Διεκπεραιωτικό Τέλος"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Μέγιστο βάρος συσκευασίας (παρακαλούμε συμβουλευτείτε το φορέα αποστολής σας για το μέγιστο Υποστηριζόμενο βάρος ναυτιλίας)"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Ελάχιστο Bάρος Συσκευασίας (Παρακαλούμε να συμβουλευτείτε τον φορέα αποστολής σας για το ελάχιστο υποστηριζόμενο βάρος αποστολής)"
"Origin of the Shipment","Προέλευση της Αποστολής"
"Password","Κωδικός πρόσβασης"
"Pickup Method","Μέθοδος Παραλαβής"
"Sort Order","Σειρά Ταξινόμησης"
"Title","Τίτλος"
"Tracking XML URL","Διεύθυνση παρακολούθησης XML URL"
"UPS Type","Τύπος UPS"
"Live Account","Ζωντανός Λογαριασμός"
"Weight Unit","Μονάδα Βάρους"
"User ID","ID χρήστη"
"Enable Negotiated Rates","Ενεργοποίηση Τιμών Βάσει Διαπραγμάτευσης"
"Shipper Number","Αριθμός αποστολέα"
"Required for negotiated rates; 6-character UPS","Απαιτείται για τιμές βάσει διαπραγμάτευσης' 6-χαρακτήρες UPS"
"Ship to Applicable Countries","Αποστολή στις Ισχύουσες Χώρες"
"Ship to Specific Countries","Αποστολή στις Συγκεκριμένες Χώρες"
"Show Method if Not Applicable","Προβολή Μεθόδου, αν Δεν Είναι Εφαρμόσιμη"
"Displayed Error Message","Προβεβλημένο Μήνυμα Σφάλματος"
"Mode","Λειτουργία"
"This enables or disables SSL verification of the Magento server by UPS.","Αυτό ενεργοποιεί ή απενεργοποιεί τον έλεγχο SSL του διακομιστή Magento από την UPS."
"Debug","Αποσφαλμάτωση"
"Live account","Ζωντανός Λογαριασμός"
"Request Tax-Inclusive Rate","Ζητήστε Φόρο Αποκλειστικής-Φορολογίας"
