"Credit Memos","Note credit"
"Shipping Incl. Tax (%1)","Livrare cu taxe incluse(%1)"
"Shipping Excl. Tax (%1)","Livrare fără taxe incluse (%1)"
"New Credit Memo for Invoice #%1","Notă credit nouă pentru Factura #%1"
"New Credit Memo for Order #%1","Notă credit nouă pentru Comanda #%1"
"Refund Shipping (Incl. Tax)","Restituire livrare (taxe incluse)"
"Refund Shipping (Excl. Tax)","Restituire livrare (fără taxe incluse)"
"Refund Shipping","Restituire livrare"
"Update Qty's","Actualizează cantități"
"Refund","Restituire"
"Refund Offline","Restituire Offline"
"Paid Amount","Suma plătită"
"Refund Amount","Restituire sumă"
"Shipping Amount","Cantitate livrare"
"Shipping Refund","Restituire livrare"
"Order Grand Total","Total dgeneral Comandă"
"Adjustment Refund","Restituire ajustare"
"Adjustment Fee","Taxă ajustare"
"Send Email","Trimite email"
"Are you sure you want to send a credit memo email to customer?","Sunteți sigur că doriți să trimiteți un email cu o notă de credit clientului?"
"Void","Anulare"
"Print","Printare"
"The credit memo email was sent.","Email-ul cu nota de credit a fost trimis."
"The credit memo email wasn't sent.","Email-ul cu nota de credit nu a fost trimis."
"Credit Memo #%1 | %3 | %2 (%4)","Notă credit #%1 | %3 | %2 (%4)"
"Total Refund","Total restituire"
"New Invoice and Shipment for Order #%1","Fatură și livrare nouă pentru Comanda #%1"
"New Invoice for Order #%1","Factură nouă pentru Comanda #%1"
"Submit Invoice and Shipment","Trimite factură și livrare"
"Submit Invoice","Trimite factură"
"Are you sure you want to send an invoice email to customer?","Sunteți sigur că doriți să trimiteți un email de facturare clientului?"
"Credit Memo","Notă credit"
"Capture","Captură"
"The invoice email was sent.","Email-ul de facturare a fost trimis."
"The invoice email wasn't sent.","Email-ul de facturare nu a fost trimis."
"Invoice #%1 | %2 | %4 (%3)","Factura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Bloc de bază nevalid pentru acest bloc."
"Order Statuses","Statusuri Comandă"
"Create New Status","Creați status nou"
"Assign Status to State","Atribuie status la țară"
"Save Status Assignment","Salvați statusul atribuirii."
"Assign Order Status to State","Atribuiți statusul de comandă țării"
"Assignment Information","Informații atribuire"
"Order Status","Statutul comenzii"
"Order State","#ERROR!"
"Use Order Status As Default","Folosiți statusul comenzii ca implicit"
"Visible On Storefront","Vizibil în vitrină"
"Edit Order Status","Editare status comandă"
"Save Status","salvează status"
"New Order Status","Status comandă nou"
"Order Status Information","Informații status comandă"
"Status Code","Cod status"
"Status Label","Etichetă status"
"Store View Specific Labels","Etichete specifice vizualizare magazin"
"Frontend Label","Frontend Label"
"Total Paid","Total plătit"
"Total Refunded","Total restituit"
"Edit","Editați"
"Are you sure you want to send an order email to customer?","Sunteți sigur că doriți să trimiteți un email de comandă clientului?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Aceasta va crea o restituire offline. Pentru a crea o restituire online, deschideți o factură și creațio notă de credit pentru aceasta. Doriți să continuați?"
"Are you sure you want to void the payment?","Sunteți sigur că doriți să anulați plata?"
"Hold","Reținere"
"hold","reținere"
"Unhold","Eliminare reținere"
"unhold","Eliminare reținere"
"Are you sure you want to accept this payment?","Sunteți sigur că doriți să acceptați această plată"
"Accept Payment","Acceptare plată"
"Are you sure you want to deny this payment?","Sunteți sigur că doriți să refuzați această plată?"
"Deny Payment","Refuzare plată"
"Get Payment Update","Primește actualizare plată"
"Invoice and Ship","Facturare și livrare"
"Invoice","Factura"
"Ship","Livrați"
"Reorder","Comandați din nou"
"Order # %1 %2 | %3","Comanda # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Salvare Mesaj Cadou"
" [deleted]"," [deleted]"
"Order Credit Memos","Note credit comandă"
"Credit memo #%1 created","Notă credit #%1 creată"
"Credit memo #%1 comment added","Notă credit #%1 comentariu adăugat"
"Shipment #%1 created","Livrare #%1 creată"
"Shipment #%1 comment added","Livrare #%1 comentariu adăugat"
"Invoice #%1 created","Factură #%1 creată"
"Invoice #%1 comment added","Factură #%1 comentariu adăugat"
"Tracking number %1 for %2 assigned","Număr urmărire comandă %1 for %2 atribuit"
"Comments History","Istoric comentarii"
"Order History","Istoric comenzi"
"Information","Informații"
"Order Information","Informații despre comandă"
"Order Invoices","Facturi comenzi"
"Shipments","Livrări"
"Order Shipments","Livrări comenzi"
"Transactions","Tranzacții"
"Order View","Vizualizare comandă"
"Any","Oricare"
"Specified","Specificat"
"Applies to Any of the Specified Order Statuses except canceled orders","Se aplică la oricare din statusurile de comandă specificate, exceptând comenzile anulate"
"Cart Price Rule","Regulă Preț Coș"
"Yes","Da"
"No","Nu"
"Show Actual Values","Afișare valori actuale"
"New Order RSS","RSS Comandă nou"
"Shopping cart","Shopping cart"
"Subtotal","Subtotal"
"Discount (%1)","Reducere (%1)"
"Discount","Reducere"
"Shipping & Handling","Transport și livrare"
"Grand Total","Total general"
"Back","Înapoi"
"Fetch","Accesare"
"Transaction # %1 | %2","Tranzacție # %1 | %2"
"N/A","N/A"
"Key","Cheie"
"Value","Valoare"
"We found an invalid entity model.","S-a găsit un model de entitate nevalid."
"Order # %1","Comanda # %1"
"Back to My Orders","Înapoi la comenzile mele"
"View Another Order","Vizualizare altă comandă"
"About Your Refund","Despre restituirea dumneavoastră"
"My Orders","Comenzile mele"
"You have placed no orders.","Nu aveți nicio comandă"
"Subscribe to Order Status","Abonare la Status Comandă"
"About Your Invoice","Despre factura dumneavoastră"
"Print Order # %1","Printare comandă # %1"
"Shipping & Handling (%1)","Livrare și manipulare(%1)"
"Grand Total to be Charged","Total general de încasat"
"Unassign","Anulare atribuire"
"You sent the message.","Ați trimis mesajul."
"Sales","Vânzări"
"Invoice capturing error","Eroare captare factură."
"This order no longer exists.","Această comandă nu mai există."
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"We cannot add order history.","Nu se poate adăuga istoricul comenzii."
"You updated the order address.","Ați actualizat adresele de comandă."
"We can't update the order address right now.","Adresa de comandă nu poate fi actualizată momentan."
"You have not canceled the item.","Nu ați anulat articolul."
"You canceled the order.","Ați anulat articolul."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Codul de cupon ""%1"" nu a fost aplicat. Este selectată opțiunea Nu aplicați reducere pentru aceste articole."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The coupon code has been accepted.","Codul de cupon a fost acceptat."
"The coupon code has been removed.","The coupon code has been removed."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"New Order","Comandă nouă"
"Error while processing order.","Error while processing order."
"You created the order.","Ați salvat comanda"
"Order saving error: %1","Eroare salvare comandă: %1"
"Cannot add new comment.","Nu se poate adăuga un comentariu nou."
"The credit memo has been canceled.","Nota de credit a fost anulată."
"Credit memo has not been canceled.","Nota de credit nu a fost anulată."
"New Memo for #%1","Notă nouă pentru #%1"
"New Memo","Notă nouă"
"The credit memo's total must be positive.","Totalul notelor de credit trebuie să aibă valoare pozitivă."
"Cannot create online refund for Refund to Store Credit.","Nu se poate crea restituire online pentru restituirea la credit de magazin"
"You created the credit memo.","Ați creat nota de credit."
"We can't save the credit memo right now.","Această notă de credit nu poate fi salvată momentan."
"We can't update the item's quantity right now.","Cantitatea articolului nu poate fi actualizată momentan."
"View Memo for #%1","Vizualizare notă pentru #%1"
"View Memo","Vizualizare notă"
"You voided the credit memo.","Ați anulat nota de credit."
"We can't void the credit memo.","Nota de credit nu poate fi anulată."
"The order no longer exists.","Comanda nu mai există."
"We can't create credit memo for the order.","Nu se poate crea notă de credit pentru comandă."
"This creditmemo no longer exists.","This creditmemo no longer exists."
"Edit Order","Editare comandă"
"You sent the order email.","Ați trimis email-ul de comandă."
"We can't send the email order right now.","Nu puteți trimite email-ul de comandă momentan."
"You have not put the order on hold.","Nu ați pus comanda în așteptare."
"You put the order on hold.","Ați pus comanda în așteptare."
"You canceled the invoice.","Ați anulat factura."
"Invoice canceling error","Eroare anulare factură"
"The invoice has been captured.","Factura a fost captată."
"The order does not allow an invoice to be created.","Comanda nu permite crearea unei facturi."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"New Invoice","Factură nouă."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"We can't send the invoice email right now.","Nu se poate trimite email-ul de facturare momentan."
"We can't send the shipment right now.","Nu se poate face livrarea în acest moment."
"You created the invoice and shipment.","Ați creat factura și livrarea."
"The invoice has been created.","Factura a fost creată."
"Cannot update item quantity.","Nu se poate actualiza cantitatea articolului."
"The invoice has been voided.","Factura a fost anulată."
"Invoice voiding error","Eroare anulare factură"
"%1 order(s) cannot be canceled.","Comenzile %1 nu pot fi anulate."
"You cannot cancel the order(s).","Nu puteți anula comenzile."
"We canceled %1 order(s).","S-au anulat %1 comenzile."
"%1 order(s) were not put on hold.","%1 comenzi au fost puse în așteptare."
"No order(s) were put on hold.","Nici o comandă nu a fost pusă în așteptare."
"You have put %1 order(s) on hold.","Ați pus %1 comenzi în așteptare."
"%1 order(s) were not released from on hold status.","%1 comenzi nu au fost deblocate din statusul în așteptare."
"No order(s) were released from on hold status.","Nici o comandă nu a fost deblocată din statusul în așteptare."
"%1 order(s) have been released from on hold status.","%1 comenzi au fost deblocate din statusul în așteptare."
"There are no printable documents related to selected orders.","Nu există nici un document printabil asociat cu comenzile selectate."
"The payment has been accepted.","Plata a fost acceptată."
"The payment has been denied.","Palata a fost refuzată."
"Transaction has been approved.","Tranzacția a fost aprobată."
"Transaction has been voided/declined.","tranzacția a fost anulată/refuzată."
"There is no update for the transaction.","Nu există nici o actualizare pentru tranzacție."
"Action ""%1"" is not supported.","Action ""%1"" is not supported."
"We can't update the payment right now.","Nu se poate actualiza plata în acest moment."
"You assigned the order status.","Ați atribuit statusul comenzii."
"Something went wrong while assigning the order status.","A avut loc o eroare la atribuirea statusului comenzii."
"We can't find this order status.","Nu se poate găsi acest status de comandă."
"Create New Order Status","Creare status comandă nou."
"We found another order status with the same order status code.","S-a găsit un alt status de comandă cu același cod de status de comandă."
"You saved the order status.","Ați salvat statusul comenzii."
"We can't add the order status right now.","Nu se poate adăuga statusul comenzii în acest moment."
"You have unassigned the order status.","Ați anulat statusul comenzii."
"Something went wrong while unassigning the order.","A avut loc o eroare la anularea statusului comenzii."
"Can't unhold order.","Comanda nu poate fi pusă în așteptare."
"You released the order from holding status.","Ați deblocat comanda din statusul în așteptare."
"The order was not on hold.","Comanda nu a fost în așteptare."
"Exception occurred during order load","Excepția a avut loc în timpul încărcării comenzii."
"Something went wrong while saving the gift message.","A avut loc o eroare la salvarea mesajului-cadou."
"You saved the gift card message.","Ați salvat mesajul cardului-cadou."
"The payment has been voided.","Plata a fost anulată."
"We can't void the payment right now.","Plata nu poate fi anulată momentan."
"Please correct the transaction ID and try again.","Corectați Id-ul tranzacției și încercați din nou."
"The transaction details have been updated.","Detaliile tranzacției au fost actualizate."
"We can't update the transaction details.","Detaliile tranzacției nu pot fi actualizate."
"Orders and Returns","Comenzi și Retururi"
"Home","Acasă"
"Go to Home Page","Mergeți la pagina principală"
"You entered incorrect data. Please try again.","Ați introdus informații incorecte. încercați din nou."
"We can't find this wish list.","Nu se poate găsi această listă de dorințe."
"We could not add a product to cart by the ID ""%1"".","Nu se poate adăuga un produs la coș cu ID-ul ""%1""."
"There is an error in one of the option rows.","A avut loc o eroare într-unul din rândurile de opțiuni."
"Shipping Address: ","Shipping Address: "
"Billing Address: ","Billing Address: "
"Please specify order items.","Specificați articolele comenzii."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"This payment method is not available.","Această modalitate de plată nu este disponibilă."
"Validation is failed.","Validarea a eșuat."
"You did not email your customer. Please check your email settings.","Nu ați trimis email clientului dumneavoastră. Verificați setările email-ului."
"-- Please Select --","-- Selectați --"
"Path ""%1"" is not part of allowed directory ""%2""","Calea ""%1"" nu face parte din registrul acceptat ""%2"""
"Identifying Fields required","Câmpuri de identificare sunt necesare"
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","Acțiunea de punere în așteptare nu este disponibilă."
"You cannot remove the hold.","Nu puteți elimina așteptarea."
"We cannot cancel this order.","Nu se poate anula comanda."
"Guest","Vizitator"
"Please enter the first name.","Introduceți prenumele."
"Please enter the last name.","Introduceți numele"
"Please enter the street.","Introduceți strada."
"Please enter the city.","Introduceți orașul"
"Please enter the phone number.","Introduceți numărul de telefon."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","Introduceți codul poștal."
"Please enter the country.","Introduceți țara."
"Please enter the state/province.","Introduceți statul / zona."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"Pending","în așteptare"
"Refunded","Restituit"
"Canceled","Anulat"
"Unknown State","Stat necunoscut"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","S-a găsit o cantitate nevalidă pentru restituirea articolului ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
"Maximum shipping amount allowed to refund is: %1","Suma maximă de livrare acceptată pentru restituire este: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","Suma maximă disponibilă pentru retituire este de %1."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"This order already has associated customer account","Această comandă are deja asociat un cont de client."
"Paid","Plătit"
"We cannot register an existing invoice","Nu se pate înregistra o factură existentă."
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"Unknown Status","Status necunoscut"
"Ordered","Comandat"
"Shipped","Livrat"
"Invoiced","Facturat"
"Backordered","Comandă în așteptare"
"Returned","Restituit"
"Partial","Parțial"
"Mixed","Mixt"
"Registered a Void notification.","S-a înregistrat o notificare anulată."
"If the invoice was created offline, try creating an offline credit memo.","Dacă factura a fost creată offline, încercați crearea unei note de credit offline."
"We refunded %1 online.","S-a restituit %1 online."
"We refunded %1 offline.","S-a restituit %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Restituit"". Restituire efectuată de către comerciant. Notificare înregistrată despre suma restituită de %1. ID tranzacție: ""%2"". Nota de credit nu a fost creată. Creați o notă de credit offline."
"The credit memo has been created automatically.","Nota de credit a fost creată în mod automat."
"Registered notification about refunded amount of %1.","Notificare înregistrată despre suma restituită de %1."
"Canceled order online","Comandă anulată online"
"Canceled order offline","Comandă anulată offline"
"Approved the payment online.","Plată aprobată online."
"There is no need to approve this payment.","Nu este necesară aprobarea acestei plăți."
"Denied the payment online","Plata online a fost refuzată"
"Registered update about approved payment.","Actualizare înregistrată despre plata aprobată."
"Registered update about denied payment.","Actualizare înregistrată despre plata refuzată."
"There is no update for the payment.","Nu există nici o actualizare pentru plată."
"Voided authorization.","Autorizație anulată."
"Amount: %1.","Suma: %1."
"Transaction ID: ""%1""","ID tranzacție: ""%1"""
"The payment method you requested is not available.","Modalitatea de plată solicitată nu este disponibilă."
"The payment disallows storing objects.","Plata interzice stocarea obiectelor."
"The transaction ""%1"" cannot be captured yet.","Tranzacția ""%1"" nu poate fi captată încă."
"The parent transaction ID must have a transaction ID.","ID-ul de tranzacție principal trebuie să aibă un ID de tranzacție."
"Payment transactions disallow storing objects.","Tranzacțiile de plată interzic stocarea obiectelor."
"The transaction ""%1"" (%2) is already closed.","Tranzacția ""%1"" (%2) este deja încheiată."
"Set order for existing transactions not allowed","Nu este permisă setarea unei comenzi pentru tranzacțiile existente."
"At minimum, you need to set a payment ID.","Trebuie să setați cel putin un ID de plată."
"Order","Comanda"
"Authorization","Autorizație"
"We found an unsupported transaction type ""%1"".","S-a găsit un tip de tranzacție neacceptat ""%1""."
"Please set a proper payment and order id.","Setați un ID de plată și comandă potrivit."
"Please enter a Transaction ID.","Introduceți un ID de tranzacție."
"You can't do this without a transaction object.","Nu putem face această operațiune fără un obiect de tranzacție."
"Order # ","Comanda #"
"Order Date: ","Data comenzii:"
"Sold to:","Vândut către:"
"Ship to:","Livrare la:"
"Payment Method:","Modalitate de plată:"
"Shipping Method:","Modalitate de livrare:"
"Total Shipping Charges","Total taxe de livrare"
"Title","Titlu"
"Number","Număr"
"We found an invalid renderer model.","S-a găsit un model de redare nevalid."
"Please define the PDF object before using.","Definiți obiectul PDF înainte de utilizare."
"We don't recognize the draw line data. Please define the ""lines"" array.","Informațiile draw line nu sunt recunoscute. Definiți matricea ""linii""."
"Products","Produse"
"Total (ex)","Total (ex)"
"Qty","Cantitate"
"Tax","Taxe"
"Total (inc)","Total (inc)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Factura # "
"The order object is not specified.","Obiectul comenzii nu este specificat."
"The source object is not specified.","Obiectul sursă nu este specificat."
"An item object is not specified.","Un obiect de articol nu este specificat."
"A PDF object is not specified.","Un obiect PDF nu este specificat."
"A PDF page object is not specified.","Un obiect pagină PDF nu este specificat."
"Excl. Tax","Cără taxe incluse"
"Incl. Tax","Includere taxe"
"Packing Slip # ","Packing Slip # "
"title","titlu"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Un model total PDF %1 trebuie să existe sau să se extindă la \Magento\Vânzări\Model\Comandă\Pdf\Total\TotalImplicit."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Nu se poate înregistra o livrare deja existentă."
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","You can't create a shipment without products."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","Introduceți un număr de urmărire al comenzii."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Un model total ar trebui extins de la \Magento\Vânzări\Model\Comandă\Total\TotalAbstract."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"Cannot find order number ""%1"" in store ""%2""","Cannot find order number ""%1"" in store ""%2"""
"Reorders are not allowed.","Reorders are not allowed."
"Could not find a product with ID ""%1""","Could not find a product with ID ""%1"""
"Could not add the product with SKU ""%1"" to the shopping cart: %2","Could not add the product with SKU ""%1"" to the shopping cart: %2"
"Could not add the product with SKU ""%1"" to the shopping cart","Could not add the product with SKU ""%1"" to the shopping cart"
"We cannot determine the field name.","Nu se poate stabili numele câmpului."
"City","Localitate"
"Company","Companie"
"Country","Țara"
"Email","Email"
"First Name","Prenume"
"Last Name","Nume de familie"
"State/Province","Stat/zonă"
"Street Address","Adresa"
"Phone Number","Număr de telefon"
"Zip/Postal Code","Cod poștal"
"We can't save the address:\n%1","We can't save the address:\n%1"
"Cannot save comment:\n%1","Cannot save comment:\n%1"
"We don't have enough information to save the parent transaction ID.","Nu există informații suficiente pentru a salva ID-ul de tranzacție de principal."
"We cannot create an empty shipment.","Nu se poate crea o livrare nulă."
"Cannot save track:\n%1","Cannot save track:\n%1"
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"New Orders","Comenzi"
"Order #%1 created at %2","Comanda #%1 creată la %2"
"Details for %1 #%2","Detalii pentru %1 #%2"
"Notified Date: %1","Dată notificare: %1"
"Comment: %1<br/>","Comentariu: %1<br/>"
"Current Status: %1<br/>","Status curent: %1<br/>"
"Total: %1<br/>","Total: %1<br/>"
"Order # %1 Notification(s)","Comanda # %1 Notificări"
"You can not cancel Credit Memo","Nu puteți anula o Notă de Credit"
"We cannot register an existing credit memo.","Nu se poate înregistra o notă de credit deja existentă."
"We found an invalid quantity to invoice item ""%1"".","S-a găsit o cantitate nevalidă pentru articolul comandat ""%1""."
"The Order State ""%1"" must not be set manually.","Statul pentru comandă ""%1"" trebuie setat manual."
"""Shipment Document Validation Error(s):\n"" .","""Shipment Document Validation Error(s):\n"" ."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","Identificator solicitare TVA"
"VAT Request Date","Dată solicitare TVA"
"Pending Payment","Plată în așteptare"
"Processing","Se procesează"
"On Hold","în așteptare"
"Complete","Terminat."
"Closed","încheiat"
"Suspected Fraud","Suspiciune de fraudă"
"Payment Review","Revizuire plată"
"New","Nou"
"This product is out of stock.","Acest produs este epuizat din stoc."
"Product doesn't exist","Product doesn't exist"
"test message","mesaj de test"
"Email has not been sent","Email-ul nu a fost trimis"
"Authorized amount of %1","Sumă autorizată de %1"
"Sample message.","Sample message."
"View","Vizualizează"
"Group was removed","Grupul a fost șters"
"Update Totals","Update Totals"
"Changing address information will not recalculate shipping, tax or other order amount.","Modificare informațiilor adresei nu va determina recalcularea livrării, taxelor sau cantității comenzii."
"Comment Text","Text comentariu"
"Notify Customer by Email","Notificare client prin email"
"Visible on Storefront","Vizibil în vitrină"
"Customer","Utilizator"
"Notified","Notificat"
"Not Notified","Nu a fost notificat"
"No Payment Methods","Nici o modaliatate de plată"
"Order Comments","Comentarii comandă"
"Apply Coupon Code","Aplicare cod cupon"
"Apply","Folosește"
"Remove Coupon Code","Eliminare cod cupon"
"Remove","Elimină"
"Address Information","Informații despre adresă"
"Payment &amp; Shipping Information","Plată &amp; Informații livrare"
"Order Total","Total comandă"
"Order Currency:","Monedă comandă:"
"Same As Billing Address","Aceeași ca adresa de facturare"
"Select from existing customer addresses:","Selectați din adresele de clienți existente:"
"Add New Address","Adăugați o adresă nouă"
"Add to address book","Add to address book"
"You don't need to select a shipping address.","Nu este nevoie să selectați o adresă de livrare."
"Gift Message for the Entire Order","Mesaj-cadou pentru înreaga comandă"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Lăsați căsuța necompletată dacă nu doriți să lăsați un mesaj-cadou pentru întreaga comandă."
