"Customer Address Attributes","കസ്റ്റമർ അഡ്രസ് ആട്രിബ്യൂട്ടുകൾ"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","ഉപഭോക്തൃ ഗ്രിഡിലെ നിര ഓപ്ഷനുകളുടെ പട്ടികയിലേക്ക് ഈ ആട്രിബ്യൂട്ട് ചേർക്കാൻ ""അതെ"" തിരഞ്ഞെടുക്കുക."
"Use in Filter Options","ഫിൽട്ടർ ഓപ്ഷനുകളിൽ ഉപയോഗിക്കുക"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","ഉപഭോക്തൃ ഗ്രിഡിലെ ഫിൽ‌റ്റർ‌ ഓപ്‌ഷനുകളുടെ പട്ടികയിലേക്ക് ഈ ആട്രിബ്യൂട്ട് ചേർക്കുന്നതിന് ""അതെ"" തിരഞ്ഞെടുക്കുക."
"Use in Search Options","തിരയൽ ഓപ്ഷനുകളിൽ ഉപയോഗിക്കുക"
"Use in Search Option","തിരയൽ ഓപ്ഷനുകളിൽ ഉപയോഗിക്കുക"
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","ഉപഭോക്തൃ ഗ്രിഡിലെ തിരയൽ ഓപ്ഷനുകളുടെ പട്ടികയിലേക്ക് ഈ ആട്രിബ്യൂട്ട് ചേർക്കാൻ ""അതെ"" തിരഞ്ഞെടുക്കുക."
"Storefront Properties","സ്റ്റോർ‌ഫ്രണ്ട് പ്രോപ്പർട്ടികൾ"
"Show on Storefront","സ്റ്റോർ‌ഫ്രണ്ടിൽ കാണിക്കുക"
"Sort Order","ക്രമം"
"Forms to Use In","ഉപയോഗിക്കാനുള്ള ഫോമുകൾ"
"Properties","പ്രോപ്പർട്ടികൾ"
"Manage Label / Options","ലേബൽ / ഓപ്ഷനുകൾ നിയന്ത്രിക്കുക"
"Attribute Information","ആട്രിബ്യൂട്ട് വിവരങ്ങൾ"
"Visible to Customer","ഉപഭോക്താവിന് ദൃശ്യമാണ്"
"No","ഇല്ല"
"Yes","അതെ"
"Customer Attributes","കസ്റ്റമർ ആട്രിബ്യൂട്ടുകൾ"
"Edit Customer Attribute ""%1""","ഉപഭോക്തൃ ആട്രിബ്യൂട്ട് ""%1"" എഡിറ്റുചെയ്യുക"
"New Customer Attribute","പുതിയ ഉപഭോക്തൃ ആട്രിബ്യൂട്ട്"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","ഇത് ആന്തരികമായി ഉപയോഗിക്കുന്നു. നിങ്ങൾ സ്‌പെയ്‌സുകളോ %1 ചിഹ്നങ്ങളിൽ കൂടുതലോ ഉപയോഗിക്കുന്നില്ലെന്ന് ഉറപ്പാക്കുക."
"Manage Form Types","ഫോം ടൈപ്സ് നിയന്ത്രിക്കുക"
"New Form Type","പുതിയ ഫോം ടൈപ്പ്"
"Edit Form Type ""%1""","ഫോം ടൈപ്പ് ""%1"" എഡിറ്റുചെയ്യുക"
"General Information","പൊതുവിവരം"
"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"Based On","അടിസ്ഥാനപെടുത്തി"
"Form Label","ഫോം ലേബൽ"
"All Themes","എല്ലാ തീമുകളും"
"For Theme","തീമിനായി"
"Store View","സ്റ്റോർ വ്യൂ"
"Form Code","Form Code"
"Form Title","Form Title"
"General","General"
"New Fieldset","New Fieldset"
"Save","Save"
"Remove","Remove"
"Cancel","Cancel"
"Attributes","Attributes"
"Form Type Information","Form Type Information"
"Type Code","Type Code"
"Label","Label"
"Theme","Theme"
"System","System"
"Customer","Customer"
"Manage Customer Address Attributes","Manage Customer Address Attributes"
"You cannot delete this attribute.","You cannot delete this attribute."
"You deleted the customer address attribute.","You deleted the customer address attribute."
"We can't delete the customer address attribute right now.","We can't delete the customer address attribute right now."
"This attribute no longer exists.","This attribute no longer exists."
"You cannot edit this attribute.","You cannot edit this attribute."
"Edit Customer Address Attribute","Edit Customer Address Attribute"
"You saved the customer address attribute.","You saved the customer address attribute."
"We can't save the customer address attribute right now.","We can't save the customer address attribute right now."
"An attribute with this code already exists.","An attribute with this code already exists."
"Manage Customer Attributes","Manage Customer Attributes"
"You deleted the customer attribute.","You deleted the customer attribute."
"The attribute no longer exists.","The attribute no longer exists."
"Edit Customer Attribute","Edit Customer Attribute"
"You saved the customer attribute.","You saved the customer attribute."
"We can't save the form type right now.","We can't save the form type right now."
"This system form type cannot be deleted.","This system form type cannot be deleted."
"The form type has been deleted.","The form type has been deleted."
"We can't delete the form type right now.","We can't delete the form type right now."
"Customer Address Registration","Customer Address Registration"
"Customer Account Address","Customer Account Address"
"Customer Registration","Customer Registration"
"Customer Account Edit","Customer Account Edit"
"Admin Checkout","Admin Checkout"
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Length Only","Length Only"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","Use Default Value"
"Fieldset Properties","Fieldset Properties"
"Fieldset Title","Fieldset Title"
"Fieldset Code","Fieldset Code"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","This fieldset is not empty!"
"Choose Website:","Choose Website:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"* Required Fields","* Required Fields"
"Contact Information","Contact Information"
"Address","Address"
"Street Address","Street Address"
"Street Address %1","Street Address %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","This is your default billing address."
"Use as my default billing address","Use as my default billing address"
"This is your default shipping address.","This is your default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"Account Information","Account Information"
"Change Email","Change Email"
"Change Password","Change Password"
"Change Email and Password","Change Email and Password"
"Email","Email"
"Current Password","Current Password"
"New Password","New Password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
"Company","Company"
"Phone Number","Phone Number"
"Sign-in Information","Sign-in Information"
"Password","Password"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
"Back","Back"
"Customer Address","Customer Address"
"Default Values","Default Values"
"Fax","Fax"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
