"Customer Address Attributes","Vásárlói címjellemzők"
"Manage Form Types","Űrlaptípusok kezelése"
"New Form Type","Új űrlaptípus"
"Edit Form Type ""%1""","Űrlaptípus szerkesztése: %1"
"General Information","Általános információ"
"-- Please Select --","-- Kérem válasszon --"
"Based On","Ez alapján"
"Form Label","Űrlapcímke"
"All Themes","Minden téma"
"For Theme","Témához"
"Store View","Bolt nézet"
"Form Code","Űrlapkód"
"Form Title","Űrlap elnevezése"
"General","Általános"
"New Fieldset","Új mezőcsoport"
"Save","Mentés"
"Remove","Eltávolítás"
"Cancel","Mégse"
"Attributes","Jellemzők"
"Form Type Information","Űrlaptípus információi"
"Type Code","Típuskód"
"Label","Címke"
"Theme","Téma"
"System","Rendszer"
"Customer","Vásárló"
"Manage Customer Address Attributes","Vásárlói címjellemzők kezelése"
"You cannot delete this attribute.","Nem törölheti e jellemzőt."
"You deleted the customer address attribute.","Törölte a vásárlói címjellemzőt."
"We can't delete the customer address attribute right now.","We can't delete the customer address attribute right now."
"This attribute no longer exists.","E jellemző már nem létezik."
"You cannot edit this attribute.","Nem módosíthatja e jellemzőt."
"Edit Customer Address Attribute","Vásárlói címjellemző szerkesztése"
"You saved the customer address attribute.","Elmentette a vásárlói címjellemzőt."
"We can't save the customer address attribute right now.","We can't save the customer address attribute right now."
"An attribute with this code already exists.","Már van egy jellemző ezzel a kóddal."
"Manage Customer Attributes","Vásárlójellemzők kezelése"
"You deleted the customer attribute.","Törölte a vásárlójellemzőt."
"The attribute no longer exists.","A jellemző már nem létezik."
"Edit Customer Attribute","Vásárlójellemző szerkesztése"
"You saved the customer attribute.","Elmentette a vásárlójellemzőt."
"We can't save the form type right now.","Jelenleg nem tudjuk menteni az űrlaptípust."
"This system form type cannot be deleted.","E rendszerűrlap-típus nem törölhető."
"The form type has been deleted.","Az űrlaptípus törlésre került."
"We can't delete the form type right now.","We can't delete the form type right now."
"Customer Address Registration","Vásárlói cím megadása"
"Customer Account Address","Vásárlói fiók címe"
"Customer Registration","Vásárlói regisztráció"
"Customer Account Edit","Vásárlói fiók szerkesztése"
"Admin Checkout","Admin ellenőrzés"
"Use helper with defined EAV entity.","Használja a segítőt a megadott EAV entitással."
"Length Only","Csak hossz"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","Alapértelmezett érték használata"
"Fieldset Properties","Mezőcsoport tulajdonságai"
"Fieldset Title","Mezőcsoport megnevezése"
"Fieldset Code","Mezőcsoport kódja"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","E mezőcsoport nem üres!"
"Choose Website:","Válasszon honlapot:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"* Required Fields","* kitöltése kötelező"
"Contact Information","Elérhetőségi adatok"
"Address","Cím"
"Street Address","Utca, házszám"
"Street Address %1","Utca, házszám %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","Kérjük válassza ki a régiót, államot vagy megyét."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","Az Ön alapértelmezett számlázási címe."
"Use as my default billing address","Ez legyen az alapértelmezett számlázási címem"
"This is your default shipping address.","Az Ön alapértelmezett szállítási címe."
"Use as my default shipping address","Alapértelmezett szállítási cím használata"
"Save Address","Cím mentése"
"Go back","Vissza"
"Account Information","Fiókadatok"
"Change Email","E-mail cím megváltoztatása"
"Change Password","Jelszócsere"
"Change Email and Password","E-mail cím és jelszó megváltoztatása"
"Email","E-mail"
"Current Password","Jelenlegi jelszó"
"New Password","Új jelszó"
"Password Strength","Jelszó erőssége"
"No Password","Nincs jelszó"
"Confirm New Password","Új jelszó megerősítése"
"Personal Information","Személyes adatok"
"Sign Up for Newsletter","Iratkozzon fel hírlevelünkre"
"Address Information","Címadatok"
"Company","Cég"
"Phone Number","Telefonszám"
"Sign-in Information","Bejelentkezési adatok"
"Password","Jelszó"
"Confirm Password","Jelszó megerősítése"
"Create an Account","Felhasználó létrehozása"
"Back","Vissza"
"Customer Address","Vásárló címe"
"Default Values","Alapértelmezett értékek"
"Fax","Faxszám"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
