"Delete Current Hierarchy","מחיקת את ההיררכייה הנוכחית"
"CMS Page Hierarchy","היררכיית עמודי CMS"
"Enable Hierarchy Functionality","הפעלת פונקציונליות היררכיה"
"Enable Hierarchy Metadata","הפעל מטא-נתונים היררכיה"
"Default Layout for Hierarchy Menu","סידור ברירת המחדל עבור תפריט היררכיה"
"CMS Hierarchy","ההיררכיה CMS"
"CMS Hierarchy Node Link","קישור קשר הירארכיה CMS"
"Link to Specified CMS Hierarchy Node","לינק לקשר ההיררכייה CMS"
"Template","תבנית"
"CMS Page Link Block Template","קישור לבלוק של של עמודי תוכן"
"CMS Page Link Inline Template","תבנית קישור שורתי של דפי תוכן"
"All Store Views","כל תצוגות החנויות"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
