"Back","Обратно"
"%1 does not contain field 'file'","%1 не съдържа полето ""файл"""
"Backend model is not specified for %1","За %1 не е зададен бекенда модел"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","%templateName съдържа неправилна конфигурация. Шаблонът има препратка към себе си. Премахнете или Променете препратката."
"Can not save empty config","Не може да запази празна конфигурация"
"label","етикет"
"-- Please Select --","-- Моля изберете --"
"The start date can't follow the end date.","Началната дата не може да следват на крайната дата."
"The date range for this design change overlaps another design change for the specified store.","Диапазон от дати за тази промяна в проекта припокрива друга промяна в проекта за указаното хранилище."
"Copy","Копирай"
"Theme id should be set","ИД на тема трябва да се определи"
"Circular-reference in theme inheritance detected for ""%1""","Кръгова-препратка в тема наследяване, открити за ""%1"""
"The CSS file must be less than %1M.","CSS файла трябва да бъде по-малко от %1M."
"The JS file must be less than %1M.","JS файл трябва да бъде по-малко от %1M."
"We can't upload the file right now.","Не можете да качите файла точно сега."
"Use only standard alphanumeric, dashes and underscores.","Използвайте само стандартни буквено-цифрови, тирета и долни черти."
"We found a directory with the same name.","Намерихме директория със същото име."
"We cannot find a directory with this name.","Не може да намери директория с това име."
"We can't delete root directory %1 right now.","Не може да изтриете главната директория %1 точно сега."
"Theme isn't deletable.","Темата не е изтриваема."
"Exception message","Съобщение на изключение"
"localized exception","локализирано изключение"
"Message","Съобщение"
"Test Label","Етикет тест"
"Phrase","Фраза"
"testMessage","текстовоСъобщение"
"Edit","Редактирай"
"We found no files.","Не намерихме файлове."
"Browse Files","Преглед файлове"
"Scope:","Обхват:"
"Remove","Премахване"
"Help Us Keep Magento Healthy","Помогнете ни да запазим Magento здравословни"
"Report All Bugs","Докладвай всички бъгове"
"Welcome, %1!","Добре дошъл, %1!"
"Toggle Nav","Превключване Nav"
"JavaScript seems to be disabled in your browser.","JavaScript изглежда да бъде прекратен във вашия браузър."
"For the best experience on our site, be sure to turn on Javascript in your browser.","За най-добър опит на нашия сайт не забравяйте да включите Javascript във вашия браузър."
"Local Storage seems to be disabled in your browser.","Местното съхранение е прекъсното във вашия браузър."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","За най-добър опит на нашия сайт не забравяйте да включите местни съхранение във вашия браузър."
"This is demo store. No orders will be fulfilled.","Това е демо магазин. Направените поръчки няма да бъдат бъдат изпълнени."
"Items %1 to %2 of %3 total","Артикули %1 до %2 от %3 общо"
"%1 Item","%1 Артикул"
"%1 Item(s)","%1 елемент(и)"
"Page","Страница"
"Previous","Назад"
"You're currently reading page","В момента четете страница"
"Next","Напред"
"Show","Покажи"
"per page","на страница"
"About the calendar","Относно календара"
"Close","Затвори"
"Go Today","За днес"
"WK","Седмица"
"Time","Време"
"Hour","Час"
"Minute","Минута"
"%name,","%name,"
"Welcome to %store_name.","Добре дошли в %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","За да влезете в нашият сайт, използвайте тези идентификационни данни при приключване на поръчката или на страницата <a href=""%customer_url"">Моят профил</a>:"
"Email:","Имейл:"
"Password:","Парола:"
"Password you set when creating account","Парола, която сте задали при регистрация"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забравили сте паролата си? Щракнете <a href=""%reset_url""> тук</a> за да генерирате нова парола."
"When you sign in to your account, you will be able to:","Когато влезете профила си, ще можете да:"
"Proceed through checkout faster","Продължете по-бързо през финализиране на поръчката"
"Check the status of orders","Проверка на статуса на поръчките"
"View past orders","Покажи последните поръчки"
"Store alternative addresses (for shipping to multiple family members and friends)","Съхраняване на допълнителни адреси (за доставка на няколко членове на семейството и приятели)"
"We could not detect a size.","Не успяхме да открием размер."
"We don't recognize this file extension.","Не можем да разпознаем това файлово разширение."
"Home","Основна страница"
"Go to Home Page","Отиди на основата страница"
"Empty","Празен"
"1 column","1 колона"
"Configuration","Конфигурация"
"Default welcome msg!","Съобщение за Добре дошли!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Дизайн за конфигуриране тип мрежа"
"Rebuild design config grid index","Възстанови дизайн довереник мрежа индекс"
"Admin empty","Администратор празен"
"Admin 1column","Администратор 1колона"
"Theme Information","Тема информация"
"Other Settings","Други настройки"
"HTML Head","HTML глава"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Разрешени типове файлове: ico, png, gif, jpg, jpeg, apng, svg. Не всички браузъри поддържат всички тези формати!"
"Favicon Icon","Икона Favicon"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Default Meta Description"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","Това ще бъде включено преди главата за затваряне на маркер в страницата HTML."
"Scripts and Style Sheets","Скриптове и стилове"
"Display Demo Store Notice","Дисплей на демо магазин предизвестие"
"Header","Хедър"
"Allowed file types: png, gif, jpg, jpeg.","Разрешени типове файлове: png, gif, jpg, jpeg."
"Logo Image","Лого изображение"
"Logo Attribute Width","Лого атрибут ширина"
"Logo Attribute Height","Лого атрибут височина"
"Welcome Text","Добре дошли текст"
"Logo Image Alt","Лого изображение Alt"
"Footer","Футър"
"This will be displayed just before the body closing tag.","Това ще бъде показано точно преди маркера за затваряне."
"Miscellaneous HTML","Разни HTML"
"Copyright","Авторски права"
"Default Robots","По подразбиране роботи"
"Edit custom instruction of robots.txt File","Редактиране на потребителска инструкция на robots.txt файл"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Това действие ще изтрие вашите потребителски инструкции и проучване robots.txt файл към настройките по подразбиране на системата."
"Reset To Defaults","Reset To Defaults"
"Website","Уебсайт"
"Store","Магазин"
"Store View","Изглед на магазина"
"Skip to Content","Прескачане към съдържанието"
"Menu","Меню"
"Account","Профил"
"Settings","Настройки"
"2 columns with left bar","2 колони с ляв бар"
"2 columns with right bar","2 колони с десен бар"
"3 columns","3 колони"
"Exception does not contain field '%1'","Изключение не съдържа поле ""%1"""
"exception","изключение"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Разрешени типове файлове: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Не всички браузъри поддържат всички тези формати!"
"Default Title","Заглавие по подразбиране"
"Title Prefix","Префикс на заглавие"
"Title Suffix","Заглавие суфикс"
"Default Description","По подразбиране описание"
"Default Keywords","По подразбиране ключови думи"
"Miscellaneous Scripts","Разни скриптове"
"Search Engine Robots","Търсачка роботи"
"Reset to Defaults","Върни настройките по подразбиране"
"Logo Image Width","Ширина на изображението на лого"
"Logo Image Height","Лого изображение височина"
"This will be displayed just before body closing tag.","Това ще бъде показано точно преди маркера за затваряне."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2016 Magento. Всички права запазени."
"Wrong request.","Погрешно искане."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. Всички права запазени."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. Всички права запазени."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Разрешени типове файлове: ico, png, gif, jpg, jpeg, apng, svg. Не всички браузъри поддържат всички тези формати!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Разрешени типове файлове: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. Всички права запазени."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Страницата не е намерена."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Преглед"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","ИД"
