"Static Blocks","Bloques estáticos"
"We cannot delete directory %1.","No podemos borrar directorio %1."
"We can't upload the file right now.","No se puede cargar el archivo en estos momentos."
"We can't delete root directory %1 right now.","No se puede eliminar el directorio raíz %1 en estos momentos."
"Privacy and Cookie Policy","Política de privacidad y cookies"
"Error message","Mensaje de error"
"LocalizedException","Excepción localizada"
"RuntimeException","RuntimeException"
"Exception","Excepción"
"Could not create a directory.","No se puede crear el directorio."
"Edit","Editar"
"Delete","Eliminar"
"Delete %1","Eliminar %1"
"Are you sure you want to delete a %1 record?","¿Está seguro que desea eliminar un registro de %1?"
"All Store Views","Todas las vistas de tienda"
"View","Ver"
"px.","px."
"No files found","No se encontraron archivos"
"Browse Files...","Examinar archivos..."
"Collapse All","Contraer todo"
"Expand All","Abrir todos"
"We could not detect a size.","No hemos podido detectar un tamaño."
"Media Gallery","Galería de medios"
"Content Management","Gestión de contenidos"
"CMS Home Page","Página de inicio de CMS"
"CMS No Route Page","CMS ninguna página de ruta (error 404)"
"CMS No Cookies Page","CMS no hay página de Cookies"
"Show Breadcrumbs for CMS Pages","Mostrar Breadcrumbs para páginas del CMS"
"Browser Capabilities Detection","Detectar las capacidades del navegador"
"Redirect to CMS-page if Cookies are Disabled","Redirigir a la página de CMS si las Cookies están desactivadas"
"Show Notice if JavaScript is Disabled","Mostrar aviso si JavaScript está desactivado"
"Show Notice if Local Storage is Disabled","Mostrar aviso si está deshabilitado el almacenamiento local"
"WYSIWYG Options","Opciones WYSIWYG"
"Enable WYSIWYG Editor","Habilitar el editor WYSIWYG"
"CMS Page Link","Enlace a la página CMS"
"Link to a CMS Page","Enlace a la página CMS"
"CMS Page","Página CMS"
"Select Page...","Seleccione la página..."
"Anchor Custom Text","Ancla Texto personalizado"
"If empty, the Page Title will be used","Si está vacío, se utilizará el título de la página"
"Anchor Custom Title","Anclar título personalizado"
"Template","Plantilla"
"CMS Page Link Block Template","Plantilla en bloque de la página de enlaces del CMS"
"CMS Page Link Inline Template","Plantilla en línea de la página de enlaces del CMS"
"CMS Static Block","Bloque estático CMS"
"Contents of a Static Block","Contenidos en un bloque estático"
"Block","Bloquear"
"Select Block...","Seleccionar el bloque..."
"CMS Static Block Default Template","Bloque estático - Standard Template"
"General Information","Información general"
"Enable Block","Activar bloque"
"Block Title","Título de bloque"
"Are you sure you want to delete selected items?","¿Está seguro de que desea borrar los elementos seleccionados?"
"Delete items","Eliminar elementos"
"Page Information","Página de información"
"Enable Page","Activar página"
"Content","Contenido"
"Content Heading","Título contenido"
"Search Engine Optimization","Optimización de los motores de búsqueda"
"Meta Title","Título meta"
"Meta Keywords","Meta palabras claves"
"Meta Description","Meta descripción"
"Page in Websites","Página en sitios web"
"Design","Diseño"
"Layout Update XML","Actualización de diseño XML"
"Custom Design Update","Actualización de diseño personalizado"
"From","De"
"To","Para"
"New Theme","Nuevo tema"
"-- Please Select --","-- Por favor Seleccione --"
"New Layout","Nuevo diseño"
"Disable","Desactivar"
"Enable","Habilitar"
"Custom design from","Diseño personalizado de"
"Custom design to","Diseño personalizado para"
"Custom Theme","Tema personalizado"
"Custom Layout","Diseño personalizado"
"Edit Block '%1'","Editar bloque '%1'"
"Block Information","Información del bloque"
"Edit Page '%1'","Editar página '%1'"
"Page Layout","Diseño de página"
"Custom Design","Custom Design"
"Custom Design From","Diseño personalizado de"
"Custom Design To","Diseño personalizado para"
"Custom Layout Update XML","XML de actualización de diseño personalizado"
"Relative to Web Site Base URL","Relativo a la URL base del sitio web"
"Page Status","Estado de la página"
"Meta Data","Metadatos"
"Keywords","Palabras clave"
"Description","Descripción"
"You saved this page.","Has guardado la página."
"Could not create directory.","No se puede crear el directorio."
"Delete ${ $.$data.title }","Eliminar ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","¿Estás seguro de que quieres eliminar un registro de ${ $.$data.title }?"
"Details","Detalles"
"Delete ""${ $.$data.title }""","Eliminar ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","¿Estás seguro de que quieres eliminar un registro de ""${ $.$data.title }""?"
"Are you sure you wan't to delete selected items?","¿Seguro que deseas eliminar los elementos seleccionados?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Optimización de los motores de búsqueda"
"Save","Guardar"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Cancel","Cancelar"
"Delete Selected","Delete Selected"
"Create Folder","Crear carpeta"
"Add Selected","Add Selected"
"You duplicated the block.","Se duplicó el bloque."
"You duplicated the page.","Se duplicó la página."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Subir imagenes"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Plantilla de página por defecto"
"WYSIWYG Editor","WYSIWYG Editor"
