"Static Blocks","Statische blokken"
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Zorg ervoor dat de inhoud van een statisch blok niet naar zichzelf verwijst."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Standaard ingeschakeld"
"Disabled by Default","Standaard uitgeschakeld"
"Disabled Completely","Volledig uitgeschakeld"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS geen Route pagina"" in configuratie."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS Home Pagina"" in configuratie."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS Geen Cookies Pagina"" in configuratie."
"Could not save the page: %1","Kon pagina niet opslaan: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Kon pagina niet verwijderen: %1"
"A block identifier with the same properties already exists in the selected store.","Een block identifier met dezelfde eigenschappen bestaat reeds."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We vonden een map met dezelfde naam. Probeer een andere map naam."
"We cannot create a new directory.","We kunnen geen nieuwe map aanmaken."
"We cannot delete directory %1.","We kunnen map %1 niet verwijderen."
"We can't upload the file right now.","Wij kunnen het bestand nu niet uploaden."
"We can't delete root directory %1 right now.","Wij kunnen de hoofddirectory %1 nu niet verwijderen."
"Privacy and Cookie Policy","Privacy en Cookie Policy"
"Error message","Foutmelding"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","Kon geen map aanmaken."
"Edit","Bewerken"
"Delete","Verwijder"
"Delete %1","Verwijder %1"
"Are you sure you want to delete a %1 record?","Weet je zeker dat je een %1 record wilt verwijderen?"
"All Store Views","Alle Winkelaanzichten"
"View","Bekijk"
"px.","px."
"No files found","Geen bestanden gevonden"
"Browse Files...","Browse Files..."
"Collapse All","Alles inklappen"
"Expand All","Alles uitklappen"
"We could not detect a size.","We could not detect a size."
"Media Gallery","Mediagallerij"
"Content Management","CMS-instellingen"
"CMS Home Page","CMS homepagina"
"CMS No Route Page","CMS-pagina > Pagina niet gevonden"
"CMS No Cookies Page","CMS geen Cookies pagina"
"Show Breadcrumbs for CMS Pages","Kruimelpad tonen voor CMS-pagina's"
"Browser Capabilities Detection","Detectie van browsermogelijkheden"
"Redirect to CMS-page if Cookies are Disabled","Redirect naar de CMS-page als de Cookies zijn uitgeschakeld"
"Show Notice if JavaScript is Disabled","Waarschuw als javascript is uitgeschakeld"
"Show Notice if Local Storage is Disabled","Waarschuw als lokale opslag is uitgeschakeld"
"WYSIWYG Options","WYSIWYG Opties"
"Enable WYSIWYG Editor","WYSWIGY editor activeren"
"CMS Page Link","CMS-pagina link"
"Link to a CMS Page","Link naar een CMS-pagina"
"CMS Page","CMS-pagina"
"Select Page...","Selecteer pagina..."
"Anchor Custom Text","Zet eigen tekst vast"
"If empty, the Page Title will be used","Indien leeg, zal de paginatitel gebruikt worden"
"Anchor Custom Title","Zet eigen titel vast"
"Template","Sjabloon"
"CMS Page Link Block Template","CMS pagina link blokkerende template"
"CMS Page Link Inline Template","CMS link ingelijnde template"
"CMS Static Block","CMS Statisch Blok"
"Contents of a Static Block","Inhoud van statisch blok"
"Block","Blokkeer"
"Select Block...","Selecteer blok..."
"CMS Static Block Default Template","CMS Statisch Block > Standaard sjabloon"
"General Information","Algemene informatie"
"Enable Block","Blok inschakelen"
"Block Title","Bloktitel"
"Are you sure you want to delete selected items?","Weet je zeker dat je de geselecteerde items wil verwijderen?"
"Delete items","Items verwijderen"
"Page Information","Paginagegevens"
"Enable Page","Pagina inschakelen"
"Content","inhoud"
"Content Heading","Content Titel"
"Search Engine Optimization","Zoekmachine-optimalisatie (SEO)"
"Meta Title","Meta titel"
"Meta Keywords","Meta-keywords"
"Meta Description","Meta-omschrijving"
"Page in Websites","Pagina in Websites"
"Design","Ontwerp"
"Layout Update XML","Lay-out update XML"
"Custom Design Update","Aangepaste ontwerp Update"
"From","Van"
"To","Aan"
"New Theme","Nieuw thema"
"-- Please Select --","-- Selecteer --"
"New Layout","Nieuwe lay-out"
"Disable","Deactiveer"
"Enable","Activeer"
"Custom design from","Aangepast ontwerp van"
"Custom design to","Aangepast ontwerp tot"
"Custom Theme","Eigen Thema"
"Custom Layout","Custom lay-out"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Block Information"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Page Layout"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Description"
"You saved this page.","You saved this page."
"Could not create directory.","Could not create directory."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Details"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Search Engine Optimisation"
"Save","Opslaan"
"Save & Duplicate","Opslaan & Dupliceren"
"Save & Close","Opslaan & Sluiten"
"Cancel","Annuleren"
"Delete Selected","Selectie verwijderen"
"Create Folder","Map aanmaken"
"Add Selected","Geselecteerde toevoegen"
"You duplicated the block.","Je hebt het blok gedupliceerd."
"You duplicated the page.","Je hebt de pagina gedupliceerd."
"The CMS block with the ""%1"" ID doesn't exist.","CMS blok met id ""%1"" bestaat niet."
"The CMS page with the ""%1"" ID doesn't exist.","CMS pagina met id ""%1"" bestaat niet."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","De URL van de pagina kan geen hoofdletters of niet-toegestane symbolen bevatten. Verwijder de letters en symbolen en probeer het opnieuw."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Afbeeldingen uploaden"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Standaard pagina lay-out"
"WYSIWYG Editor","WYSIWYG Editor"
