"Attribute Properties","Propiedades de atributo"
"""%1"" is a required value.","""%1"" es un valor necesario."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduzca una fecha válida entre %1 y %2 en %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduzca una fecha válida igual o mayor que %1 en %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduzca una fecha válida menos o igual a %1 en %2."
"""%1"" is not a valid file extension.","""%1"" no es una extensión de archivo válida."
"""%1"" is not a valid file.","""%1"" no es un archivo válido."
"""%1"" exceeds the allowed file size.","""%1"" supera el tamaño de archivo permitido."
"""%1"" is not a valid image format","""%1"" no es un formato de imagen válido"
"""%1"" width exceeds allowed value of %2 px.","""%1"" ancho excede el valor permitido de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede el valor permitido de %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" no puede contener más de %2 líneas."
"""%1"" length must be equal or greater than %2 characters.","""%1"" longitud debe ser igual o mayor que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","La longitud de ""%1"" debe ser igual o menor a los caracteres de %2."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"Invalid entity_type specified: %1","Se especificó un entity_type no válido: %1"
"Entity is not initialized","La entidad no está inicializada"
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"Unique constraint violation found","Violación de restricción única encontrada"
"The attribute code '%1' is reserved by system. Please try another attribute code","El código de atributo '%s' está reservado por el sistema. Por favor, prueba con otro código de atributo."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"Do not change entity type.","Do not change entity type."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"Source model ""%1"" not found for attribute ""%2""","Modelo de la fuente ""%1"" no ha encontrado para el atributo ""%2"""
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"Invalid date","Fecha no válida"
"The attribute option label is empty. Enter the value and try again.","The attribute option label is empty. Enter the value and try again."
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
"The option id is empty. Enter the value and try again.","The option id is empty. Enter the value and try again."
"The '%1' attribute doesn't include an option id '%2'.","The '%1' attribute doesn't include an option id '%2'."
"Admin store attribute option label '%1' is already exists.","Admin store attribute option label '%1' is already exists."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"No options found.","No hay opciones encontradas."
"label","etiqueta"
"The entity supplied to collection is invalid. Verify the entity and try again.","The entity supplied to collection is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"Invalid attribute identifier for filter (%1)","Identificador de atributo no válido para el filtro (%1)"
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"Joint field or attribute expression with this alias is already declared","Ya se ha declarado un campo combinado o una expresión de atributos con este alias"
"Invalid alias, already exists in joint attributes","Alias inválido, ya existe en los atributos unidos."
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joined field with this alias is already declared.","Un campo Unido con este alias ya se ha declarado."
"Invalid joint fields","Campos combinados no válidos"
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"Invalid character encountered in increment ID: %1","Carácter no válido encontrado en incremento ID: %1"
"The current module pathname is undefined.","Ruta de acceso de módulo actual está indefinida."
"The current module EAV entity is undefined.","El módulo actual de la entidad EAV es indefinido."
"The form code is not defined.","El código de formulario no está definido."
"The entity instance is not defined.","Instancia de la entidad no está definida."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"Attribute with the same code","Atributo con el mismo código"
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The storefront label is not defined.","La etiqueta de la tienda no está definida."
"Attribute group with same code already exist. Please rename ""%1"" group","Ya existen grupos de atributos con el mismo código. Cambie el nombre del grupo ""%1"""
"Form Element with the same attribute","Formar elemento con el mismo atributo"
"Form Fieldset with the same code","Formar conjunto de campos con el mismo código"
"Form Type with the same code","Formar tipo con el mismo código"
"The value of attribute ""%1"" is invalid.","El valor del atributo ""%1"" no es válido."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"""%1"" prefix is reserved by the system and cannot be used in attribute code names.","""%1"" prefix is reserved by the system and cannot be used in attribute code names."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"Attribute with ID: ""%1"" does not exist","Atributo con el id ""%1"" no existe"
"AttributeSet does not exist.","El Conjunto de atributos no existe."
"hello","hola"
"Some internal exception message.","Algun mensaje interno de excepción."
"The value of attribute not valid","El valor del atributo no es válido"
"These changes affect all related products.","These changes affect all related products."
"Text Field","Campo de texto"
"Text Area","Área de texto"
"Text Editor","Text Editor"
"Date","Fecha"
"Yes/No","Sí/No"
"Multiple Select","Selección múltiple"
"Dropdown","Lista desplegable"
"Caching Settings","Caching Settings"
"Cache User Defined Attributes","Cache User Defined Attributes"
"By default only system EAV attributes are cached.","By default only system EAV attributes are cached."
"EAV types and attributes","Atributos y tipos EAV"
"Entity types declaration cache","Caché de declaración de tipos de entidad"
