"Attribute Properties","属性のプロパティ"
"""%1"" is not a valid URL.","""%1""は有効なURLではありません"
"""%1"" is not a valid date.","""%1""は有効な日付ではありません"
"""%1"" does not fit the entered date format.","""%1""は入力された日付のフォーマットに合致しません"
"""%1"" is a required value.","""%1""は必要な値です。"
"Please enter a valid date between %1 and %2 at %3.","有効な日付を%3に%1から%2の間で入力してください"
"Please enter a valid date equal to or greater than %1 at %2.","%2に有効な日付を%1と同じか以降で入力してください"
"Please enter a valid date less than or equal to %1 at %2.","%2に有効な日付を%1と同じか以前で入力してください"
"""%1"" is not a valid file extension.","""%1""は有効なファイル拡張子ではありません"
"""%1"" is not a valid file.","""%1""は有効なファイルではありません"
"""%1"" exceeds the allowed file size.","""%1""は与えられたファイルのサイズを超えています"
"""%1"" is not a valid image format","""%1"" は無効な画像フォーマットです"
"""%1"" width exceeds allowed value of %2 px.","""%1""幅は与えられた値を%2 px超えています"
"""%1"" height exceeds allowed value of %2 px.","""%1""高さは与えられた値を%2 px超えています"
"""%1"" cannot contain more than %2 lines.","""%1"" は %2 ライン以上を含むことができません"
"""%1"" length must be equal or greater than %2 characters.","""%1""の長さは%2 文字数と同じかそれ以上でなければなりません"
"""%1"" length must be equal or less than %2 characters.","""%1""の長さは%2文字数と同じかそれ以下でなければなりません"
"The attribute group doesn't belong to the provided attribute set.","属性グループは提供された属性セットに属しません。"
"The attributeGroup can't be saved.","属性グループを保存できません。"
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","ID ""%1"" のグループが存在しません。IDを確認して再度お試し下さい。"
"The attribute group with id ""%1"" can't be deleted.","Id ""%1"" の属性グループは削除できません。"
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","ID ""%1"" の属性セットが存在しません。属性セットを確認して再度お試し下さい。"
"The attribute set ID is incorrect. Verify the ID and try again.","属性セットIDが正しくありません。IDを確認して再度お試し下さい。"
"The attribute group doesn't belong to the attribute set.","属性グループは属性セットに属しません。"
"The ""%1"" attribute set wasn't found. Verify and try again.","属性セット ""%1"" が見つかりませんでした。確認して再度お試し下さい。"
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","""%1"" 属性は ""%2""の属性セットで見つかりませんでした。属性を入力して再度お試し下さい。"
"The system attribute can't be deleted.","システムの属性は削除できません。"
"The attribute can't be saved.","この属性を保存できません。"
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","属性コード ""%1"" の属性が存在しません。属性を確認して再度お試し下さい。"
"The attribute can't be deleted.","この属性は削除できません。"
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","ID ""%1"" の属性が見つかりません。属性を確認して再度お試し下さい。"
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","エラーのため属性セットを保存できませんでした。 情報を確認して、再度お試し下さい。 エラーが解決しない場合は、後でもう一度お試しください。"
"The default attribute set can't be deleted.","ディフォルト属性セットは削除できません。"
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","エラーのため属性セットを削除できませんでした。 エラーが解決しない場合は、後でもう一度お試しください。"
"Invalid entity_type specified: %1","無効なエンティティタイプが指定されました: %1"
"Entity is not initialized","エンティティのインスタンスが未作成です"
"This parameter is unknown. Verify and try again.","パラメータが不明です。確認して再度お試し下さい。"
"Unique constraint violation found","一意制約違反が検出されました"
"The attribute code '%1' is reserved by system. Please try another attribute code","属性コード'%1'はシステム用に保管されています。 別の属性コードを試して下さい"
"The default decimal value is invalid. Verify the value and try again.","標準値が無効です。値を確認して再度お試し下さい。"
"The default date is invalid. Verify the date and try again.","標準日付が無効です。日付を確認して再度お試し下さい。"
"Do not change entity type.","エンティティタイプを変更しない。"
"The entity supplied is invalid. Verify the entity and try again.","提供されたエンティティが無効です。エンティティを確認して再度お試し下さい。"
"The ""%1"" backend model is invalid. Verify the backend model and try again.","""%1"" バックエンドモデルが無効です。バックエンドモデルを確認して再度お試し下さい。"
"Source model ""%1"" not found for attribute ""%2""","属性""%2""のためのソースモデル ""%1""は見つかりませんでした"
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1""の属性の値が空です。属性を設定して再度お試し下さい。"
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","""%1""の属性値は一意ではありません。一意の値を設定して再度お試し下さい。"
"Invalid date","不正な日付"
"The attribute option label is empty. Enter the value and try again.","属性オプションラベルが空です。値を入力して、もう一度やり直してください。"
"Admin store attribute option label ""%1"" is already exists.","管理ストア属性オプションのラベル""%1""は既に存在します。"
"The option id is empty. Enter the value and try again.","オプションIDが空です。値を入力して、もう一度やり直してください。"
"The '%1' attribute doesn't include an option id '%2'.","'%1'属性にオプションID '%2'が含まれていません。"
"Admin store attribute option label '%1' is already exists.","管理ストア属性オプションのラベル'%1'は既に存在します。"
"The ""%1"" attribute can't be saved.","""%1""属性を保存できません。"
"The attribute code is empty. Enter the code and try again.","属性コードが空です。コードを入力して再度お試し下さい。"
"The options for ""%1"" attribute can't be loaded.","""%1"" 属性のオプションを読み込むことができません。"
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","""%1"" 属性には ID ""%2""のオプションは含まれていません。"
"The ""%1"" attribute doesn't work with options.","属性 ""%1"" はオプションと機能しません。"
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","ID ""%1"" のエンティティ属性が見つかりません。属性をリセットして再度お試し下さい。"
"The attribute set name is empty. Enter the name and try again.","属性セット名が空です。入力して再度お試し下さい。"
"A ""%1"" attribute set name already exists. Create a new name and try again.","""%1""の属性セット名は既に存在します。新しい名前を作成して再度お試し下さい。"
"No options found.","オプションが見つかりません"
"label","ラベル"
"The entity supplied to collection is invalid. Verify the entity and try again.","コレクションに指定されたエンティティが無効です。エンティティを確認して、もう一度実行してください。"
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","オブジェクトが無効であるため、追加できませんでした。続行するには、有効なオブジェクトを入力して再度お試し下さい。"
"Invalid attribute identifier for filter (%1)","フィルターのための不正な属性のアイデンティファイア (%1)"
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","要求された ""%1"" 属性が無効です。属性を確認して再度お試し下さい。"
"Joint field or attribute expression with this alias is already declared","結合フィールドか属性のエイリアスは既に定義されています"
"Invalid alias, already exists in joint attributes","不正なエイリアスです。既に結合属性で定義されています"
"The foreign key is invalid. Verify the foreign key and try again.","外部キーが無効です。外部キーを確認して再度お試し下さい。"
"The entity type is invalid. Verify the entity type and try again.","エンティティタイプが無効です。エンティティタイプを確認して再度お試し下さい。"
"The attribute type is invalid. Verify the attribute type and try again.","属性タイプが無効です。属性タイプを確認して再度お試し下さい。"
"A joined field with this alias is already declared.","このエイリアスの結合フィールドは常に宣言されています"
"Invalid joint fields","不正な結合フィールド"
"A joint field with a ""%1"" alias is already declared.","""%1"" のエイリアスの結合フィールドはすでに宣言されています。"
"A header row is missing for an attribute. Verify the header row and try again.","ヘッダー行に属性がありません。ヘッダー行を確認して、再度お試し下さい。"
"The ""%1"" attribute name is invalid. Reset the name and try again.","""%1"" 属性の名前が無効です。リセットして再度お試し下さい。"
"Invalid character encountered in increment ID: %1","インクリメントID中に不正な文字が見つかりました: %1"
"The current module pathname is undefined.","現在のモジュールパスネームは未定義です"
"The current module EAV entity is undefined.","現在のモジュールEAVエンティティは未定義です"
"The form code is not defined.","フォームコードは未定義です"
"The entity instance is not defined.","エンティティインスタンスは未定義です"
"The form type is invalid. Reset the type and try again.","フォームタイプが無効です。タイプをリセットして再度お試し下さい。"
"The EAV attribute is invalid. Verify the attribute and try again.","EAV属性が無効です。属性を確認して再度お試し下さい。"
"Attribute with the same code","同じコードの属性"
"The default option isn't defined. Set the option and try again.","デフォルトのオプションが定義されていません。オプションをセットして再度試して下さい。"
"The storefront label is not defined.","ストアフロントラベルが未定義です"
"Attribute group with same code already exist. Please rename ""%1"" group","同じコードの属性グループは既に存在します。「%1」グループの名前を変更してください"
"Form Element with the same attribute","フォームの要素に同じ属性があります"
"Form Fieldset with the same code","フォームのフィールドセットに同じコードがあります"
"Form Type with the same code","フォームタイプと同じコードです"
"The value of attribute ""%1"" is invalid.","属性の値 ""%1"" は無効です"
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","属性コード""%1""は無効です。このフィールドでは、文字（a ～ zまたはA ～ Z）、数字(0 ～ 9)またはアンダースコア (_) のみを使用してください。最初の文字は文字にする必要があります。"
"An attribute code must not be less than %1 and more than %2 characters.","属性コードは、%1以上%2文字以上であってはなりません。"
"""%1"" prefix is reserved by the system and cannot be used in attribute code names.","""%1""プレフィックスはシステムによって予約されているため、属性コード名で使用できません。"
"The entity ID is incorrect. Verify the ID and try again.","エンティティIDが正しくありません。IDを確認して再度お試し下さい。"
"The attribute group ID is incorrect. Verify the ID and try again.","属性グループIDが正しくありません。IDを確認して再度お試し下さい。"
"Attribute with ID: ""%1"" does not exist","ID ""%1""の属性は存在しません"
"AttributeSet does not exist.","属性は存在しません"
"hello","こんにちは"
"Some internal exception message.","内部例外メッセージ"
"The value of attribute not valid","属性の値は有効ではありません"
"These changes affect all related products.","これらの変更はすべての関連製品に影響します。"
"Text Field","テキストフィールド"
"Text Area","テキストエリア"
"Text Editor","テキストエディター"
"Date","日付"
"Yes/No","Yes/No"
"Multiple Select","複数選択"
"Dropdown","ドロップダウン"
"Caching Settings","キャッシュ設定"
"Cache User Defined Attributes","キャッシュユーザ定義属性"
"By default only system EAV attributes are cached.","デフォルトでは、システムのEAV属性のみがキャッシュされます。"
"EAV types and attributes","EAV定義"
"Entity types declaration cache","エンティティ種類の宣言キャッシュ。"
