"Attribute Properties","Proprietà dell'attributo"
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"Invalid entity_type specified: %1","Entity_type non è valido: %1"
"Entity is not initialized","Entity non inizializzata"
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"Unique constraint violation found","Violazione chiave unica trovata"
"The attribute code '%1' is reserved by system. Please try another attribute code","Il codice di attributo '%1' è riservato al sistema. Prova con un altro codice di attributo"
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"Do not change entity type.","Do not change entity type."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"Source model ""%1"" not found for attribute ""%2""","Modello sorgente ""%1"" non trovato per l'attributo ""%2"""
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"Invalid date","Data non valida"
"The attribute option label is empty. Enter the value and try again.","The attribute option label is empty. Enter the value and try again."
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
"The option id is empty. Enter the value and try again.","The option id is empty. Enter the value and try again."
"The '%1' attribute doesn't include an option id '%2'.","The '%1' attribute doesn't include an option id '%2'."
"Admin store attribute option label '%1' is already exists.","Admin store attribute option label '%1' is already exists."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"No options found.","Nessun'opzione trovata."
"label","etichetta"
"The entity supplied to collection is invalid. Verify the entity and try again.","The entity supplied to collection is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"Invalid attribute identifier for filter (%1)","Identificatore attributo non valido per il filtro (%1)"
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"Joint field or attribute expression with this alias is already declared","Il campo congiunto o l'espressione attributo con questo alias è già stato dichiarato"
"Invalid alias, already exists in joint attributes","Alias non valido, esiste già negli attributi congiunti"
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joined field with this alias is already declared.","Un campo congiunto con questo alias è già stato dichiarato."
"Invalid joint fields","Campi congiunti non validi"
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"Invalid character encountered in increment ID: %1","Carattere non valido rilevato in incremento ID: %1"
"The current module pathname is undefined.","Il percorso del modulo corrente non è definito."
"The current module EAV entity is undefined.","Il modulo Entità EAV corrente non è definito."
"The form code is not defined.","Il codice form non è definito."
"The entity instance is not defined.","L'istanza entità non è definita."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"Attribute with the same code","Attributo con lo stesso codice"
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The storefront label is not defined.","L'etichetta frontend non è definita."
"Attribute group with same code already exist. Please rename ""%1"" group","Un gruppo di attributi con lo stesso codice esiste già. Si prega di rinominare il gruppo ""%1"""
"Form Element with the same attribute","Elemento Form con lo stesso attributo"
"Form Fieldset with the same code","Fieldset Form con lo stesso codice"
"Form Type with the same code","Tipo di form con lo stesso codice"
"The value of attribute ""%1"" is invalid.","Il valore dell'attributo ""%1"" non è valido."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"""%1"" prefix is reserved by the system and cannot be used in attribute code names.","""%1"" prefix is reserved by the system and cannot be used in attribute code names."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"Attribute with ID: ""%1"" does not exist","L'attributo con id ""%1"" non esiste"
"AttributeSet does not exist.","AttributeSet non esiste."
"hello","ciao"
"Some internal exception message.","Qualche messaggio di eccezione interno."
"The value of attribute not valid","Il valore dell'attributo non è valido"
"These changes affect all related products.","These changes affect all related products."
"Text Field","Campo di testo"
"Text Area","Area di testo"
"Text Editor","Text Editor"
"Date","Data"
"Yes/No","Sì/No"
"Multiple Select","Selezione multipla"
"Dropdown","Menu a tendina"
"Caching Settings","Caching Settings"
"Cache User Defined Attributes","Cache User Defined Attributes"
"By default only system EAV attributes are cached.","By default only system EAV attributes are cached."
"EAV types and attributes","Attributi e tipi EAV"
"Entity types declaration cache","Cache di dichiarazione di tipi di entità"
