"Attribute Properties","Propriedade do Atributo"
"Cannot save attributeGroup","Não é possível gravar attributeGroup"
"Group with id ""%1"" does not exist.","Não existe nenhum grupo com id ""%1""."
"Cannot delete attributeGroup with id %1","Não é possível eliminar o attributeGroup com id %1"
"AttributeSet with id ""%1"" does not exist.","O AttributeSet com id ""%1"" não existe."
"Wrong attribute set id provided","O id de conjunto de atributos fornecido está errado"
"Attribute group does not belong to attribute set","Grupo de atributo não pertence ao conjunto de atributos"
"Attribute set not found: %1","Conjunto de atributos não encontrado: %1"
"Attribute ""%1"" not found in attribute set %2.","O atributo ""%1"" não foi encontrado no conjunto de atributos %2."
"System attribute can not be deleted","Não é possível eliminar atributos do sistema"
"Cannot save attribute","Não é possível gravar o atributo"
"Attribute with attributeCode ""%1"" does not exist.","O atributo com o attributeCode ""%1"" não existe."
"Cannot delete attribute.","Não é possível eliminar o atributo."
"Attribute with id ""%1"" does not exist.","O atributo com id ""%1"" não existe."
"There was an error saving attribute set.","Houve um erro ao gravar o conjunto de atributos."
"Default attribute set can not be deleted","Conjunto de atributos padrão não pode ser excluído"
"There was an error deleting attribute set.","Houve um erro ao excluir o conjunto de atributos."
"Invalid entity_type specified: %1","O valor de entity_type especificado é inválido: %1"
"Entity is not initialized","A entidade não foi inicializada"
"Unknown parameter","Parâmetro desconhecido"
"Unique constraint violation found","Violação de restrição única encontrada"
"The attribute code '%1' is reserved by system. Please try another attribute code","O código de atributo '%1' é reservado ao sistema. Por favor tente outro código de atributo"
"An attribute code must not be more than %1 characters.","Um código de atributo não deve ter mais do que %1 caracteres."
"Invalid default decimal value","O valor decimal pré-definido é inválido"
"Invalid default date","A data pré-definida é inválida"
"Invalid entity supplied","A entidade fornecida é inválida"
"Invalid backend model specified: %1","Modelo de backend inválido: %1"
"Source model ""%1"" not found for attribute ""%2""","Modelo de fonte ""%1"" não encontrado para o atributo ""%2"""
"The value of attribute ""%1"" must be set","O valor do atributo ""%1"" deve estar definido"
"The value of attribute ""%1"" must be unique","O valor do atributo ""%1"" deve ser único"
"Invalid date","Data inválida"
"Empty attribute code","Código de atributo vazio"
"Attribute %1 doesn't work with options","O atributo %1 não funciona com opções"
"Cannot save attribute %1","Não é possível gravar o atributo %1"
"Attribute %1 doesn't have any option","O atributo %1 não tem nenhuma opção"
"Cannot load options for attribute %1","Não é possível carregar as opções para o atributo %1"
"Attribute %1 does not contain option with Id %2","O atributo %1 não contém opção com Id %2"
"Entity attribute with id ""%1"" not found","Atributo de entidade com id ""%1"" não foi encontrado"
"Attribute set name is empty.","Nome do conjunto de atributo está vazio."
"An attribute set named ""%1"" already exists.","Um conjunto de atributos chamado '%1' já existe."
"No options found.","Não há opções encontradas."
"label","etiqueta"
"Invalid entity supplied: %1","Entidade inválida fornecida: %1"
"Attempt to add an invalid object","Tentativa de adicionar um objeto inválido"
"Invalid attribute identifier for filter (%1)","Identificador de atributo inválido para filtro (%1)"
"Invalid attribute requested: %1","Atributo inválido solicitado: %1"
"Joint field or attribute expression with this alias is already declared","Já está declarado um campo combinado ou uma expressão de atributo com este nome"
"Invalid alias, already exists in joint attributes","Nome inválido, já existe nos atributos combinados"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid entity type","Tipo de entidade inválido"
"Invalid attribute type","Tipo de atributo inválido"
"A joined field with this alias is already declared.","Já está declarado um campo combinado com este nome."
"Invalid joint fields","Campos combinados inválidos"
"A joint field with this alias (%1) is already declared.","Já está declarado um campo combinado com este nome (%1)."
"Data integrity: No header row found for attribute","Integridade de dados: Não foi encontrado nenhuma linha de cabeçalhos para o atributo"
"Invalid attribute name: %1","Nome de atributo inválido: %1"
"Invalid character encountered in increment ID: %1","Caracter inválido no ID de incremento: %1"
"The current module pathname is undefined.","O caminho do módulo atual está indefinido."
"The current module EAV entity is undefined.","A entidade EAV do módulo atual está indefinida."
"The form code is not defined.","O código do formulário não está definido."
"The entity instance is not defined.","A instância da entidade não está definida."
"Invalid form type.","Tipo de formulário inválido."
"Invalid EAV attribute","Atributo EAV inválido"
"Attribute with the same code","Atributo com o mesmo código"
"The storefront label is not defined.","A etiqueta da loja não está definida."
"Default option value is not defined","O valor da opção pré-definida não está definido"
"Attribute group with same code already exist. Please rename ""%1"" group","Grupo de atributo com o mesmo código já existe. Por favor, renomeie o grupo de ""%1"""
"Form Element with the same attribute","Elemento do Formulário com o mesmo atributo"
"Form Fieldset with the same code","Conjunto de Campos de Formulário com o mesmo código"
"Form Type with the same code","Tipo de Formulário com o mesmo código"
"The value of attribute ""%1"" is invalid.","O valor do atributo ""%1"" é inválido."
"Wrong entity ID","ID da entidade errado"
"Wrong attribute set ID","ID de conjunto de atributos errado"
"Wrong attribute group ID","ID de grupo de atributos errado"
"An attribute code must not be less than %1 and more than %2 characters.","Um código de atributo não deve ter menos do que %1 nem mais do que %2 de caracteres."
"Attribute with ID: ""%1"" does not exist","O atributo com id: ""%1"" não existe"
"AttributeSet does not exist.","O AttributeSet não existe."
"hello","olá"
"Some internal exception message.","Alguma mensagem de exceção interna."
"The value of attribute not valid","O valor do atributo não é válido"
"EAV types and attributes","Atributos e tipos EAV"
"Entity types declaration cache","Cache de declaração de tipos de entidade"
"Not shared with other products","Não partilhado com outros produtos"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' parece um hostname DNS, mas nós não conseguimos corresponder o TLD contra uma lista conhecida."
"Entity types declaration cache.","Cache de declaração de tipos de entidade."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The ""%1"" attribute has no option.","The ""%1"" attribute has no option."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","The ""%1"" entity supplied is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"These changes affect all related products.","Essas alterações afetam todos os produtos relacionados."
"Text Editor","Text Editor"
