"Export","Εξαγωγή"
"Begin export of %1","Αρχίστε εξαγωγή του %1"
"There is no data for the export.","Δεν υπάρχουν καθόλου δεδομένα για την εξαγωγή."
"Exported %1 rows.","Εξάχθηκαν %1 γραμμές."
"The export is finished.","Η εξαγωγή έχει ολοκληρωθεί."
"Please provide filter data.","Παραθέστε δεδομένα φίλτρου."
"We can't determine the attribute filter type.","Δεν μπορούμε να προσδιορίσουμε τον τύπο φίλτρου χαρακτηριστικού."
"Entity is unknown","Οντότητα είναι άγνωστη"
"We can't identify this file format.","Δεν μπορούμε να εντοπίσουμε αυτή τη μορφή αρχείου."
"Please correct the value for ""%1"" column.","Παρακαλώ διορθώστε τη τιμή για τη στήλη ""%1""."
"Please specify the writer.","Παρακαλείστε να προσδιορίσετε το πρόγραμμα εγγραφής."
"The destination file path must be a string.","Η διαδρομή του αρχείου προορισμού πρέπει να είναι μια συμβολοσειρά."
"The destination directory is not writable.","Ο κατάλογος προορισμού δεν είναι εγγράψιμος."
"Destination file is not writable","Το αρχείο προορισμού δεν είναι εγγράψιμο"
"The header column names are already set.","Τα ονόματα στήλης κεφαλίδας έχουν οριστεί ήδη."
"in row(s)","στη σειρά(ές)"
"The validation is complete.","Η επικύρωση έχει ολοκληρωθεί."
"This file does not contain any data.","Αυτό το αρχείο δεν περιέχει δεδομένα."
"Begin import of ""%1"" with ""%2"" behavior","Αρχίστε εισαγωγή των ""%1"" με ""%2"" συμπεριφορά"
"The import was successful.","Η εισαγωγή ήταν επιτυχής."
"The file you uploaded has no extension.","Το αρχείο που αποστείλατε δεν έχει επέκταση."
"The source file moving process failed.","Η διαδικασία μετακίνησης αρχείου προέλευσης απέτυχε."
"Begin data validation","Αρχίστε επικύρωση δεδομένων"
"Import data validation is complete.","Επικύρωση εισαγωγής δεδομένων έχει ολοκληρωθεί."
"The behavior token for %1 is invalid.","Το διακριτικό συμπεριφοράς για %1 δεν είναι έγκυρο."
"Please enter a correct entity model","Παρακαλούμε εισάγετε ένα σωστό μοντέλο οντότητας"
"Source file coping failed","Αντιγραφή αρχείου πηγής απέτυχε"
"The source is not set.","Η πηγή δεν έχει οριστεί."
"The adapter type must be a non-empty string.","Ο τύπος προσαρμογέα πρέπει να είναι μια μη κενή συμβολοσειρά."
"'%1' file extension is not supported","'%1' επέκταση αρχείου δεν υποστηρίζεται"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Προσαρμογέας πρέπει να είναι μια παρουσία του \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Παρακαλείστε να προσδιορίσετε μια πηγή."
"ImportExport: Import Data validation - Validation strategy not found","ΕισαγωγήΕξαγωγή: Επικύρωση Εισαγωγής Δεδομένων - Στρατηγική Επικύρωσης δεν βρέθηκε"
"Cannot get autoincrement value","Δεν μπορεί να δοθεί τιμή αυτόματης αύξησης"
"Error in data structure: %1 values are mixed","Σφάλμα στη δομή δεδομένων: αναμιγνύονται τιμές %1"
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"label","ετικέτα"
"Add/Update","Προσθήκη/Ενημέρωση"
"Replace","Αντικατάσταση"
"Delete","Διαγραφή"
"Note: Product IDs will be regenerated.","Σημείωση: Τα ID προϊόντων θα αναδημιουργηθούν."
"Add/Update Complex Data","Προσθήκη/Ενημέρωση Σύνθετων Δεδομένων"
"Delete Entities","Διαγραφή Οντοτήτων"
"Custom Action","Προσαρμοσμένη Ενέργεια"
"Error message","Μήνυμα Σφάλματος"
"URL key for specified store already exists.","Υπάρχει ήδη κλειδί URL για το συγκεκριμένο κατάστημα."
"Entity Attributes","Χαρακτηριστικά Οντότητας"
"Continue","Συνέχεια"
"Validation Results","Αποτελέσματα Επικύρωσης"
"ID","ID"
"Start Date&Time","Ημερομηνία&Χρόνος Έναρξης"
"User","Χρήστης"
"Imported File","Εισηγμένο Αρχείο"
"Error File","Αρχείο Σφάλματος"
"Execution Time","Χρόνος Εκτέλεσης"
"Summary","Περίληψη"
"Data validation is failed. Please fix errors and re-upload the file..","Απέτυχε η επικύρωση δεδομένων. Παρακαλούμε διορθώστε τα σφάλματα και ξανά-ανεβάστε το αρχείο.."
"Only first 100 errors are displayed here. ","Μόνο πρώτα 100 σφάλματα εμφανίζονται εδώ. "
"in rows:","στις σειρές:"
"Data validation is failed. Please fix errors and re-upload the file.","Απέτυχε η επικύρωση δεδομένων. Παρακαλούμε διορθώστε τα σφάλματα και ξανά-ανεβάστε το αρχείο."
"in rows","στις σειρές"
"'Error in CSV: ' .","'Error in CSV: ' ."
"File must be saved in UTF-8 encoding for proper import","File must be saved in UTF-8 encoding for proper import"
"There is no file: %file","There is no file: %file"
"Empty attribute value constant","Empty attribute value constant"
"Incorrect entity name.","Incorrect entity name."
"-- Not Selected --","-- Μη Επιλεγμένη --"
"Validation Strategy","Validation Strategy"
"What is this?","Τι είναι αυτό;"
"Message is added to queue, wait to get your file soon","Message is added to queue, wait to get your file soon"
"Please provide export file name","Please provide export file name"
"There are no export file with such name %1","There are no export file with such name %1"
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Error during export process occurred"
"Error during export process occurred. Please check logs for detail","Error during export process occurred. Please check logs for detail"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Any entities in the import data that already exist in the database are deleted from the database."
"Are you sure you wan't to delete a file?","Are you sure you wan't to delete a file?"
"File name","Όνομα αρχείου"
