"Export","Esporta"
"The file is valid, but we can't import it for some reason.","Il file è valido, ma per qualche motivo non è possibile importare."
"Show more","Mostra altro"
"Additional data","Dati aggiuntivi"
"Following Error(s) has been occurred during importing process:","Si sono verificati i seguenti errori durante il processo di importazione:"
"Only the first 100 errors are shown. ","Vengono visualizzati solo i primi 100 errori. "
"Download full report","Scarica il report completo"
"in row(s):","nelle righe:"
"Make sure your file isn't more than %1M.","Assicurarsi che il file non sia più grande di %1M."
"We can't provide the upload settings right now.","Non possiamo fornire le impostazioni di caricamento."
"Created: %1, Updated: %2, Deleted: %3","Creati: %1, aggiornati: %2, eliminati: %3"
"Please enter a correct entity model.","Inserisci una entity model corretta."
"The entity adapter object must be an instance of %1 or %2.","L'entity adapter object deve essere una istanza di %1 o %2."
"The input entity code is not equal to entity adapter code.","L'input entity code non è uguale all'entity adapter code."
"Please enter a correct entity.","Inserisci una entity corretta."
"The adapter object must be an instance of %1.","L'adapter object deve essere un'istanza di %1."
"Please correct the file format.","Correggi il formato di file."
"Begin export of %1","Inizia l'esportazione di %1"
"There is no data for the export.","Non sono disponibili dati per l'esportazione."
"Exported %1 rows.","Esportati %1 righe."
"The export is finished.","L'esportazione è terminata."
"Please provide filter data.","Si prega di fornire i dati del filtro."
"We can't determine the attribute filter type.","Non possiamo determinare il tipo di filtro degli attributi."
"Entity is unknown","Entity sconosciuta"
"We can't identify this file format.","Non riusciamo ad identificare questo formato del file."
"Please correct the value for ""%1"" column.","Correggi il valore per la colonna ""%1""."
"Please specify the writer.","Specifica il writer."
"The destination file path must be a string.","Il percorso del file di destinazione deve essere una stringa."
"The destination directory is not writable.","La directory di destinazione non è scrivibile."
"Destination file is not writable","Il file di destinazione non è scrivibile"
"The header column names are already set.","I nomi della colonna di intestazione sono già impostati."
"in row(s)","nelle righe"
"The validation is complete.","La convalida è completa."
"This file does not contain any data.","Questo file non contiene alcun dato."
"Begin import of ""%1"" with ""%2"" behavior","Avviare importazione di ""%1"" con comportamento ""%2"""
"The import was successful.","Importazione riuscita."
"The file you uploaded has no extension.","Il file caricato non ha estensione."
"The source file moving process failed.","Il processo di spostamento del file sorgente è fallito."
"Begin data validation","Inizia convalida dei dati"
"Import data validation is complete.","La validazione dati importati è stata completata."
"The behavior token for %1 is invalid.","Il comportamento del token per %1 non è valido."
"Please enter a correct entity model","Inserisci un entity model corretto"
"Source file coping failed","Copia file sorgente non riuscita"
"The source is not set.","Sorgente non impostata."
"The adapter type must be a non-empty string.","Il tipo di adattatore deve essere una stringa non vuota."
"'%1' file extension is not supported","estensione file '%1' non supportata"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","L'adapter deve essere una istanza di \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Specifica una sorgente."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Validazione dei dati di importazione - Strategia di validazione non trovata"
"Cannot get autoincrement value","Non è possibile ottenere il valore di autoincremento"
"Error in data structure: %1 values are mixed","Errore nella struttura dei dati: %1 i valori sono mescolati"
"-- Please Select --","-- Seleziona --"
"label","etichetta"
"Add/Update","Aggiungi/aggiorna"
"Replace","Sostituisci"
"Delete","Elimina"
"Note: Product IDs will be regenerated.","Nota: gli ID prodotto verranno rigenerati."
"Add/Update Complex Data","Aggiungi/aggiorna dati complessi"
"Delete Entities","Elimina entità"
"Custom Action","Azione personalizzata"
"Error message","Messaggio di errore"
"URL key for specified store already exists.","Esiste già una URL key per il negozio specificato."
"Entity Attributes","Entità Attributi"
"Continue","Continua"
"Validation Results","Risultati validazione"
"ID","ID"
"Start Date&Time","Data di inizio e tempo"
"User","Utente"
"Imported File","File importati"
"Error File","Errore File"
"Execution Time","Tempo di Esecuzione"
"Summary","Riepilogo"
"Data validation is failed. Please fix errors and re-upload the file..","La convalida dei dati è fallita. Si prega di correggere gli errori e caricare nuovamente il file.."
"Only first 100 errors are displayed here. ","Solo primi 100 errori vengono visualizzati qui. "
"in rows:","nelle righe:"
"Data validation is failed. Please fix errors and re-upload the file.","La convalida dei dati è fallita. Correggi gli errori e carica nuovamente il file."
"in rows","nelle righe"
"'Error in CSV: ' .","'Error in CSV: ' ."
"File must be saved in UTF-8 encoding for proper import","File must be saved in UTF-8 encoding for proper import"
"There is no file: %file","There is no file: %file"
"Empty attribute value constant","Empty attribute value constant"
"Incorrect entity name.","Incorrect entity name."
"-- Not Selected --","-- Non selezionato --"
"Validation Strategy","Validation Strategy"
"What is this?","Cos'è questo?"
"Message is added to queue, wait to get your file soon","Message is added to queue, wait to get your file soon"
"Please provide export file name","Please provide export file name"
"There are no export file with such name %1","There are no export file with such name %1"
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Error during export process occurred"
"Error during export process occurred. Please check logs for detail","Error during export process occurred. Please check logs for detail"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated."
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>","The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>"
"Any entities in the import data that already exist in the database are deleted from the database.","Any entities in the import data that already exist in the database are deleted from the database."
"Are you sure you wan't to delete a file?","Are you sure you wan't to delete a file?"
"File name","Nome file"
